"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"6","000007.SZ","综合",0,0,0,54.03597685,0,32.40067857,0,-9.487148981,0,-45.0211863,0,-74.01543045,0,-44.74877879,0,296.4751175,0,158.1513975,0,11.96653374,0,-80.65469114,0,22.50806306,0,67.17922289,0,-91.70265411,0,-674.7556157,0,-358.6071485,0,61.76286339,0,106.7867747,0,345.7314266,200.9943524,-73.58684195,39.85900216,-35.88018247,-81.72900863,85.42127758,-304.8954934,-324.7072922,-1157.686446,-1072.509344,217.5655073,119.3397563,73.64983031,106.6675034,-136.6103115,-439.0441536,-141.3847087,-1370.780014,-122.5829224,-75.56111555,6.074060991,106.6383978,3.148770772,20.29437993,-33.24655592,-848.6175645,0.920602512,243.9826003,259.7760427,131.4129687,12.10272802,-74.38649099,-97.69371831,6.265444294,96.44551789,-109.8466841,-21.08250287,-61.70286594,208.5655827,670.1229064,929.9076363,-46.65452394,-3205.707933,-166.5746212,270.4244822,325.3029238,32.241671,-127.0832497,-122.2291822,-277.2786894,3.405525084,-58.50911896,-78.50581339,139.6579463,286.8569632,276.942609,283.5019422,516.1246951,-136.3779379,-44.48640346,-104.5400646,-99.02528472
"8","000009.SZ","综合",0,0,0,78.94084608,0,-28.81358252,0,2.852866518,0,-50.11068095,0,-64.69284006,0,-57.54481673,0,-63.03077527,0,-25.59953938,0,-77.69270825,0,-362.2908321,0,-3865.615289,0,113.7679217,0,109.8741317,0,137.7614812,0,13.14651446,0,-28.83964901,0,15.01284585,0,-16.70264421,0,-19.75400791,74.65442879,-26.0550695,-37.24844456,8.78834254,-30.31596047,42.79900135,43.58942603,-305.849798,46.76801932,6.987862898,19.11076203,247.1133724,-6.647918763,-2.803520185,-6.566202502,67.72675979,511.291096,516.644015,635.0661087,73.40604463,5.110990382,-14.7990505,-18.44749105,-18.10118475,27.47681585,50.61157902,45.26099072,50.47028336,10.4934008,9.79394599,8.436812854,8.076384718,22.24863246,11.14864457,-0.824012148,-13.8495198,-47.96555062,-48.66767735,-46.90051056,-19.22383669,5.431631421,-13.00730106,146.1704024,44.53290132,49.41843137,143.1041518,-12.97021407,6.393632674,-13.61329386,-27.96876415,113.2018134,96.25119356,1.853090078,-12.08359418,-56.34185566,-54.76708033,-18.0962901,8.460540529,1.136449622,-22.94131006
"82","000409.SZ","综合",0,0,0,0,0,0,0,16.7359615,0,0,0,3.532220006,0,0,0,46.99425948,0,-4.258997137,0,-3.201840175,0,18.71084572,0,-88.4649757,0,-134.7734548,0,-905.401702,0,30.02231847,0,136.8420023,0,156.6982885,0,-2050.152158,0,20.69877536,0,-145.4768983,-257.4795442,-350.8810468,-1309.891432,-34.89815296,58.53888576,199.4999519,154.8439846,108.2848073,-92.36162759,-179.1401726,-269.0227728,12.55602181,28.25685741,32.4876194,56.31757396,-706.4584929,16.5363682,21.76515021,38.1213935,32.8346469,48.47950667,37.68130704,-26.92166647,110.2432338,-112.4734683,-54.4288039,-67.74119805,-601.7217361,41.3552111,29.27045252,34.51040458,59.12481292,58.5640509,72.26595518,133.1806457,199.1343143,152.9811364,114.3861357,-97.07718346,-24.25971782,-18.14344574,12.4477784,27.85884013,57.99527772,20.99016873,-46.00202576,-79.25590028,-123.1575463,-231.2051776,-259.0297352,64.06849715,518.4107105,152.4044695,164.3990309,19.14281329,-255.4815602,-325.8868534,-357.5017501,-503.0067753,-41.41723165
"124","000529.SZ","综合",0,0,0,297.1238518,0,0,0,23.7306417,0,16.5916033,0,4.579601644,0,3.9871324,0,8.742043594,0,-14.16068781,0,1.795105738,0,-13.95081955,0,-48.22471353,0,-34.85043662,0,-764.2387353,0,-235.1288144,0,102.2275758,0,112.4354998,0,-5994.853043,0,-48.05343827,0,-164.3736719,119.9218708,36.97436687,-1040.961416,69.98512036,-26.37346799,-79.39504258,102.7379473,-27.29942722,-5446.507401,-7444.037469,-7531.681022,-11.49792432,23.9675556,8.451183689,3.513765213,101.8584083,48.76033928,46.69497828,44.60170194,-15.31103412,-40.22185008,-27.56110494,-19.78547528,6838.718036,170.8953338,163.2639728,162.3346075,-82.57912409,-43.44822961,-0.08529491,10.24566427,2.612384769,48.13564803,24.94767516,16.36796576,16.1842838,47.71620446,7.191652685,-4.220037384,-11.97141336,1.025966803,3.879448064,14.78233494,30.06016785,-10.31910739,0.380125536,6.639108877,91.21569857,13.33946663,5.778241998,5.979727276,-51.53006013,5.075222839,9.671514997,19.55473986,44.28819518,15.89583286,13.1733757,22.75905723,44.86059294
"206","000632.SZ","综合",0,0,0,0,0,0,0,-0.750614589,0,0,0,-2.114557874,0,0,0,88.30299203,0,0,0,33.47429118,0,-42.59156877,0,26.08778387,0,-27.67609097,0,17.82551578,0,71.52528649,0,-23.85306919,0,-8.907367528,0,122.7226931,0,209.3172868,0,17.75565646,6.848785131,20.83401113,-1.350831513,-15.86647169,-74.75252163,-57.13316403,-64.19668405,-201.0648869,-15.62589209,-56.07016099,-82.70594482,-209.1449594,91.41961909,-100.4091742,177.2134139,146.8188803,-38.71755017,70141.54446,208.6864962,-72.03284255,-80.7558333,-64.39170856,-180.7440997,-61.83126414,318.7796908,2.573515276,165.6239466,109.7919724,-27.24659819,-3.596554677,-25.37175737,-21.44688271,27.56576807,33.47218106,18.94277372,-19.1077499,-11.43103281,-70.90349528,-81.52702801,3.758060333,61.85072565,18.51672166,15.34297983,44.78944616,166.9254543,134.9227081,56.61569797,-86.48768601,-69.37649576,-71.45907737,25.50351915,1096.520224,-70.87839117,320.2885619,50.72263012,11.36541103,1.704970315,-64.86471063,-75.02844336,53.69026172
"211","000638.SZ","综合",0,0,0,0,0,0,0,68.93601529,0,0,0,30.47940353,0,0,0,60.47182775,0,124.3899074,0,35.28849957,0,-63.40834786,0,-47.20204722,0,-31.86252236,0,-132.472921,0,-316.0647335,0,107.2556381,0,51.41093968,0,-1387.610419,0,-82.86295961,-94.24558238,-8.143671856,-6.275272282,-10.70160178,5.951271425,-199.6322195,93.45223085,117.5912531,116.2155093,103.8686092,288.6148957,-71.72694396,-93.28687762,-101.9877198,-700.3006787,-490.8551957,-1685.947952,1407.372193,106.1910949,160.781725,139.7871817,6933.489385,200.0319595,-47.92789021,-29.73049511,-69.22872754,1015.651902,659.1839239,1335.738811,-32.69577955,-4.928600328,-12.89267489,-38.44064599,19.52134113,-9.080104727,42.24049262,-36.72277356,-82.02919502,-153.7345557,-180.4268586,-219.7339626,-57.7231177,107.2042666,78.04239951,52.88515203,-368.5366995,-1550.258431,266.613913,67.2732373,126.323781,-40.32893651,-296.2848605,-427.9777922,-1178.937559,229.5460081,130.0980725,184.747577,135.9006414,-128.6304952,375.7493457,329.8207133,44.38264863
"215","000652.SZ","综合",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.21764594,0,0,0,435.2281004,0,431.2981652,0,86.54277537,0,41.12030723,0,28.78090148,0,-0.050690327,0,-16.1253652,0,-5.265984864,0,-14.72170696,0,-36.82655359,0,-18.16082458,96.25834983,-15.76389941,9.378894903,-7.299222987,7.71798319,-6.160856094,2.403062937,-0.909113211,-20.42297605,-9.252438792,-24.55662289,-2.033524691,-4.767257561,95.45934915,98.06699074,67.28733165,125.6747321,41.62008049,24.38019589,186.6659407,-21.78836172,-25.63261808,-12.31393157,-31.71274685,-18.10895199,-8.375891035,-14.24465748,82.63667085,108.2989203,51.1355312,142.0792878,14.63816063,-20.36279113,-51.03164932,-63.76127331,-91.9048325,-330.0168955,-230.1208938,-144.9606456,-27.28188512,133.3037792,94.23876593,54.33585349,1032.203159,-110.0739895,-554.5952982,-523.7944434,50.31949962,54.00589346,156.2479696,156.4786639,-47.38139149,-576.027075,480.9187792,99.62771816,34.84843813,-305.361839,-78.93679739,-66.32103465,27.50528878
"345","000833.SZ","综合",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.80331431,0,0,0,-14.69497794,0,0,0,7.251613574,0,0,0,-94.68565764,0,-54.02936685,0,1601.563779,0,347.5700135,0,11.8856155,0,-31.70446943,0,-81.22423121,-96.89427921,-98.16544604,-161.0786032,-875.6603915,1383.657285,4515.083802,327.42135,193.1457379,13.76648334,-2.210295402,14.20329578,5.380650067,-8.59703207,-48.00255796,-53.39783814,-51.91129049,31.32977407,234.6919865,239.7446526,219.08465,526.5165448,92.40732465,13.0952452,4.21018501,-112.2693285,-111.0755695,-84.81726461,-53.8909563,823.4114989,1020.929483,609.7305498,207.7925964,-26.23607634,14.0856151,42.37838134,-41.38570147,-59.12502456,-80.05201468,-88.89260398,-73.89800463,-357.1780884,-487.6763055,-609.3871652,-857.0194962,75.84756252,67.74388325,56.69709427,126.5212172,155.8602166,122.3081219,2.843923288,6.059815974,-119.6327595,-105.9267946,-106.133262,-71.20037754,290.102056,998.3526647,1251.1342,107.1143172
"350","000839.SZ","综合",0,0,0,0,0,0,0,0,0,0,0,0.108126209,0,0,0,17.77441931,0,0,0,22.01248018,0,0,0,6.039415283,0,35.70273476,0,73.24471287,0,19.68091912,0,31.35595589,0,12.86865014,0,-7.423293705,0,-14.8816908,0,-16.81101782,7.077235437,6.203882669,3.044921701,8.05672069,9.392996811,-9.260143218,-0.167353015,19.35079191,9.888077845,4.515104901,-0.049366879,7.495844357,12.07709975,23.07002193,12.45833439,72.72794623,-23.00429877,-32.79720057,-19.64297614,-29.30385898,21.84191045,42.64359344,37.58236012,13.7064336,12.28702726,348.9198601,190.8385688,76.39709959,8.354981963,-69.75917654,-69.50238681,-56.19950808,-44.55632706,-57.72689645,-45.98443601,-40.07248978,16.41921844,8.699722792,15.85932845,8.593262608,-7.195154324,-5.132550459,-19.8666213,-23.6136566,1.544415365,2.040629664,5.081323738,44.6695544,60.8783628,124.2675311,161.1401059,98.26402846,4.315504209,-13.36540843,-23.69226634,-35.15429889,-26.96099248,66.07068317,32.60774717,31.71860131
"369","000881.SZ","综合",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.17581107,0,0,0,2.996124923,0,0,0,37.57690377,0,20.18843027,0,53.68756598,0,34.65360001,0,30.63122795,0,14.34525241,0,-7.247531177,0,-51.94574685,-10.65387824,-43.3251648,-29.14164862,-106.7365486,-91.93707807,-46.78831568,64.26583362,2030.276073,1734.09276,94.33755367,159.7934849,54.0637901,44.91063528,22.7635217,-11.73994927,-23.12648531,15.82171231,31.39443993,85.21577738,636.0343905,307.337417,235.5317676,101.6242816,-62.40613035,135.6911532,88.76773946,78.908524,101.78639,-60.79229659,-45.12896315,31.24536783,46.54821617,48.7912665,71.76994796,18.1560175,6.660698032,16.15830922,-1.656206569,-36.07292593,7.366214841,-15.49886459,-10.53560316,-56.76308988,-57.13613993,-58.92658134,-55.36270427,71.14034686,-1.326198452,17.92313925,-9.897354108,-67.46733656,-2067.415058,-1470.32964,-1342.881864,-152.9877636,99.06668591,98.29317227,26.92653384,-9.758765334,23.52359516,13.05956422,34.71618209
