"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"28","000032.SZ","通信",0,0,0,50.32963349,0,15.69701791,0,-5.828513614,0,-65.68532864,0,-56.32511623,0,-0.63465633,0,-18.05153537,0,5.217153551,0,-54.76479856,0,-5.777506672,0,248.994373,0,51.50979876,0,64.09080897,0,-21.42165252,0,10.02824249,0,124.9573202,0,19.07506146,0,86.75348526,0,6.983931537,198.344761,-11.46317294,3.237400717,11.16582803,-20.73959416,-16.34278996,-2.342883195,-48.92763755,-21.45114118,-5.057014567,-22.6384543,73.43762737,-26.55692904,5.97991585,18.76665095,31.3145357,23.84792069,1.016569591,5.477989734,63.9586708,357.4904326,159.2364714,89.31189663,-12.07473427,-69.90617952,-67.67146771,-67.37825562,-40.96363009,-50.8103048,-34.04555013,45.34742112,-0.360083821,50.03662484,83.08110446,-23.89932313,30.09685833,-195.1743949,-160.360318,-153.4404737,298.7797922,213.3728402,277.0413975,274.3384361,-91.61324366,-142.6082955,-147.6092402,-159.6716134,19.36833758,64.18303912,43.75551012,432.1233438,-48.40768438,-43.11578137,-1.26727433,-7.333188019,-7.48954346,-52.018477,-46.07622144,-26.58500474,-71.4427793
"50","000063.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,-9.371532962,0,0,0,35.41853681,0,0,0,22.4188776,0,195.9554976,0,172.2150579,0,-8.312572576,0,-31.0328992,0,14.69695863,0,67.79488288,0,79.42132478,0,66.10791914,0,-38.65069965,0,9.964166787,51.35031007,47.02371701,52.9003087,32.22173432,54.26501574,168.2947952,161.6924614,59.02806051,39.80389737,25.93715537,10.95238817,10.9373258,-81.66012791,-47.86137006,-45.10690919,-32.73288028,54.81318681,38.40263345,41.02503688,60.62768091,92.83955355,20.52890943,32.18802678,31.72576959,-12.07399791,29.77371659,35.61298822,40.99124709,83.19265917,14.33675707,13.03160495,28.96584548,-16.08426168,-15.8018621,-20.83203728,-35.47807813,30.37274244,-53.12759317,-227.7149568,-216.1173879,-5.639992848,-16.01089774,138.4668426,155.0420195,212.8303712,255.7577359,221.7765176,90.26656697,37.28067589,56.42182136,55.09241875,37.12024284,23.21840789,19.43951105,18.16253677,-137.6408388,24.15309023,16.21593216,25.51063625,482.5882948
"55","000070.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.324238249,0,0,0,11.30714996,0,35.64957282,0,1.769895411,0,20.91785417,0,-4.541785338,0,-90.36640584,0,-96.8500202,-282.1748305,-32.07789397,-104.1193635,220.5995201,2.988147111,21.69454105,2290.116233,-1.783303323,-94.77094011,-206.4566754,-133.5108244,-3567.33282,111.5799074,153.1462044,195.3596895,101.0271437,-273.4809174,62.2196717,225.0757544,564.9003146,135.2247759,440.0885961,380.7023553,205.4968783,1038.786532,82.82180673,39.81729603,15.31702115,40.45570993,27.38519484,5.549178993,54.37486829,5.350546117,-37.15120216,-10.76282764,-33.03824633,24.94058385,72.01770001,49.90681903,30.30421182,125.2461078,68.09678451,28.12828615,17.90001013,-59.65712449,-28.30970034,-1.645695296,9.951686313,69.75773448,52.24830236,23.26689047,60.45523612,138.8578916,90.17561526,113.492851,101.6079625,30.51772511,39.21186975,38.19713286,29.90244514
"152","000561.SZ","通信",0,0,0,252.0167956,0,0,0,52.63490532,0,21.64800718,0,-7.089633081,0,-44.91234114,0,-16.68347696,0,-20.21150318,0,-46.69192555,0,-62.11294615,0,-81.06310265,0,-440.0983966,0,-180.2285982,0,74.01439586,0,107.1098363,0,160.6619996,0,-3565.075185,0,-734.8663904,0,6.91780519,103.6016111,110.8986752,104.8681807,-59.51206062,782.8867249,396.1908118,384.0896886,105.3644813,-186.1326609,-102.0685059,47.48844439,-35.54255241,-727.8919429,-11276.91749,-296.0337162,-353.6898967,9.148563942,30.52053835,33.59374303,-868.6097399,84.93702049,83.6952054,82.6521031,284.6829685,-13.9363129,-95.68338666,-156.3362445,-104.2350285,-20.77111761,-35.84531178,-24.92744672,2.208481224,-91.30539006,-5.623573722,6.399644116,18.8716029,712.7536839,-16.13500129,-49.66575364,-73.65359011,-512.2076188,-207.8639585,-201.6246158,-6.454748018,47.33735661,142.0253172,125.5903265,42.66043604,-14.32212305,-19.37260622,23.58640931,117.3884965,81.62995498,396.5987578,860.3192651,13.53087459,-381.6172009,-44.40489964,-82.03422175,-16.11571491
"168","000586.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,9.576111094,0,0,0,-17.51360401,0,-60.89057037,0,-30.25415428,0,-3.875130225,0,-53.67333292,0,-32.23887605,0,164.5004143,0,-81.33693012,0,-1538.785484,0,102.0239771,0,13.81592405,0,-2544.71604,0,102.9984201,176.7843684,192.1738983,262.3835791,1486.481651,219.4942883,54.79680223,34.48964759,63.88109928,-11.36709264,-80.97045211,-82.80208323,-151.8868239,-274.256476,-276.9182719,-141.2069358,139.0319965,11.26194559,-305.5064792,-1721.975694,-895.2409082,-50.90871784,-29.60643064,-18.45166555,-133.6400959,64.67901331,75.66130517,89.91245487,105.3195536,66.6754065,78.14238493,240.6825017,830.1495051,212.6301451,403.1206614,80.92909006,-62.35534605,-182.028947,-150.8568176,-85.67466474,-62.08894648,699.9637724,759.8277092,723.687402,97.67666104,-118.3401026,-92.67349632,-80.55906095,-47.2941155,-22.11219544,-160.8514825,510.6367057,99.0144584,-22.4988002,109.7449536,-88.87471603,-78.63692631,-30.01269801,-3805.27853,-155.5119163,-75.05556338
"242","000687.SZ","通信",0,0,0,0,0,0,0,-24.30204367,0,0,0,47.79799294,0,0,0,-16.78565366,0,0,0,12.52289711,0,6.531402785,0,-20.8461526,0,-20.29725179,0,-13.06422268,0,-55.9837426,0,-63.46289451,0,-23.64350825,0,-18.04712194,0,14.53317291,0,22.59957625,64.40937797,37.87873309,58.43195193,52.99101387,-10.3973557,-40.79887995,-85.60827759,-78.18665877,-228.9986389,-263.2052324,-881.8184439,-1601.46874,-19.6410224,52.32124724,93.64324858,114.1636468,206.9312614,332.2879069,1508.94038,242.6305412,-10.88905774,-42.1493623,-180.4510161,-289.1512103,-293.4688177,218.565424,265.8649165,148.5424026,43.43831404,-109.1668281,-98.53914826,-14.36698054,129.030055,1581.366304,7974.624884,23.65013506,-362.3574436,-97.20140866,-105.7343682,-85.63461753,-137.3330765,-2042.128443,-1438.992655,-1681.463692,-22.39451522,-24.23148217,56.28507594,108.6634658,-18.86680725,109.5308361,133.2442319,-1984.613281,190.7653058,1988.306551,952.2404136,157.6596511,-75.67996735,-47.81122563,-60.77414971,-19.87966253
"347","000836.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,28.62999743,0,0,0,251.2071449,0,0,0,11.18309375,0,0,0,19.01637779,0,-5.38863983,0,80.69960841,0,48.323589,0,25.35191813,0,14.19299646,0,24.0973181,0,-51.2571622,-50.49575602,-47.67547953,-180.4538913,-375.8776006,-443.2025219,-1125.020976,101.6028444,101.4156851,105.6258472,103.2137684,-5576.98668,-4515.416195,-6396.619643,-3487.913694,204.849138,180.7739017,110.4630618,109.4506348,-23.01266984,-35.28070459,-12.35774117,-12.1701607,-60.18931575,-112.650734,630.1763594,567.0573074,-433.3570938,-450.4310993,-105.9123407,-76.99195165,1.430458947,77.27771876,187.683237,-81.38337634,-51.74837494,-632.4963849,-677.3144654,-711.4572809,72.99086515,64.78748381,145.478356,201.8007228,1831.393152,365.7462956,-9.411033791,-69.64667381,-167.8834595,-252.6611814,-499.2555768,-1131.494251,26.81057804,42.73543933,12.41598786,171.4092662,167.0603385,160.0172602,159.5448127,-41.98608786,-40.88596494,93.7258158,101.0289191,77.51709042
"353","000851.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.538297,0,0,0,6.017664709,0,0,0,-66.09196977,0,-60.54244313,0,-74.77169575,0,-77.01512574,0,-647.7873323,0,-917.4150644,0,-222.5501815,0,-481.0543347,0,14.91153478,54.75576862,139.1060523,131.0229485,131.0844334,-16.60971369,-45.90369978,-43.12345941,-21.35415437,2.670986596,22.5875364,15.93331557,-7.89589143,-26.23727169,-17.21539946,-14.07671839,-25.96833321,0.699221093,4.910183659,-1.176823213,52.96178751,-18.84349485,-33.24100286,-43.82963831,-38.89815999,-33.04420473,15.0173024,139.3206409,76.90342648,-63.03470755,-23.3417799,-36.55169841,-1.400919525,39.50061025,56.32857605,67.23722048,9.075419666,-0.410684534,-7.344470027,30.86883507,-17.15407008,-10.20812582,186.5463378,57.15522246,235.8976453,144.1313289,50.53592449,58.16797206,31.93371263,-64.4308715,-12.23662738,-4.144318095,16.19772543,-1307.024959,4.838762365,15.09117045,3.245266982,1.31894828,8.30409372,-29.42672175,54.35015047
"376","000889.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,30.18702599,0,0,0,76.27415959,0,0,0,-16.46176011,0,41.1441373,0,-33.44924444,0,-60.78254505,0,294.8838779,0,581.1567844,0,-6.786898349,0,-1.578965154,0,45.67623968,0,-6.378802124,52.04946194,-54.38303726,-1.065975254,-40.10247581,-48.22070645,-37.90230227,-33.90944178,-3.51917269,-4.766968434,-46.13561869,-31.9211037,-47.81981991,-164.2455715,-723.0897845,-84.0618185,-81.87178299,114.2801458,104.5461823,14.50627418,2.753616038,5.885795935,-6.48227997,-10.79834612,12.00805283,10.88340743,10.33243764,4.577877988,-513.270154,-2021.303144,-1696.566639,749.3393109,330.5719808,162.0635834,151.2043199,222.4529486,139.0913978,94.70306803,129.3035823,23.68453849,28.01917802,33.34259816,33.14680045,-2.465697127,-5.991910367,-5.592450462,-15.8533442,14.25873166,5.941573112,2.259551078,6.374572334,10.25529207,48.47955091,48.24510722,55.66021784,10.38797454,40.10435576,50.20355523,43.19632245,-5.297275033,-15.69075239,2.738214178,3.922217128
"438","000971.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.52272654,0,0,0,32.64885321,0,-17.12252499,0,21.07373379,0,-36.91466547,0,-3.924678033,0,-8.526080752,0,-22.01819089,-2.083941742,-2.884853214,-4.518032959,-2.468247476,5.644553154,-2.162288817,-5.964422013,-11.53479607,-36.64636554,-10.98685163,-13.27285574,-47.95618309,-40.71323834,-22.54149817,-23.23555087,-2014.004332,-806.85429,-657.6370454,-508.9723753,35.31166637,-125.8363794,-93.47983867,14.55762975,109.0333367,16.75671587,70.24967457,53.00086628,-705.0635442,70.28662994,-82.11270456,-32.29705882,126.3718276,-25.27705528,11.41372451,-106.6936056,-506.3417628,-0.353838405,21.18360155,12.4907951,110.8180439,74.96119349,36.69412498,34.94563561,-292.5341297,-123.2828435,20.72421146,36.4030936,126.5980814,-56.35892553,-64.63950613,-47.39303172,-36.56270057,544.624239,377.4708306,357.2134321,4183.840951,13.31776354,72.8377057,121.1973873,40.62050094
"481","002017.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48.13224794,0,0,0,3.315748474,0,-6.700929904,0.314876606,0.595963664,4.121436585,-45.45966191,-65.14960946,-70.62826988,-74.07341887,-23.8051576,65.0285007,101.296644,61.47711727,68.28773118,63.43158321,87.31073665,112.0616817,64.52973838,31.04779817,2.293846871,-5.768939156,-14.52259757,-26.67896359,-25.02922688,5.849298655,4.215180648,-4.846541068,6.267990133,-13.76157854,-5.588502168,-8.761505561,-1.239138162,0.590384068,-30.29338183,-19.0987109,7.091640823,0.485102122,-28.89336861,-33.72273114,5.698619665,4.128148026,102.3858639,164.1525688,56.89912673,9.74408137,37.05960899,34.97148065,19.56556629,-7.055571425,6.318169701,0.464832602,24.28165627,-12.93688535,-27.3517204,-35.25427413,-57.06064314
"553","002089.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.14499792,0,0,0,10.16676981,0,0,14.57129537,0.448152281,27.90227204,56.25020214,41.44559503,11.04067059,148.1103477,57.3080848,28.15159151,26.82144856,347.4094755,157.4342023,135.7555217,148.3059155,43.8999585,40.06655032,69.82363681,67.11725,-20.23822661,30.06358951,50.25153196,25.83884865,12.84035958,2.995857731,-37.75367943,-36.00796075,-34.11528781,-41.19939218,-50.48139755,-27.69089,112.3693719,39.42218399,79.63560828,69.90566696,8.311871817,31.9603738,40.42172278,7.575781601,-117.6309024,4.420733547,-18.49432212,-63.87010679,394.401719,-16.64928732,3.779147055,-261.2222243
"557","002093.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0720049,0,0,0,21.16015864,0,0,27.93800137,12.50379337,-1.913352167,32.70894486,66.64657593,63.6833022,156.6451573,121.6150191,74.86179982,49.17282738,-7.587023728,0.29554297,5.079780169,18.55682951,10.73315732,2.223114253,4.626565967,-3.645696399,42.77254757,33.05755525,28.10243909,10.08956047,-28.88521894,-32.047257,-43.05511852,-42.69787613,75.54697302,25.21455155,15.20630702,61.13595744,-50.3538456,-52.08840795,-51.85230849,-57.80975282,-43.13095055,-47.09049969,-31.4876381,-14.32460118,95.15726641,128.7304127,118.3341222,101.0167431,38.44117627,86.72392024,91.43924679,101.0496798
"568","002104.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215.960923,0,0,0,19.55263143,0,0,2.536823587,-2.94357212,16.45305703,28.81419216,42.11797693,49.47024221,93.26966612,76.07667274,18.53443231,20.24995882,12.60407965,6.01463709,18.12236071,22.70587208,15.82579465,10.28591767,10.62645466,10.97103988,12.62678597,12.92695264,9.370006901,9.957405244,10.63684401,10.61133734,15.81359371,10.97280372,33.39153767,38.48185694,49.55756591,58.04690137,48.74076458,40.42609999,51.23843406,45.52410044,31.64091067,23.20240215,25.12926576,28.05715652,9.382597162,-26.50048154,-42.69934326,-59.17370835,-27.89432886,5.64317702,4.935032059,14.52180069
"579","002115.SZ","通信",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.43598829,0,0,0,23.34071561,0,0,22.31942803,15.21778752,15.53632961,23.42186088,27.49846536,43.53899905,42.0989051,47.79681176,42.34898947,39.42767149,42.63598167,55.78028504,62.80797246,52.17908449,17.51295265,5.692799805,0.704576984,9.641900507,12.57317567,16.50100969,19.83141892,9.72818975,-18.80358329,-7.525494504,-3.42528298,-18.29856186,-51.20930037,-79.81257786,-128.2158492,-254.0493639,-368.9805598,-404.0977593,-13.79091118,110.1808114,41.7198753,122.5225412,148.9937446,29.76566466,1.744143925,-490.2568039,-299.3841265,31.07480217,15.91409461,181.4997319,198.7463803,81.71789939
