"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"1","000001.SZ","银行",0,0,0,58.7996049,0,51.24160778,0,30.37504081,0,4.134005299,0,22.09528617,0,68.1854677,0,80.96380619,0,21.83956744,0,9.516978871,0,-14.79404986,0,-11.36448428,0,-36.26713381,0,-22.21932145,0,-26.13569718,0,126.6053392,0,59.64817573,0,-13.09251283,32.50249682,40.73696097,14.94484497,7.422325836,-16.65551099,-13.9429738,-14.0477108,1.215316844,39.82361956,5.689107919,29.23751594,-31.82948186,-2.168067178,-27.27706975,8.296050077,5.580333867,55.60315414,176.1603459,196.8541075,318.9307176,129.4688743,117.0454721,92.69194457,87.67722868,87.66810445,90.73544707,77.03692911,-76.82801974,11.74040164,7.815623784,9.660101887,719.2902685,40.64257622,31.2250042,30.1455785,24.90865638,52.21922569,56.00264942,64.15279771,66.34002168,45.5119247,45.1989775,33.58128008,30.0302363,2.689556509,9.62154294,13.04852117,12.72202487,40.81916969,33.74053911,34.18262654,30.01116145,11.37712703,15.02184273,13.03682936,10.41813958,8.118671167,6.102719033,5.518602029,3.356963183,2.103187644,2.131467621,2.31849992,2.610734988
"606","002142.SZ","银行",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.745379517,0,0,0,33.93020175,0,40.92957679,43.9314645,50.46607699,58.28721934,90.58815518,76.60384385,40.02476551,4.821908407,-3.219527742,-2.078351821,9.439476413,40.73956856,78.80479194,70.204439,59.31883583,63.63070523,31.08773859,36.14729542,40.11755454,26.83216232,30.38295682,30.42706373,25.03840468,22.82170081,20.83577785,18.26935447,19.15196071,18.29531017,18.35476631,16.29263939,16.23317479,17.19971661,15.59698131,16.52101089,16.55732118,15.55374884,16.21146757,18.88839676,19.12216721,16.12678324,15.16059922,16.20798626,19.5963896
"1260","002807.SZ","银行",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.89546734,0,0,0,51.3867196,0,0,0,23.78135849,0,0,0,4.881856529,0,0,0,37.20958241,0,0,0,4.556209532,0,0,0,11.08525589,0,0,0,2.30188886,0,0,0,-17.11461831,0,0,0,-4.279960487,-13.84071933,-6.976522679,-6.798964873,-5.8328067,0.813765685,-5.746639768,-3.189985711,-1.221149035
"1290","002839.SZ","银行",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.69017532,0,0,0,110.6920698,0,0,0,6.961193891,0,0,0,3.703838873,0,0,0,31.96325589,0,0,0,34.71035049,0,0,0,8.788135181,0,0,0,2.82059256,0,0,0,-30.11000556,0,0,0,-5.574445243,0,0,0,2.160753678,4.846337464,3.857422663,6.575332228,8.406185044
"1379","002936.SZ","银行",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15675194,0,0,0,32.99510382,0,-80.52799343,0,33.72545139,0,0,0,176.3333576,0,0,0,52.24091754,0,0,0,53.97430423,0,0,0,30.23693762,0,69.15692926,0,29.50984568,0,27.49635927,0,36.23860828,0,21.73139669,0,20.52990908,26.27781281,9.098643047,3.97140116,7.144142812
"2114","600000.SH","银行",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.525468479,0,0,0,33.24640813,0,0,0,18.71498411,0,4.801771238,0,31.37423203,0,6.774978435,0,33.22886254,0,1.220823527,3.977929307,21.0410838,18.76937333,21.31216876,26.60255041,21.84528499,31.68073142,32.97802766,27.87023047,23.23895688,23.61335412,26.26584529,28.04555649,32.53694545,42.49022695,30.83478448,30.81205612,31.07981179,33.63534893,59.26027426,59.44855368,63.85308143,186.5529306,149.6204033,150.922874,127.6112506,5.293696984,6.37800975,4.53849255,5.587369708,38.65532464,33.93433993,44.25955743,45.12589842,47.97103058,42.1476989,34.51801378,42.63361529,30.59072654,33.73231029,31.3985113,25.42862365,12.84669692,12.95030696,14.35213415,20.07810906,20.74628533,17.25464055,17.19989335,14.95145631,4.635455218,5.505750645,6.562970967,7.679476351,24.10469538,12.07825582,9.774516344,5.257171991,4.360527253,5.480769231,3.057999903,2.466559857
"2123","600015.SH","银行",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.92505121,0,0,0,10.19506878,0,0,35.86269015,13.61447889,19.17154285,25.34472415,19.71904886,26.86279947,16.91439416,29.17019074,39.75636305,25.83065904,20.24039806,16.49039669,14.468288,13.86761577,21.35588927,35.5079382,28.95951982,44.20911635,80.4254804,90.88106772,90.31878558,46.14763413,-14.54207546,-13.60730192,-14.93175934,22.44952099,86.09451955,80.56866374,71.32366892,59.2877966,30.69945073,41.89077806,44.42617933,53.95015962,37.64081085,42.34847701,40.39554892,38.76692269,25.55045851,20.13168724,21.20915033,21.21756799,26.39783124,19.07371883,18.76516581,16.19495842,11.42091153,7.157652474,5.788876277,5.154524774,7.362848893,6.067439863,5.064377682,4.242296328,1.860152398,0.303735952,-2.457788671,0.89593035
"2124","600016.SH","银行",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.57572309,0,0,0,18.47200075,0,0,0,114.3440131,0,89.91388327,0,170.8840601,20.41995925,126.7190963,37.65941655,37.93028761,42.86015534,48.14393447,59.65625913,59.57963945,61.61505047,68.3926183,47.14183853,46.51558452,31.75471292,16.03367149,26.84367341,31.15265348,24.40936954,35.15508768,27.01982513,43.33065137,46.63166036,65.810056,70.43759112,68.56735828,122.3164782,114.2898715,101.1315277,24.59006664,1.546601547,22.0476348,17.75625504,53.40174838,71.66332665,20.93779645,28.28747675,46.0852329,46.25262666,57.50784402,64.86032667,60.80393487,49.04214559,38.07626636,35.96759259,34.68340189,20.87617823,21.05317395,16.13946678,12.98423306,14.56801063,11.0538861,9.736433199,5.2793309,4.934643051,4.526465065,4.36281058,3.19310027,2.815655635,1.576708712,2.114532934,3.734422185,3.993117786,3.29218107,3.053473389,4.395424167
"2141","600036.SH","银行",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.84039561,0,0,0,78.04163163,0,41.39157215,0,26.10029739,64.97741397,31.50961491,26.34825146,28.57917164,45.75337537,52.42678666,50.1560123,40.99613886,30.19395403,26.40039599,27.08160413,20.4432002,24.49316045,31.11487724,38.77400931,87.69020811,71.9273743,120.3817069,128.0942576,124.3597292,156.661251,116.4215686,90.56168506,37.4138949,-33.40718468,-37.62174405,-31.16479815,-12.94280531,40.4230038,59.80392157,57.40174339,41.31615026,49.09460146,40.87707339,37.90624241,40.19558384,32.14528944,25.67741935,22.54825983,25.31347745,11.81927504,12.37752963,13.52881989,14.29139424,14.97157782,16.19203533,16.27712643,8.323992115,15.60767021,8.683115436,6.243602866,3.512997556,6.449748599,6.521149266,7.293075882,7.518356372,9.083012107,11.70044153,13.0291915,13.23821738
"2881","600908.SH","银行",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.8540742,0,0,0,0,0,0,0,0,0,0,0,62.76925779,0,0,0,32.11052066,0,0,0,18.10921801,0,0,0,7.404351449,0,0,0,-1.531948836,0,0,0,-10.75976253,0,11.68411076,10.34765307,7.876910529,11.2470094,11.11776681,10.40952333,12.38094591
