"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"3","000004.SZ","医药生物",0,0,0,118.189685,0,-4.135949017,0,-40.8445424,0,14.65823949,0,-44.45931983,0,-109.6178822,0,-640.3416788,0,288.1764015,0,113.8510811,0,14.29230339,0,-772.5739919,0,-101.2051501,0,109.0737877,0,9358.610935,0,227.6790243,0,166.9899526,0,-42.86709169,0,-136.363768,0,-36.076365,20.0687279,61.13695833,-197.3444569,-6.956887531,-232.7348366,-43.91277821,39.69690528,-142.9625454,73.10329719,34.96962005,-469.9562508,-465.8786989,226.9553526,65.30611136,36.31568251,115.5413607,-68.59800822,-384.8536454,-23.26203277,-446.4266413,-189.7509736,64.39568445,30.90042695,-14.8192893,-69.19954246,33.58661494,29.55676003,139.4675902,227.7770105,870.6042413,904.3218017,345.6949363,38.27547698,-54.73895194,-74.10671084,-54.49263095,-14.73145696,-52.47913487,-21.83356349,-14.99872031,144.531319,200.7051203,112.964557,-25.81798483,-219.354487,-214.0269129,-153.5825594,169.5443848,48.19566448,193.0790233,285.3954143,-56.1137054,-62.40541461,-32.1543265,175.3797644,479.1955304,40.78477559,-292.3468495,-140.0521704,-85.16417943
"24","000028.SZ","医药生物",0,0,0,45.31473464,0,0,0,10.28030985,0,-67.65623451,0,-35.89033835,0,186.0057788,0,73.30062884,0,-95.58652334,0,-174.7147068,0,305.9513035,0,130.0549724,0,460.3267131,0,779.4897787,0,-25.07274958,0,-113.9667507,0,309.157584,0,461.1952532,0,-87.62977917,-80.83154289,-77.73077287,810.886902,-0.09767902,-98.55292035,253.3006507,-1.593472038,61.00336052,106.173809,75.9975266,223.3339902,88.72795947,74.04340946,34.53480549,100.1700663,137.5014935,164.4558286,137.6955438,23.0171741,37.66571064,51.213027,63.17345606,45.71311749,30.07885136,17.33688871,17.11126997,8.703693576,22.72354564,14.54616205,18.41001585,47.39951808,21.23682458,23.90052403,33.1682045,35.80208515,36.40156854,36.0736738,24.0669622,38.14065711,45.26089431,46.8653936,48.44818228,19.75642341,10.11044061,11.73303659,10.44851388,16.93898288,33.52771002,27.27446667,25.38690449,17.52935261,11.76071271,14.1933192,17.54247827,1.422840311,38.71707265,25.26289967,24.46059131,7.270554199,-15.75347908,-11.89776271,-9.754979284
"56","000078.SZ","医药生物",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.37278637,0,0,0,-0.979906973,0,0,0,43.91499814,0,0,0,26.8654905,0,3.343521917,0,98.65218163,0,91.80423751,0,115.0559502,0,-55.81628991,409.1427364,-59.01969173,38.744929,-1.706565216,-19.19306406,-69.66742761,37.51407181,-34.64094146,-23.80481634,129.6816484,187.2080225,-665.3769317,-395.8906598,-2404.151606,188.3050098,105.8900615,119.830185,102.7623304,-2.343486303,791.1676908,370.3056917,36.1123697,84.08982365,-23.58604287,-49.0411849,-39.17191569,-94.06296774,-52.11923939,-33.32031234,103.0204238,675.2568776,88.3204906,74.65978219,8941.769739,69.39124916,50.44206363,57.37650244,11.96874574,9.087962063,29.16260185,30.42710016,63.31938273,8.782121659,13.32528123,15.35536095,126.8595712,1.077666403,-0.480843561,-3.494876041,-63.53122396,6.122641301,1.813356464,287.2632718,519.994188,7.382059235,44.05154814,-30.36898598,-3.788394734,162.4899325,160.9365489,101.1890704,64.54583535
"63","000150.SZ","医药生物",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.24944375,0,0,0,11.73068273,0,-55.02614758,0,10.17511469,0,56.3291509,0,-93.82547081,0,-122.4516092,0,-1261.203828,-333.9318669,159.6782217,148.788951,-70.99314019,107.9822546,274.1155187,147.9005833,111.974112,-858.3033613,-277.6568571,-336.1870121,-963.7485967,-134.8477859,28.82357752,136.6663493,55.58274784,18.67547242,22.90035946,516.3201261,374.0081522,220.8299601,259.0675097,-57.27608387,-25.79765288,-80.99610951,143.6043254,232.6020339,17.24881851,27.44389917,-84.06879982,-91.12952591,-90.05146607,16.16779427,-57.61145912,-41.65940243,-7.655174879,-53.94118402,35.16651587,-32.34446384,-70.42089273,20.18140702,282.3346604,411.5761794,3842.973846,-847.8430458,-36.21696499,-93.73882214,-67.54943756,173.28035,-69.29384869,172.3881519,84.62847301,25442.80175,44011.57007,44797.5938,1248.934588,-95.76714308,-89.49041651,-84.39671326,-75.18422202
"65","000153.SZ","医药生物",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.08656699,0,0,0,12.24101805,0,0,0,204.2149946,0,8.132230714,0,13.09257031,0,-13.44636602,0,10.83391721,4.187736404,-10.62589237,-35.21389122,-29.83049461,-11.947895,-12.94191915,-9.226705093,-44.56875261,-18.412528,-23.75087295,-26.7236793,-7.652080151,1.009190749,-2.201057352,-11.26719085,163.3583051,-43.07538179,171.6161184,5.102465889,-75.8910928,21.00243712,-64.58304775,18.7969348,158.0511823,66.5572156,67.13705357,108.7343014,55.99424277,19.38094441,132.5298643,66.97595339,70.73611101,34.68246649,-40.67273587,-58.75786495,-75.48207981,-51.62701727,-18.5226122,1.490187509,64.39842177,7.408163881,10.18407692,40.08227198,50.28107912,63.44880217,63.88455675,62.0855028,51.22864662,38.2271495,-2.153023315,-10.6637269,-23.46709878,-1.492549819,29.15928616,23.9052004,33.43267538,46.70543669,66.33781769,40.54038936,42.95858323
"78","000403.SZ","医药生物",0,0,0,0,0,0,0,-48.46418476,0,0,0,3.957074043,0,0,0,98.67817519,0,49.74703464,0,24.54399058,0,-28.83114643,0,32.71496403,0,885.171656,0,282.2576235,0,29.58164499,0,51.15921115,0,-26.11353787,0,-23.88579065,0,-35.04594579,-23.93475347,-53.50954162,-9.757238587,-32.47209032,-30.00102662,-36.40969412,-95.36860792,-39.34335803,-76.11556598,-854.6092205,-2640.530458,-228.9890867,-380.5281747,-149.5283774,-123.0952815,-83.13594653,-102.3470812,86.84254078,-16.52517134,-15.05735258,-20.62492495,178.9379864,1260.946424,918.9058365,713.1135122,148.0007419,-101.8233115,-102.5907353,-100.0364499,-121.5250507,81.49451326,77.87824299,-3651.076298,72.72697316,963.296627,1056.455691,310.0611698,136.1914904,-12.84363886,16.6734851,212.1338669,-35.79050377,177.3913265,125.0580911,147.5147639,2424.69034,330.6048169,92.3526318,42.03395518,67.06795237,-88.43733996,-49.12290496,-46.11569459,-37.49308204,27.16764818,-23.75437284,-15.35981944,-33.69146949,23.92358426,12.91389528,5.973538082,-21.86159167
"84","000411.SZ","医药生物",0,0,0,0,0,0,0,-16.33904965,0,0,0,-40.14106792,0,0,0,29.05360283,0,-38.73242367,0,78.97523172,0,-86.95360337,0,-221.3786911,0,-3270.130365,0,-36.67652591,0,19.42516174,0,-4.779676206,0,17.1642185,0,113.2243989,104.0779615,106.2144381,104.4270005,-87.05326556,1534.300086,518.5763933,416.6246385,1779.187415,-73.93103219,-54.13553798,-19.55640188,-5.376678238,187.6171332,150.5064647,130.0194103,54.77621666,3.334019588,5.284171599,19.03431327,58.55423383,-72.54088191,6.845135447,5.681965938,47.76785177,490.7798372,128.270131,128.325851,33.19362595,6.911850898,36.92244664,26.72331959,56.96184944,87.50419404,44.28594621,47.93313375,37.39140742,63.47356726,747.7987011,525.3860926,338.9489315,23.26520526,-80.87089518,-72.07703324,-62.56365035,74.86502448,55.85585541,29.57900798,17.45311467,-42.83486774,-31.5520954,-20.51354194,-23.94863355,12.1326066,8.24918623,8.97533705,19.90142091,16.23609203,12.22699621,13.42001715,24.67563844,14.16308964,11.39996315,6.265467783,-0.222948128
"94","000423.SZ","医药生物",0,0,0,0,0,0,0,71.44532261,0,0,0,9.816354264,0,0,0,35.4013182,0,47.12447287,0,39.10240317,0,7.716947882,0,16.64872027,0,8.293308539,0,23.20247076,0,18.13069001,0,87.38170729,0,72.0418169,0,31.68225901,0,11.96156129,0,-20.70180573,15.03417219,5.57754462,13.28699847,12.82726495,13.19431892,21.10564779,33.42452101,36.54717771,19.60964051,-2.308871875,-11.37429683,-12.73906515,0.361565205,12.06657759,12.51491394,34.98548228,49.11772506,32.67652784,31.82083941,36.89078113,55.16745398,45.52426033,42.61783954,40.63546552,-0.360376219,21.65010389,32.32401162,37.45582305,120.539575,91.0050374,71.76831207,46.17730062,59.6910105,46.56596182,45.37141103,46.47904952,23.84279345,3.756917769,20.17155001,21.06286804,15.16908878,16.37852026,16.47216649,15.77074677,10.31111086,12.77944689,5.826329225,12.50789259,23.58650489,24.78878386,22.93656325,19.35006847,3.644446986,7.638885407,8.509002145,13.26929464,10.49592536,8.307073743,1.507957727,10.18009139
"104","000503.SZ","医药生物",0,0,0,200.8988566,0,5.776100753,0,65.79830117,0,-36.91008196,0,-149.6989887,0,-98.84167474,0,281.3572212,0,-34532.23682,0,-486.7779675,0,74.19926042,0,113.8200982,0,320.4105799,0,305.4987134,0,63.89507349,0,-1.720409369,0,58.80626931,0,35.52418316,0,-37.23845794,0,3.043672897,29.30902878,-15.68615293,4.013274056,-4.268129358,94.90559834,-10.79830252,641.6592629,256.2107213,-64.17934848,-54.36034461,-95.58814029,-90.20161017,977.522986,126.5451803,70.85801006,-116.1363559,-96.82088077,-71.89912459,-74.03599953,147.7248062,-88.39491885,-106.0039737,-66.28193773,114.5936719,-185.0902209,569.7085289,138.5349936,10.48143336,258.1952559,15.86233738,-46.43866502,71.92953422,86.84647628,466.6057772,-21.98562347,75.61264719,36.4820666,-67.59342413,22.83114699,17.84391066,-35.62402675,-1.275143147,-73.74244346,-44.94462802,-51.43660595,21.53768701,-77.62884122,56.80208373,-5597.579017,-829.6725175,-57589.33318,-50.12875067,-45.22489633,-34.54413863,4.601437099,35.86338504,-42.87600182,-28.56111429,-65.28299283,-102.2875067
"111","000513.SZ","医药生物",0,0,0,40.61145304,0,52.42649508,0,21.5443848,0,0.27335061,0,-19.90486144,0,-21.42019076,0,6.883378381,0,-28.82996045,0,-37.03731448,0,-1.306939585,0,-13.79771641,0,-3.261172839,0,-3.743136232,0,-49.2397526,0,186.6792226,0,165.7624089,0,188.6763191,0,34.98662695,0,17.66465393,17.42747642,19.91727066,-12.05799109,39.43834582,87.04405522,32.98940958,34.64964698,10.93128883,-40.74921046,-15.14081306,-19.62873832,-13.7095377,29.65827807,3.329962795,37.65156684,40.66276706,205.4396366,219.8380557,287.6077768,220.0102027,-57.89092589,-70.67362151,-85.36760603,-86.06993227,121.0614081,276.3172016,454.9060956,604.7224645,8.551540939,-2.149338256,-5.527886342,-11.9316638,-0.784651768,-8.363019253,-14.7158821,-14.29680981,-8.278794119,4.441089714,21.13816029,22.54385216,22.0212656,9.299041656,9.208425355,10.26116339,0.135588814,15.37455265,13.27730697,5.655804902,36.272842,19.72313588,19.94352931,19.13601195,22.12368635,14.75523347,20.53457712,25.82801543,20.53400174,28.75660714,559.539129,440.7420798
