"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"11","000012.SZ","建筑材料",0,0,0,185.4762958,0,0,0,12.76906044,0,-1.196825786,0,-15.79406418,0,-13.97688353,0,8.469487689,0,-22.66402195,0,-29.54748149,0,-56.09872993,0,-75.44157162,0,-46.77980219,0,-635.9164717,0,439.2086521,0,203.6511705,0,-1.55494177,0,-20.81909491,0,10.93256439,10.45285823,16.25257911,26.06626951,10.17170303,20.55873079,22.70538867,126.0238024,104.1501885,78.87972521,69.82501247,-31.0788019,-13.1936656,-2.778970423,2.660420204,-2.763532587,8.084036796,8.860870161,10.06802108,16.42186917,2.300308552,21.66475643,36.09302386,221.9703709,139.5946883,58.96448516,-11.81534916,-69.27310605,-37.136794,2.648406671,82.83713052,379.0796069,142.8152293,81.69536304,74.60548614,35.47166123,30.94134723,7.615935282,-16.24601314,-68.12219133,-68.00042813,-61.13078818,-72.35123339,-9.737603454,40.07457177,52.16461985,353.0242809,2.694323501,49.86673717,7.064579569,-43.90517185,-32.56755462,-64.25834238,-47.5786589,-31.9156545,128.0731389,110.928773,75.73192217,46.82829279,-13.9597685,-13.98819881,0.440004884,3.035153688
"20","000023.SZ","建筑材料",0,0,0,0,0,28.72144076,0,37.99110423,0,-28.25471425,0,-63.17430351,0,-152.5686131,0,-102.8853113,0,421.2929516,0,7164.184804,0,-78.16022726,0,-19.92980346,0,3.754161969,0,34.98818013,0,54.78022957,0,-29.93815092,0,-83.00502737,0,-1024.959536,0,161.0096273,0,124.6249169,56.97401607,-78.36610696,-63.52182443,-6.817946193,19.84805219,-607.3360054,-376.5954992,61.66483294,-17.60749142,105.1510942,32.73404562,-353.6595891,-188.8836243,-2311.329258,284.7105824,192.7946376,311.3702129,328.1121201,-59.80817795,-48.03603761,-137.120294,-74.29774238,42.25382097,46.29723783,-3.657934254,-163.0676805,106.6186394,13.04623712,-66.38486047,-51.81424858,11.73937616,-45.12499337,118.3919825,124.1117131,-99.78294501,-30.28134945,-550.9932038,-1532.195856,-49667.11046,-43.61556381,-29.0213881,155.6367608,174.8787405,130.4093098,53.20737674,-111.690073,81.13217027,27.43777127,40.74332302,1696.609737,93.39023545,76.77743722,101.8297821,-10.81386503,-52.85792189,-40.57003542,14473.3382,76.29410038,153.0552012,81.2472655
"76","000401.SZ","建筑材料",0,0,0,0,0,0,0,-5.659339695,0,0,0,-6.707140808,0,0,0,8.012705024,0,-16.77442404,0,-3.359580333,0,-10.272916,0,-9.458509136,0,-26.55493362,0,-21.04343807,0,1.029631139,0,-11.69942166,0,-12.51900753,0,25.86488393,0,-31.89739456,0,-9.033286283,110.9117945,57.72000595,28.53127704,41.50936604,1855.869654,33.02149404,5.936980777,-3.901425484,-189.8840296,-14.38713746,-14.56859193,-5.599071124,90.12435276,67.39324608,70.28327988,66.02960526,-1297.910556,97.52536502,122.819112,85.14907892,-35.78591575,6.282356132,7.44510093,25.23414003,6.59961107,88.63754457,100.1125998,108.6451934,237.24143,75.16325819,51.36695419,45.791014,-86.78445803,39.57949728,24.3899848,0.837966929,-8237.627052,-89.6184816,-86.0332703,-91.27603033,-61.1925338,-378.8132758,-62.34189719,44.02163571,-14.10033811,-36.26009526,-343.9251526,-239.6311286,-33.94489962,84.39881655,-361.7985873,-674.953057,-23.12162716,-1900.429877,40.81686848,98.90001925,53.48903466,90.80284035,170.9110805,654.397739
"109","000509.SZ","建筑材料",0,0,0,228.4859147,0,35.19453306,0,-21.60606502,0,-61.32387243,0,-93.0547832,0,-84.06946904,0,290.710762,0,-0.300623936,0,-577.7541823,0,-84.31320533,0,256.1190263,0,10631.12819,0,-58.82932148,0,-15.83254523,0,5.90053628,0,12.33285883,0,5.853628976,0,-175.0462472,-223.8041223,-1235.034602,9.326046933,121.2196,140.0569259,103.6321833,226.3677954,434.5158317,7.841019843,-358.3989688,-14.02429486,-42.66846287,-50.56625123,-459.9217408,-147.8952867,27.02105128,-73.59821619,112.3795455,-724.9595787,-584.0117888,-2365.419255,-41.11226726,118.7969573,17.90817717,-157.2607271,-1282.457704,-438.6667024,64.90329897,91.03291727,70.3467384,-32.83510416,-84.84449267,-28.67655953,118.6953845,-104.6200162,-196.3341578,-466.1525514,-1609.707671,107.4939927,111.813134,101.0389013,22.58017223,-516.4618638,-505.5679883,-4061.667024,117.0678987,115.613915,-5.830451217,135.7518601,-446.2578686,-1090.902777,17.76563834,-379.2355646,136.1178843,26.07553096,-10.95384816,-18.38648081,-476.9027703,49.9304574,56.84261796,54.94664989,116.5409365
"139","000546.SZ","建筑材料",0,0,0,0,0,0,0,36.97040713,0,-43.46232613,0,-48.31047801,0,-98.02145601,0,136.0933234,0,2797.135158,0,11.08303499,0,-89.06424199,0,-210.968899,0,-2996.688754,0,-243.6742627,0,12.34904167,0,-4.715375899,0,-0.12281339,0,118.700405,-17.59670388,169.1271878,113.1230026,-84.60407692,-86.88387544,-512.7433893,-1713.675234,391.1927916,22.87176596,36.94414251,36.42983045,-92.93866532,-33.31979705,-96.77047475,-40.81495586,719.5185959,100.3409571,159.4104121,174.0006652,131.8368321,-6687.317831,-156.0653764,-161.2639187,-16.86273572,-98.82920238,108.5122742,73.87492336,-210.4188587,119.2389179,2628.244527,502.6736204,188.7466643,-228.0039488,-115.6121966,-139.5748481,-90.40412321,970.3474659,554.6710335,295.4827271,1119.477171,17.03115607,27.38469905,42.80910224,-75.65948112,-118.346029,-143.0026372,89.3146449,283.840668,25.66465516,4.485738234,-96.49315416,6.458584146,-50.06599618,-86.80985189,-19.96396159,18.47702203,38.6748332,699.2402446,37.6552755,13.25397928,-90.64693267,-6.303541706,18.00167171,22.61327252
"195","000619.SZ","建筑材料",0,0,0,0,0,0,0,83.10715009,0,0,0,25.22123894,0,0,0,24.02848251,0,0,0,-12.21029646,0,-14.99022951,0,-14.96272603,0,-45.22276541,0,2.027595511,0,2750.853429,0,828.2450802,0,37.71160907,0,238.2538038,0,39.11451771,23.65034806,1.926109412,-41.77315705,-58.83918394,-62.36907051,-69.17155435,-87.89969912,-58.77514209,-17.19194764,5.021639743,548.633512,398.71008,196.7016793,148.5821576,2.957881896,6.55001354,7.427021474,5.162654936,22.21651474,-2.303979567,-18.83161459,-23.6724053,-38.80690442,-33.29763805,-41.75059089,-32.58532278,50.87220254,107.7146751,204.2400675,187.5339133,9.991438498,-15.78909143,-29.50389991,-26.882979,-80.77839247,-66.66839323,-65.39336339,-37.01648912,290.4125637,149.746636,206.0224773,100.009284,-33.61009103,-25.89451907,-25.97318815,-30.43618146,-6.963491665,-3.293991207,-14.89597401,-24.10370031,-46.17902831,-31.84894194,-24.58307986,-3.47819921,13.70170287,26.0068406,19.48676926,-26.04076313,-171.0097456,-93.64216918,-90.95719996,-83.03493519
"230","000672.SZ","建筑材料",0,0,0,0,0,0,0,0,0,0,0,34.32040284,0,0,0,37.7166788,0,0,0,16.92239138,0,-56.69327451,0,0.196822867,0,-355.9703253,0,87.47491323,0,196.728274,0,-7.488991808,0,-8.83867821,0,-17.68466296,0,-38.72676686,0,-656.7977237,-566.2517138,-204.2835901,-171.6712996,110.9757656,198.5399132,195.5374686,88.94437917,-1873.956789,-134.1641297,-86.1564308,163.2050805,-7.325879926,-138.0160903,-16.79277489,-7383.557521,50.7305528,-8.990150193,-2066.018629,75.40109532,154.0668672,111.6724544,71.95400346,7.23555993,-81.46836864,-792.7068325,-121.4036867,-44.03633895,-36.63083786,-29.83045984,-20.00051709,-16.30191967,29.74144095,21.41250099,21.6056292,21.15176259,-32.6767808,15.46258954,26.78836153,114.4945501,-70.72990625,228.9811849,-3.263136497,40.56503924,146.587875,726.3273231,465.3267509,278.0612083,41.72994364,-74.41698823,-74.10977564,-88.28630604,-83.73916482,-219.7025372,-74.91996727,2430.605877,90.0694954,359.0779276,512.9537925,469.5238115,452.2099513
"308","000786.SZ","建筑材料",0,0,0,0,0,0,0,0,0,0,0,5.317505185,0,0,0,11.35945415,0,0,0,90.42654333,0,-19.36460057,0,-13.29512888,0,-38.77727016,0,-17.76938937,0,37.01695143,0,23.87584621,0,34.86077314,0,36.18793943,0,15.61569103,0,0.128909238,-6.108663405,-53.16206471,-30.11977136,-26.9518018,-9.06906914,21.4283625,17.30848262,27.2220646,57.07105764,117.9075714,149.6160525,96.15660389,72.94368418,52.21754817,16.74204296,25.67215806,18.49741279,35.63532124,19.95096167,25.07009732,130.7984469,21.2974856,-3.308806643,14.38380701,-70.06276538,31.86217181,82.70364552,59.04638875,39.41637022,36.17935165,30.89459931,31.86066501,22.96149222,24.61861134,24.49675303,23.06085958,24.63907005,16.39228825,27.69391726,24.36450989,54.98225529,36.27368214,31.47205594,34.54325077,23.77610432,28.47906042,19.71416531,16.77680879,-12.4109474,-6.698632621,-10.06412972,-17.24463772,19.7628973,15.48566521,21.11697803,20.53134034,9.678022155,12.6018608,51.57102746,60.700315
"310","000789.SZ","建筑材料",0,0,0,0,0,0,0,0,0,0,0,-4.278052146,0,0,0,-5.599877293,0,0,0,10.43263929,0,0,0,14.55366161,0,91.13088874,0,-8.041242267,0,-25.17053861,0,14.40503026,0,-47.73135229,0,-28.22573672,0,-20.94233098,0,-49.59057906,-5.234736344,-33.69192978,8.123636394,177.1130145,297.6953286,121.6940331,-43.946829,-214.0414355,-342.9056392,-576.8920698,-1317.396824,-180.3269684,104.8065482,103.1102432,103.7693497,105.8706784,47.9536367,195.4911383,272.274309,301.5371924,1082.900453,703.6342638,327.1768096,187.8073257,-74.52497909,-61.54217024,-15.13535837,44.59173209,139.7250691,-254.8728945,-94.83186733,113.425906,824.661359,1629.985661,26052.90469,169.6303153,-56.08934737,-83.26066599,-83.81350857,-64.11446113,-9.087412452,176.8019349,263.2487854,148.3885619,169.5696298,85.58674888,54.6780162,25.50527127,-47.2075352,-69.60261868,-70.47944116,-60.85484609,-94.95595411,-14.67867823,53.99276203,12.73944627,815.0990367,98.2030738,72.26741913,117.8002929
"366","000877.SZ","建筑材料",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.474236,0,0,0,-5.892913524,0,0,0,101.9482133,0,0,0,15.98071892,0,50.85619866,0,60.07237915,0,92.47112597,0,32.88161434,0,-2.893674635,0,9.49481243,-119.433172,-8.003579326,16.730567,0.823889499,-7.921907245,-659.1513711,-178.8800324,-331.1284666,-118.5945606,84.09375594,122.0102423,105.8086935,32.5580711,192.749894,248.0091819,532.7213464,20.72747914,-0.94203152,57.88819204,78.95584588,-6.72685788,193.8705803,102.3411397,76.93575903,-9.115058563,100.0187581,39.90113138,45.96014302,-34.85949215,9.39540619,55.41206493,54.63108077,72.25474942,144.0620517,93.18265645,107.8891899,-860.3693858,-64.65110822,-61.11420992,-65.67453057,-36.99377701,-42.89271934,-18.31004583,-20.81899723,18.88819263,-123.8612665,-14.02961786,-33.66605972,-54.91252632,-1404.434042,-228.9200748,-362.8548983,20.24928321,56.85075351,93.36351815,102.8361494,31.30924709,110.3654052,1342.324155,1382.180756
