"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"9","000010.SZ","建筑装饰",0,0,0,58.71627795,0,0,0,-7.023350694,0,0,0,100.0730859,0,-14.32058172,0,-3.679344926,0,-46.68179945,0,16.53409211,0,-63.72228721,0,63.56191416,0,-2082.411013,0,-2733.684896,0,88.63736947,0,139.8595079,0,172.1327597,0,-84.9781527,0,-27.71858584,-31.74474636,982.3285278,2155.25543,827.2730888,426.0256769,14.76452078,138.4714088,-17.77591299,-20.3590927,-72.72073735,-124.0371399,-45.57326393,-66.87387137,-903.8813493,74.05252831,-259.5431974,-423.0170847,110.2328299,-256.1227583,83.73691176,71.05144934,-384.509235,174.7321976,139.389819,342.6079652,176.2303976,129.904641,741.04242,-23.94234587,-47.50656685,-143.5381942,-134.2073653,-96.61576356,-60.20428366,-334.8543245,-127.1983676,400.8529033,118.5143918,19.04982388,32.67313452,-646.5231819,-57.04488034,-95.22935865,189.4992992,137.9920172,-90.99734521,-1883.15625,-273.0236725,-480.8740461,-2076.465318,58.85882821,113.1112223,114.121135,143.0798958,-1184.137254,2631.41462,961.4680333,19.99636062,22.62289722,-278.7246575,-43.57761812,-2828.832489
"15","000018.SZ","建筑装饰",0,0,0,-2.234324247,0,0,0,17.45074844,0,-79.35181208,0,-65.1780903,0,-26.507584,0,-84.07387876,0,-13.76679738,0,-664.5975721,0,-41.28339362,0,123.3751823,0,83.39600266,0,322.1919035,0,-8.545908082,0,-53.6225532,0,-47.59433123,0,-83.38276552,0,-31.45271591,0,43.65406878,59.87127394,136.7185384,124.5412762,26.63768104,268.0536508,-58.58022535,-77.14643202,-72.7377499,-530.6555779,-553.1439873,-2411.196849,-11127.80366,-16.42538756,-81.98728727,-16.10352728,142.6127215,-516.242717,-236.9110288,-168.2756448,-735.3236407,90.68801501,88.33491047,85.10663638,79.08377153,20.65661746,69.50050877,95.60506825,144.9521346,-91.92291319,495.0327037,1558.794321,-79.75866131,-17.30519046,-253.9890672,-295.7182985,-834.8793619,94.39199433,49.31710436,50.08912578,98.58047562,-1042.282003,1.517266217,91.35954385,3273.845575,57.01218837,117.9049599,320.7510209,-45.38537032,65.85688664,-182.4260155,85.79441138,85.2230349,58.69535556,21.91532245,24.59363019,36.40237243,30.61985544,38.6420731,40.29770149,-18.65032689
"43","000055.SZ","建筑装饰",0,0,0,0,0,0,0,401.4792205,0,0,0,95.40527751,0,0,0,157.225161,0,67.82446568,0,21.45572003,0,46.22227639,0,17.03877126,0,-58.67650433,0,-54.53574641,0,-17.42869034,0,4.567995289,0,4.597200759,0,-253.8769098,0,-207.8390468,0,-450.1654396,-401.6468842,107.8865483,113.3898088,108.4478426,133.1293588,213.3492439,104.3706215,-48.31145101,-38.44790947,-84.41316119,-86.68419491,-1237.034635,50.25099917,507.2112558,566.3898422,133.8882966,42.8759231,164.9435586,135.1612772,18.60734691,94.9306229,-25.09631539,-46.74046938,-18.19540966,10.56530265,36.85331822,116.4050778,92.15448457,2.390721898,12.04033771,18.53267566,30.72599629,59.92505043,45.61456798,26.42408468,22.97548616,-53.46645493,-95.65450842,-87.09137388,-89.14915964,41.12330863,1857.82128,748.3036359,1163.351194,4.802333701,4.505906462,3.364120994,13.86788328,29.86319635,12.57727837,7.634394398,-26.40431808,37.41491864,10.11556551,79.81639918,861.6462883,252.927515,367.8724608,232.6564932,75.46707473
"51","000065.SZ","建筑装饰",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.49140667,0,0,0,4.977925326,0,-17.17466545,0,11.144219,0,67.8901075,0,74.00659741,0,2.100932798,0,-7.818884339,0,-23.84870834,0,13.52055113,0,65.75749827,0,47.14800377,-29.35541108,26.94609133,18.27028028,-25.29665953,-33.77286035,27.10226904,21.18055824,110.2367015,86.825604,-7.733653593,10.61580991,-37.98661442,119.9146382,-164.8421691,-30.59648379,-59.1489328,8.30256962,20.14426619,-288.117996,-732.1238224,-239.136087,-66.98603957,95.82685844,149.7443003,109.3515269,214.99184,1642.819505,47.1400454,-1491.27206,-114.8703318,-21.85644431,6.685736688,143.3489237,1976.708823,97.19579437,71.55372544,-112.3050167,-21.06868152,41.07451459,67.84481819,-1288.342892,-45.26010725,-8.382497953,36.88379114,356.9397311,140.2284484,330.546967,14.46869197,-13.70128592,-1.280706688,-41.42463424,2.731271616,36.29846694,79.26680125,50.62211137,48.76225021,27.05689284,14.48270003,37.13578715,2.810579945
"101","000498.SZ","建筑装饰",0,0,0,0,0,0,0,0,0,0,0,40.51169796,0,0,0,-53.2128055,0,0,0,73.93396128,0,70.09006504,0,-14.5196754,0,-47.89084395,0,-35.20079617,0,-76.95886268,0,-80.228313,0,-53.15981666,0,-16111.11958,0,-1834.765255,0,9.342790101,135.534293,116.2664394,114.1449545,150.3042622,1062.316629,853.6867122,695.2674278,-10.05675773,-77.26060411,-83.2882673,-168.0678877,-497.0398222,-56.63643902,-27.48074014,53.16722899,-107.1768257,-1138.731921,-882.2190636,-259.9451929,-64.58864627,-12.35442146,-42.89232335,-73.18560133,101.4899482,-3.062806269,13.54146539,25.73547183,2936.064456,100,99.85758408,99.39989615,-99.78171109,0,-618.4483826,-135.5857033,-21.86650108,-179.328644,-626.9344713,-523.4042299,42.72497965,253.1995363,56.19873345,7.32121238,12.73240268,-18.7723285,-16.38037293,-28.17813014,19.14002208,37.2818029,29.58438887,45.81294783,21.10061395,-106.2132091,11.86008509,21.04429264,14.10346335,1427.499737,95.06011842,65.93743552,34.08727456
"202","000628.SZ","建筑装饰",0,0,0,0,0,0,0,14.76055718,0,0,0,3.481881385,0,0,0,18.08493486,0,0,0,15.90359541,0,80.60422976,0,16.68138409,0,-81.06936096,0,-2.357785226,0,49.72686993,0,-24.01077136,0,47.02499095,0,53.17251317,0,-47.71035494,0,14.8130966,17.25504879,-162.6774373,-335.5298472,-1424.760316,131.8445425,282.94125,130.2540767,101.9747609,4.492717923,-84.61347814,-18.64564834,148.5308281,-28.20804484,1058.421891,87.12136953,-2124.030013,-480.5262843,-224.5371218,-843.7716232,-74.76605679,27.51116517,129.4660324,109.8971667,103.3899989,20.60138681,-229.5462931,-132.2505862,40.98432374,74.55794942,-0.257260575,-560.6909637,-62.05632575,-411.6224904,-52.35624269,-52.1108367,-167.0389121,5.74206144,11.25810018,30.91904008,113.2104282,-22.68586619,70.02518525,98.91453039,3981.866683,-3.893354945,-323.5005331,-6351.461799,-316.4297382,-4.404818692,1.169390694,-27.91059568,223.529157,124.0836918,150.7465021,349.1921506,-31.49800449,39.78123623,208.3834875,-14.21569245,-13.59266607
"407","000928.SZ","建筑装饰",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.72864422,0,0,0,41.21834358,0,0,0,30.29696471,0,0,0,-15.38894609,0,-50.34680272,0,-38.67786036,0,-23.98894285,0,-14.6754833,0,-260.7272981,0,-171.7320002,109.3992923,103.1882021,105.1995354,94.60229961,-68.04788913,-6.017031501,-16.80389031,-16568.54842,17.7221839,130.5076349,117.9909653,19.32850569,15.74222532,51.28620145,125.6062043,103.9726516,196.0873329,-57.0992156,-244.2876781,-47.59622916,128.4251038,258.4036286,372.7331255,217.0208224,-61.70657956,19.48320859,-92.43438039,-82.1487209,-93.40123347,-91.02083655,-11.24714978,122.9524387,1568.385055,596.3002697,242.5980296,-67.21506676,-872.6043082,-1414.621193,-2233.592075,-11282.59208,-755.0373811,-291.2972184,-182.8855596,-121.0557143,-32.02952538,-34.01163174,535.5911559,831.7610368,781.7336701,33688.64648,391.3726871,154.7513547,23.2836192,-6.098959094,0.321983323,8.794852374,-1.995663723,7.778518321,-12.30629647,-17.76668174
"511","002047.SZ","建筑装饰",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.99216971,0,0,0,38.54872141,0,-26.05644522,-30.04869541,-44.6142989,21.36931668,-25.26313419,-39.07931792,-40.51419236,-68.91996121,6.985993397,11.78433017,60.1220736,4.000400706,-53.11298397,-57.72190306,-49.26324524,-156.6175598,-33.66264042,165.3340279,106.4796602,115.0019718,37.82165039,-82.33705931,-136.1364708,-3555.227656,-558.0293746,-1471.253524,-518.5777518,43.0858562,48.42605847,63.50279118,40.33708122,-17.00615351,47.56729352,59.64249017,44.44999772,34.97928665,16.26874772,26.90527192,24.16399369,25.33759191,46.58887553,47.75114558,38.04789105,2.052853804,11.05480987,8.347195633,11.67383505,25.8404131,5.21340501,-3.734412098,-8.669795697
"515","002051.SZ","建筑装饰",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.050689507,0,0,0,0.456161572,0,-9.948819104,24.68617465,23.57972926,1319.260681,81.63117929,65.60076819,27.22170987,-23.68543945,17.2648088,5.27109348,28.87205842,-6.573739809,-5.281205201,3.565000205,45.92784768,19.04705575,27.85415498,45.14118978,-6.621627933,26.85905598,30.3763918,28.27282206,28.14422238,32.5739004,70.38056228,74.10392451,44.06290476,36.01272645,26.33131641,12.5653976,4.790634047,12.97487477,15.84549007,12.75122063,9.08901639,-26.30180443,-23.05049883,-20.32124421,27.5756005,16.46599393,20.40147563,23.27734023,24.86822355,15.23035991,20.92703765,21.48227395,10.57189745
"524","002060.SZ","建筑装饰",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.969355255,0,0,0,6.722803592,0,7.897191955,21.65430296,20.10856117,43.19473466,11.74169851,14.18441477,12.07226376,-23.34421973,9.976139648,0.031338865,0.208992207,4.942214881,5.326366685,10.97523303,10.88262274,13.86462033,9.530792741,7.673445185,6.488829411,2.773639251,0.281450782,-13.78948365,-22.57436783,-30.07896167,-29.21238912,-25.15895699,-18.68205315,19.50319316,11.03893336,10.70615282,57.07145559,12.70837049,28.04973958,40.7266978,9.687288403,10.38933761,1.248829786,1.142474425,10.32839849,1.511229835,0.084386034,-1.636890675,26.13621794,3.830124275,2.162509063,7.822167211,17.30508948
