"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"47","000060.SZ","有色金属",0,0,0,0,0,0,0,-9.742577084,0,0,0,15.7735768,0,0,0,-3.338645709,0,0,0,19.30274422,0,40.92048842,0,18.66941851,0,434.1931132,0,179.6590592,0,1.962215809,0,1.682860541,0,-47.43550392,0,-67.55138808,0,-20.25376043,0,25.18621779,-51.12438182,-2.654680602,19.58294798,18.42323248,265.9068201,90.16267266,112.2869657,109.340574,120.3006691,84.57132847,85.43019593,99.28915817,-63.50512644,242.0560731,308.5220391,296.8699804,1245.890392,51.61501646,14.82156192,4.651277796,1.1291435,-4.013487434,-21.73037248,-70.22859351,-96.45582085,-81.70617112,-69.5149021,48.18133476,1574.492298,233.2262571,114.576143,82.71023814,-44.29496217,14.941575,57.40893761,15.11703928,33.89681733,-43.90703908,-51.82912424,-51.17103036,-27.35899508,-60.49994153,-65.38367224,-21.14837298,-18.76835876,69.55288979,269.5801247,38.03412144,-17.91578861,2.560439209,-77.48793519,-52.65910127,-188.9836684,-70.71885916,59.34136212,31.14061367,512.447707,1046.543909,400.5388321,219.8358775
"96","000426.SZ","有色金属",0,0,0,0,0,0,0,31.30509922,0,0,0,31.7573468,0,0,0,30.42046839,0,26.08098231,0,21.43159952,0,-0.571013556,0,140.1459375,0,-24.10914515,0,12.98849768,0,102.2056421,0,-6.025088607,0,-5.675763672,0,-4.656052909,0,-18.57645448,0,11.69162188,88.29992708,-14.56704764,1.6252376,-24.96073505,-57.95265105,-30.60861731,-36.4729798,-57.93477266,-50.6744528,43.81080949,8.900950455,13.98605341,6.09012414,-13.72553752,-9.222122986,-10.57719719,-62.34671312,-83.45472037,-72.94176691,-59.39539466,29.87726102,-55.03119436,-72.78559672,-1617.959086,-792.6553133,9981.414185,7125.555213,156.8659694,34.93179748,-125.0903018,-152.6233364,-165.7983739,18.48803733,24.2696551,7.895998953,461.6330986,197.8102276,492.7093549,349.0515378,-43.03909769,5.710907547,-46.41717334,-47.3566261,-52.7946414,1576.519748,191.571015,191.9918972,228.2445138,-93.06477433,-84.50845297,-86.93626115,-115.7334429,-149.3539564,20.67961002,362.8080429,408.5961265,1670.994456,1011.899565,353.7312691,520.5642609
"182","000603.SZ","有色金属",0,0,0,0,0,0,0,34.62892257,0,0,0,49.12194556,0,0,0,72.24689819,0,67.17502517,0,-8.004922734,0,-90.46910132,0,-480.9669767,0,24.4207075,0,100.0100679,0,125.6437157,0,15241.67891,0,-215.823239,0,-5545.522513,0,-18.67597689,-4.527766849,125.5790561,164.8878037,62.12321884,76.27953203,-93.97285478,-45.40747705,205.1072165,118.1921672,-1925.23252,-136.7492614,-307.1016816,-18.7380816,20.57003455,269.1702048,144.9238902,782.5131205,103.7521305,105.7942285,42.05320489,44.91153654,12.29874277,178.8470365,-45.1673236,37.92491608,-338.7831987,-115.4581555,-175.2492458,-286.8705466,-7.212367517,-1077.095594,-118.5607724,-69.23860516,188.5426026,-126.8878797,-93.61445065,-88.5401275,25.84378136,50.76656482,1.677038605,4.731663618,-2.944383851,-11.41264951,0.387167062,-18.90653422,-15.09713312,-42.14223273,-42.09915356,-26.92710628,-17.928179,10.91300283,56.09273492,25.82843815,10.37994999,-46.28373038,-43.29027363,-26.13776898,-19.37543185,-36.38844367,15.51412377,14.21587144,21.51718277
"190","000612.SZ","有色金属",0,0,0,0,0,0,0,210.8880124,0,0,0,81.91162994,0,0,0,7.156455308,0,5.859988216,0,-9.960305662,0,-45.08459562,0,-84.10452194,0,-21.48248564,0,1636.564575,0,-49.44621105,0,-41.11782283,0,356.5346502,0,-3.376910596,0,135.9071503,0,107.7781203,110.4129556,-34.40322323,1.401269512,44.25589892,257.6639389,33.22212185,-50.63671264,-70.88919593,-88.07447389,-176.7060086,-258.6266632,-420.9692926,439.7982803,445.2560862,345.5865596,310.9295686,367.8486926,193.5300216,199.0860643,165.8946703,31.88863227,13.0005116,-12.65335108,-51.33270099,-113.9434639,-97.57878721,-75.2514823,-41.96140189,689.934237,2613.247415,173.6180692,-40.05469159,-67.3481946,-14.28781807,7.485881667,229.3735691,-54.55441882,-81.63345267,-77.83819602,-104.0281151,160.1074008,185.0836032,117.8470382,1793.66704,-12.87671847,-13.86835958,-5.116255356,35.56264998,-55.57999764,-54.96747678,-88.30301484,-117.5404577,-206.8232501,89.73508679,121.9892285,258.6994858,206.4793926,17.65393231,542.3975202,77.10614898
"204","000630.SZ","有色金属",0,0,0,0,0,0,0,17.05182011,0,0,0,510.0415687,0,0,0,40.72814943,0,95.00986129,0,45.71521855,0,36.32948344,0,57.74074975,0,25.21908348,0,22.28145208,0,23.49363604,0,6.958858621,0,5.752781196,0,-14.11072662,0,-10.63167072,0,15.3220363,17.00705766,15.42844101,23.41312105,24.66794839,119.0977035,109.2461524,109.5754163,108.4105432,59.32839754,71.91428583,63.98328685,55.54797189,8.504525214,22.01404964,23.22270509,167.7610206,13.25985308,-2.642353235,82.50999147,-15.37472529,2.536019432,12.58433969,13.83841612,-49.74613392,-30.16830304,-42.12870196,-44.54489658,19.38347344,2.151092239,8.724711154,8.527543553,40.47344825,29.50459523,76.17419164,68.35266567,51.18678912,-9.913483227,-46.78351611,-47.96023501,-49.13527231,-43.01686692,-40.22107533,-37.62116102,-29.51482609,-54.56780599,-14.78438006,-8.383681849,-38.22128283,13.60536558,69.53960099,-24.22094633,-316.3550329,-190.3494665,-66.46543869,-11.48547505,144.4512007,431.4948873,223.6240382,199.8719984,128.4739775
"207","000633.SZ","有色金属",0,0,0,0,0,0,0,-16.45323091,0,0,0,6.953429456,0,0,0,22.53987793,0,1.331523768,0,150.8720016,0,342.4457901,0,554.4259196,0,99.24088277,0,12.98065188,0,-30.61564317,0,-51.94156109,0,-32.57509538,0,-51.27239422,0,6.488139327,0,49.08568703,-44.57505207,120.7666859,211.5107612,107.2128385,-93.38024452,-341.3254414,-242.9715421,-533.0551769,-4257.711984,60.7041459,46.76992918,36.55974466,7.513095381,36.5403096,32.97954846,132.6719567,17.21751524,25.25790862,43.9983557,221.8233982,119.9598631,114.8797587,113.9152429,-102.7579382,-336.1832919,379.1929751,373.737583,217.9651865,-16.58387434,-195.4688132,-36.05183023,-91.35206296,68.57636183,201.7158094,20.12294485,996.2618362,78.87359647,-147.8394807,-199.658197,-62.3890231,244.0035827,123.3088665,109.084677,134.0800729,-1121.807826,-842.8147473,-2026.312891,-622.4992547,39.23727854,5.96095817,9.713465106,-46.10481404,-108.2093227,-100.5620462,-91.57235186,159.6547339,23.87658741,44.43670645,47.08261956,-199.2243713
"218","000657.SZ","有色金属",0,0,0,0,0,0,0,-43.73804905,0,0,0,29.5553977,0,0,0,56.5444216,0,3.784511281,0,-5.436450428,0,-34.45172728,0,106.5115976,0,301.8381948,0,32.65736591,0,95.34362006,0,-26.6485086,0,-63.04603661,0,-6.935323085,0,13.81460828,0,9.747675547,-4.398223556,-16.93810614,-28.29330049,-4.031762478,-11.02578716,-48.87618148,-60.99346686,-36.76890734,-68.23007752,-39.75326428,9.836747408,-96.07944348,-445.9316862,-405.2857033,-292.2799382,-13651.11127,13.34675462,-57.68405805,-141.0330206,-101.311371,-166.0078768,84.79949611,93.60512443,93.79367495,-28.34235346,-589.7805023,-737.0873885,24.52187466,106.9388191,114.5524434,126.4655093,172.4844937,25.79135489,-26.18436257,-24.49669242,-39.63129083,-95.06603346,-358.6353154,-829.4243864,3845.435417,-3292.867349,139.899795,87.90121465,11.45002848,-650.268528,-280.9122045,-222.9857063,-77.00225568,34.6517997,36.94032254,-18.60968489,-1229.880565,73.91599635,114.2056666,130.7664668,110.1334191,271.9223022,357.2888322,227.6950092,238.6826835
"243","000688.SZ","有色金属",0,0,0,0,0,0,0,-23.39862823,0,0,0,8.382135901,0,0,0,151.8268722,0,0,0,53.06166704,0,-31.78857072,0,23.66427482,0,48.20766735,0,27.46561878,0,129.2142407,0,110.7853765,0,15.48100871,0,-82.33991421,0,-78.52961543,0,69.98303011,6.984307024,-24.91462368,-58.99839844,-24.64597874,66.91616808,-4.026183523,-221.1848973,-2783.07912,-739.1190573,-1702.156276,-1660.340253,-448.8729523,38.19082157,78.33046627,95.47934611,70.80379038,41.80624221,8.878048992,-181.8506519,323.554096,89.57638734,53.53537332,70.02809495,-101.4442588,-15.97691926,75.86861226,66.76068042,14.18726863,-10.01507319,-122.6301551,-252.3077955,-64.0659855,31.71457009,47.63464756,70.59748689,108.677046,37.08877467,28.31347448,-9.774836523,-1101.824871,-40.9331149,22.27558275,32.3797235,21.48232202,0.295448006,-26.68186915,-12.19248943,14.64927641,-47.76986097,1.616457418,-31.15264599,-10.73995488,-29.76917118,-36.29684834,28.34087207,-19.1734702,792.1425608,297.8289079,134.5521292,76.35460523
"247","000693.SZ","有色金属",0,0,0,0,0,0,0,0,0,0,0,5.244522139,0,0,0,169.3911202,0,0,0,-31.7727878,0,-90.39118534,0,21.39372632,0,3772.910204,0,73.45631015,0,-5.816523976,0,-3.711768078,0,42.91390299,0,22.44197604,0,-86.09690914,0,-54.76980078,19.70692932,94.07063585,113.9040068,-87.72586095,-68.50144804,-26.43030053,-39.56713902,-2273.791888,-705.0061546,-1279.745087,-1114.800147,-169.1024746,-32.27978948,-25.95394848,-4.197911064,-7.852028141,18.14192576,22.52056642,9.732578035,111.6082299,31.45322216,37.41571093,36.18402231,-82.47860505,-6.378738502,0.857863067,3.068789266,-1980.849899,17.12545457,10.75770393,8.292806403,107.1513011,13.35676194,-7.782927509,-4.365534216,-1375.955107,-2.563974996,6.166291145,15.38950042,13.48319638,32.87132771,93.22342917,-69.43165311,305.8415979,86.25460905,383.4283204,169.5424483,89.87788203,-327.7318123,31.35075237,-25.337954,-171.2042622,-179.6980816,-158.7340063,-194.3617959,-160.1047546,-102.1848162,-40.51166468,-27.26989167,-469.6591941
"249","000697.SZ","有色金属",0,0,0,0,0,0,0,0,0,0,0,26.84740966,0,0,0,50.1432769,0,0,0,158.9356842,0,210.3834272,0,64.37842581,0,-39.37783412,0,-38.62865656,0,15.53306546,0,-12.55485339,0,-75.60843041,0,-92.73311602,0,-25.41872481,-28.85233858,451.6799978,27.69241681,-40.75444349,-55.08657658,-217.6457748,2.314327393,32.43938293,149.5079685,103.4112549,-107.9653144,-95.20677119,-90.55706777,-77187.54369,229.2930186,281.4431035,6301.739193,120.4098838,-442.5566507,-1824.591521,-149.9827051,-272.474584,-414.3146698,2.164748561,13.42923163,1.824530507,-26.88941582,-13.40981568,1.165386897,105.3357772,-4.487297317,-17.85175109,-22.14434716,-2496.878996,15.66960804,30.40508674,29.26073386,35.77569811,-74.53227113,32.01513779,355.1876069,12.9229952,775.4420896,45.60581279,47.24070058,43.47701148,-19.69927657,-13.16286157,-0.168486041,28.30605851,26.01734399,2.427245086,5.34631577,-27.10505211,-275.3658942,-149.3195827,-157.4619989,-170.0616904,-182.8814214,-1137.047183,-605.0473783,225.4690275
