"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"7","000008.SZ","机械设备",0,0,0,89.20385778,0,16.55409206,0,-59.6981494,0,-99.64826442,0,-97.7778489,0,-21698.4417,0,-10275.174,0,110.8985892,0,146.1694191,0,-884.7881212,0,-889.5901147,0,214.0757771,0,138.701399,0,243.9617131,0,-16.5065472,0,-166.3625039,0,-1262.898029,0,79.5484384,0,91.74010633,92.78369213,89.08453,107.5499164,109.7605687,204.2473691,174.1878712,99.48859063,3809.205841,258.9132129,-8.401068397,-496.0764639,-114.4251602,-120.5056276,-270.3367712,78.31755954,68.45207976,1107.490558,338.6791723,447.219362,195.7961378,-74.32784865,-77.81239475,-85.47105017,-55.53318679,-149.5265691,-234.5245525,-127.2994447,-58.09182148,52.68103789,105.1666244,201.4358354,183.5662487,-353.5723098,-2128.726461,-602.033493,-160.6842765,89.49088647,115.487301,119.566819,15.12100659,-36.06369538,-26.76122135,-31.86575782,-41.83869726,21.59019077,-18.1295157,-42.58866056,-65.87389771,1072.201537,793.0250549,950.8361735,2345.265439,-79.54675969,-45.57339294,113.4293313,179.3660098,-16.87300917,49.55259245,-38.61520907,67.67956005
"34","000039.SZ","机械设备",0,0,0,0,0,0,0,48.29543654,0,53.31620747,0,53.95783267,0,48.42576977,0,29.43491293,0,9.385622231,0,19.68619962,0,38.87759316,0,17.17556357,0,-5.738288845,0,681.1479797,0,60.99951979,0,113.5177261,0,57.43692923,0,12.03080837,0,-17.45672825,-20.182787,-8.675074813,70.67981161,33.65902244,40.8117432,38.42178921,63.46079999,154.9170157,187.968483,223.2669528,338.5833098,112.6869471,50.82534633,12.93386849,-42.75150501,-28.61718203,-17.85442655,5.908917432,10.951502,-9.653978054,-13.89160352,11.43824983,-25.85776716,-18.95814021,-9.036097098,-49.32637841,-0.293470617,-17.53731648,-52.44389991,-35.87065075,-5.165998273,19.558784,198.5089731,163.794761,209.6612173,157.4209625,31.40805438,28.34510581,-68.42132814,-63.92648245,-50.95830033,-47.24070208,-37.53516423,-29.02206856,-24.41287648,36.47208135,-20.13877506,79.81919078,60.9746715,15.16152223,160.7306561,28.48033502,-4.737443319,-25.11486759,-9.527433025,-132.7497413,-115.3096068,-68.73270953,28.12044249,297.0783133,698.7870629,329.7262658
"68","000157.SZ","机械设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.50682536,0,0,0,59.54745031,0,0,0,19.97504391,0,91.32134154,0,93.95867271,0,52.70563215,51.38127931,47.50108601,46.25331835,21.59332091,45.04639059,49.30250371,299.4563307,150.0151309,113.6604483,63.75225393,-33.89683115,-35.15284064,-29.45383215,-18.34177685,4.091516152,57.3360303,59.45027215,56.35597329,187.5627835,99.15554511,135.3684274,175.1032769,75.03136133,76.58312153,54.40957154,19.73143755,-17.37006889,21.27378208,22.24018175,51.7710611,145.2660607,96.42102782,77.10301445,89.67733204,172.6821218,114.9773585,95.49825613,78.14776298,4.460488928,23.61180441,18.92545787,-7.883895345,-70.09405157,-48.00755448,-45.23448369,-47.51095537,-36.3609878,-69.13441187,-73.69325299,-84.11200349,-196.5029861,-136.2984321,-152.7512905,-85.4815919,-65.08953402,-148.497143,-44.17177707,-1092.57788,115.7408014,229.1912039,257.1957418,237.9278382
"83","000410.SZ","机械设备",0,0,0,0,0,0,0,16.30317581,0,0,0,-26.62483125,0,0,0,59.44319443,0,-71.33428023,0,-35.40452077,0,61.03109361,0,20.09703826,0,9.903439866,0,-16.92265663,0,-15.37510127,0,52.08513137,0,38.35785775,0,84.37120854,0,-91.8654115,0,97.91779725,102.1798684,728.6799186,250.6681271,865.2915818,295.7121167,100.5624107,111.2838375,602.2869719,172.5380085,144.9908495,133.7696324,66.80501193,13.51289546,104.3856221,36.87605797,18.55863787,19.41806472,-25.18642122,-24.2118292,-37.3503304,-36.19020542,-29.9080876,-56.92100251,-45.07687214,-381.5794652,-197.9746947,-144.3612792,24.29944225,217.0442421,440.7058981,1101.964751,160.6093404,24.08991083,-41.69731186,-27.54666811,-21.10890446,-38.31737647,-38.70830615,-75.73639249,-69.26063692,-43.91617533,-58.15251933,-27.69058521,1.501655426,-80.24101202,-90.04471284,-82.29613178,-35.70378134,-4847.683512,-10696.6603,-11828.64637,-2997.50581,9.026513214,-71.45521183,-72.5754123,-124.6444891,-107.8562267,-8.522497571,4.095202062,107.5379235
"95","000425.SZ","机械设备",0,0,0,0,0,0,0,-62.18901653,0,0,0,-16.144912,0,0,0,23.61851206,0,11.60583255,0,19.99996738,0,26.77671353,0,11.84706764,0,42.55739721,0,97.97877338,0,-5.493011637,0,-5.196989362,0,6.721393621,0,19.6243405,0,5.382916177,0,22.85352666,-3.708493045,51.99091017,23.27779213,10.52814862,8.607607143,-15.146937,-49.59364159,-68.81464983,-378.6627255,-257.3126601,-277.6042282,-443.9016731,111.3131904,102.1291721,102.8253958,104.6294391,-71.23151887,919.4250262,1084.609489,314.4426311,-1231.818098,-94.91865477,295.3080071,313.9014949,-2.391019365,148.2302096,3.952792978,15.10948085,79.37675393,59.7723707,53.2944566,70.44056793,95.45147676,62.6047631,42.66006872,15.42053255,-27.27875413,-28.67003932,-30.55597295,-27.01763804,-37.05180707,-44.23068664,-43.88948783,-36.33682609,-7.208932482,-8.99743064,-19.31424067,-75.21372927,-188.7994109,-102.9792562,-103.7154808,-115.4038297,102.5279627,669.0919393,672.095559,512.1082861,1780.519076,320.0207747,356.2679822,374.9802606
"123","000528.SZ","机械设备",0,0,0,173.5459418,0,0,0,-81.81711419,0,18.19575114,0,7.830769571,0,-8.69914949,0,-37.84326476,0,5.889136731,0,3.061387699,0,-41.06768752,0,-71.7363562,0,-36.78226181,0,-88.54690493,0,70.60513087,0,-55.47541414,0,-37.93483853,0,288994.5999,0,382.9270725,0,509.1881154,357.2314392,207.8519503,135.7641966,74.10516197,101.2286452,58.31431747,13.37542381,6.704467007,-44.94117489,-33.07130042,-22.20599668,-11.88901226,27.03058513,58.99067329,72.10710273,72.93546989,40.50391559,60.54277224,62.40822631,56.6735404,31.21740322,10.20434012,-16.58886808,-40.45489797,8.746282599,1.122606553,46.7042314,153.6211835,156.9903008,148.0923897,122.4666626,78.55033561,56.98372457,18.34429934,-2.879358614,-14.38437698,-76.03561409,-71.48561214,-73.03723218,-78.97423739,-37.03188711,-15.695719,-14.60367503,19.005942,33.93313539,-39.33891999,-37.46747271,-41.22115866,-40.7749996,-45.42099015,-87.49917432,-89.24968079,-79.60764559,-82.0778303,-76.17332503,129.0834455,623.2541904,1463.119285,5184.80506,577.4282807
"125","000530.SZ","机械设备",0,0,0,0,0,0,0,98.46107236,0,14.51804237,0,10.1780465,0,163.8304169,0,128.450811,0,-8.440544593,0,12.33349859,0,-6.654304025,0,-37.32791821,0,-18.8791007,0,10.91507131,0,-12.12940877,0,9.561059247,0,9.962102056,0,10.90162314,0,-18.38675146,-20.00088515,2.213931903,-22.90068675,24.52014367,17.93750116,-5.998917674,3.646691241,3.721707857,-0.605266311,18.38085581,20.47977611,-0.70889966,25.33356401,9.864822458,22.97797251,20.40746362,13.54139333,26.85186712,-17.04629277,9.224620913,4.53510929,-1.947444236,-15.39799787,21.37737943,-0.006359009,-4.634981452,17.48349324,-5.406322761,-3.497156185,-35.32544426,-31.34585033,14.9824158,15.8967864,24.93611041,26.7319708,30.69623217,6.62366538,-14.71834102,17.60952598,-32.10867407,-21.9472961,34.86377081,13.83959699,-2.526812594,2.141377648,26.11543868,-1.505188896,3.337658809,-3.191401262,-27.95790748,2.442880148,-6.694509299,2.425658408,14.57897759,11.15548139,5.000566922,34.48766889,38.65015052,32.0165418,38.94873713,6.794855981,10.25419044
"143","000551.SZ","机械设备",0,0,0,300.2897695,0,146.0477274,0,-8.781046534,0,-26.52626375,0,-25.2113094,0,-18.5975191,0,384.5699632,0,72.8785735,0,-92.64431347,0,-89.04230616,0,-101.7410391,0,-467.4002252,0,364.7774876,0,362.3635118,0,-4.731917394,0,32.90160722,0,68.67061001,0,-15.87865048,0,-19.08965752,-2.23021693,-14.44564902,-0.851136913,6.709150967,22.31234761,21.5903776,14.27118615,29.32850304,-16.54087126,-12.76546701,-1.715967793,18.04945984,43.93554032,47.59999139,39.01148883,112.8965343,-16.0522273,25.97065925,21.05856144,-38.12442596,45.20921581,10.66160991,1.668148097,-18.90931502,-44.44131793,-27.6172731,14.66749902,44.65389997,56.24760112,19.99424601,-19.45767543,-7.121967015,64.81196102,41.46342968,36.46621848,-25.554142,-35.03824501,-55.214063,-54.58529609,-53.58769531,25.97919132,52.44279451,52.90739137,136.7098952,8.660337055,19.07932592,9.35943564,-15.60041981,-18.26929006,-22.423303,-14.52196453,-20.88887606,5.782322761,63.32749732,63.67222526,72.44678845,34.94748111,29.29720044,25.61037854,25.95820855
"159","000570.SZ","机械设备",0,0,0,-26.4801512,0,0,0,196.010771,0,0,0,424.7684897,0,46.42992575,0,21.10732277,0,10.68472134,0,-7.87169276,0,-42.80957561,0,-31.09480054,0,12.65476077,0,-12.29613402,0,-54.48750202,0,-72.79216254,0,-188.8323438,0,-1843.88262,0,73.43231718,0,-24.43648075,1642.789765,324.345383,271.8715462,108.2577086,-21.02862123,-32.77089662,-8.249425573,3.411664602,-18.84408759,19.20060413,-10.35665418,2.961626779,48.25691726,99.189066,113.5663054,94.41516626,-46.17674591,403.2656816,275.7396754,85.50387717,-22.58784311,-97.41370365,-107.8243221,-150.3384737,306.4815695,4139.722641,1428.462772,372.4176683,18.33023791,-66.82694488,-56.70054392,-47.5866708,-36.30983825,-40.05122699,-44.74411782,-55.4843868,-44.97701242,-20.84388107,-13.42376068,2.288508127,34.00573519,32.80069467,32.79643891,36.53770685,5.292281349,-11.83560267,-8.558125489,-13.36585081,-11.39700167,8.726457391,44.00673481,10.37728236,40.03948164,-7.362818393,-25.80661931,-12.09594668,42.96598407,13.12593982,-22.1508919,-26.02056415
"166","000584.SZ","机械设备",0,0,0,0,0,0,0,0,0,0,0,0,0,-34.88853278,0,-73.51654492,0,-59.14444632,0,880.6272094,0,109.4794409,0,-94.08586424,0,-580.7738435,0,-128.1117043,0,106.5936529,0,114.6588079,0,-42.06481016,0,-5.681297775,0,233.759032,0,-6.056999935,29.22176508,1.939775366,19.56921021,101.2638743,276.1869898,238.9926341,52.69273361,-53.39856597,-37.71738195,-103.0696381,-135.9481256,-113.9629203,-20.77855657,-1711.079698,-226.0514928,-413.5332934,484.8904849,2026.208313,1136.124038,2710.126004,-42.85332874,-43.22398075,-63.60250143,-78.2271851,-106.5880904,-101.6974195,-94.75651901,-56.56353871,1448.926138,5027.951085,2263.006339,433.1003148,19.64139482,-51.34711049,-76.48123536,-92.79049955,-156.0857594,-203.4494421,-311.146974,176.8579546,627.9280094,782.1428969,751.5410733,1172.000734,-53.49110959,-45.32922999,-42.23606642,-60.4902525,-32.18237355,-73.66491305,-92.2835985,-91.69621633,-188.9935579,-233.1043476,-518.0292321,-3799.18842,43.18946811,198.9349979,206.9367557,122.9854987
