"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"17","000020.SZ","电子",0,0,0,16.28806726,0,22.29824228,0,-2.152720157,0,-14.4723022,0,0.58763706,0,-52.70973965,0,-18.24147343,0,-0.723058839,0,-284.2779413,0,-294.8580349,0,24.65837927,0,114.4698769,0,115.5024485,0,5.648217771,0,-70.24766764,0,240.1080559,0,5.83186075,0,-269.7463826,0,209.8433472,-22.1459389,118.063013,-79.18285555,-796.8498289,116.2712003,1.24544678,-18.92846307,-473.3083807,-713.8615652,120.9419456,198.5639683,114.9346254,179.8118371,40.97848967,-64.48853148,-451.2794937,-79.05596678,-499.1096296,665.1854815,194.8549431,1181.207358,-10.02688062,-114.6863891,-65.70316485,38.01320294,274.1325598,794.4862299,-45.10252823,473.0222273,298.59161,65.01130776,120.8944073,-35.14147186,-11.38571486,-7.252634556,13.04592028,41.65349788,-30.75715447,-30.58389222,-68.75135115,-82.69663901,-69.37585435,-87.15615551,-301.0366163,-15.06264105,-26.01872926,22.598346,217.9552977,-26.35197628,873.7585975,1918.23294,-187.5630283,-8.189119567,-48.7000306,-77.44701491,229.9193266,-10.3763815,-70.48693908,-92.2740968,-82.14618712
"38","000045.SZ","电子",0,0,0,317.625305,0,0,0,-19.37117636,0,-31.78458727,0,-39.95410153,0,-63.17826334,0,-24.28390902,0,74.5646041,0,12.17576116,0,-86.09418699,0,-795.3226324,0,603.628175,0,118.6965422,0,60.96556244,0,23.59189779,0,-0.29379728,0,-2.406582752,0,0.256605486,9.932256743,-96.91787759,-32.95381396,-21.35408255,-2.256476731,4021.537966,19.01607515,19.88662882,23.97036463,2.714666327,7.046937719,-13.38233797,-16.77644052,-13.82679819,-38.017273,-35.65018629,-38.0630191,-63.93922759,-26.43844987,-22.98645646,-12.79474084,8.09912383,336.979911,417.8131877,261.6249115,269.4817582,22.90386301,-31.19575965,-0.630586802,-14.01718772,20.95536796,9.93807228,-3.724084847,7.086017522,24.61222858,30.19278386,15.72816086,20.15836443,-39.37365971,-157.8922771,-242.3724022,-265.5686463,-156.2262801,80.56119278,112.2070834,158.3074942,-69.57592144,-169.167999,-32901.45053,-340.5444638,139.5517928,135.4271264,116.1838332,107.4805247,-336.1092735,-492.5109767,-948.0029994,-1127.048006,110.6152286,141.652261,174.538047,184.4060589
"41","000049.SZ","电子",0,0,0,0,0,0,0,-29.57515397,0,0,0,-67.69300509,0,-83.19329542,0,-66.82073176,0,507.0498232,0,-481.1572088,0,796.2116922,0,831.9127582,0,-124.0817159,0,-34.75675847,0,119.8239468,0,108.7872762,0,-733.9824351,0,-3.998512418,0,-54.09839011,0,-87.4404858,-13.69937186,-40.10709225,-31.4095302,-1492.564503,43.55276815,48.65573026,63.95503648,119.0892727,344.4828293,322.3428939,429.2539282,283.122337,26.98500905,4.524061684,21.59466953,33.74142077,-153.620998,-99.30995723,-108.0382552,-85.0468605,97.39086818,-2194.787387,234.3209635,-115.8433339,-7082.214118,-913.0994654,-1977.360028,-5031.269004,240.0568802,252.5218757,220.6358046,321.7869688,133.4395658,61.62983381,40.57718182,79.11152501,55.30508374,20.39066417,32.32546545,8.722599145,27.35660555,53.36844128,43.40607685,61.09444637,13.96356434,23.233119,26.56351921,13.75981973,20.0296014,33.40900868,21.62450397,-1.529803662,-38.66004157,-41.73966096,-28.78445408,13.49978436,81.08344848,55.91614846,36.29267726,4.027306225
"42","000050.SZ","电子",0,0,0,41.03499911,0,0,0,4.914309443,0,0,0,-6.58154699,0,-24.24,0,-35.31304733,0,95.54170792,0,162.5679752,0,-12.46068751,0,-38.15710473,0,-35.60707535,0,-27.4471804,0,45.76658467,0,47.76751496,0,8.444498051,0,-24.25619429,0,-11.43296196,-79.14569566,-308.9533969,38.56922656,38.51579449,480.9850549,257.3740549,0.784032346,73.09127676,76.10313125,104.6040721,4.229324204,-9.901351074,-18.17073056,-39.30535758,18.94345495,36.45564504,89.99757777,67.39597025,19.26738831,3.988922068,-9.473425591,-10.04671554,-50.59103641,-16.51378946,-55.40295605,-183.257727,-1447.098051,-615.1831296,-819.0533711,-336.0879994,101.6969986,132.1128312,152.8795336,145.3710931,538.841846,9.826446068,-11.29289846,83.09042077,-209.2164466,-43.89922111,24.03220644,-46.56485658,73.10347248,45.1256939,84.48838803,107.5724527,1607.405385,141.8586437,-44.81386692,-14.10133674,-14.1817594,4.573856863,-14.54190619,-19.12237501,-27.45271389,2.651544972,13.26046534,2.448682578,147.7174372,69.15111519,99.47955981,41.81946174
"49","000062.SZ","电子",0,0,0,0,0,0,0,0,0,0,0,14.54224119,0,0,0,1.752881947,0,0,0,-5.920514072,0,102.368645,0,99.84984541,0,32.47476904,0,-5.037023563,0,-42.4778804,0,-15.425598,0,-41.31894037,0,-37.88778084,0,-31.58927025,-39.20464789,-55.73005244,-72.39622733,-40.40863334,-66.91080642,-93.96037854,345.3908576,27.16309172,299.3929071,2365.942876,18.06203727,76.99423414,37.51403464,-27.91992484,8.802796901,76.58944266,33.98180401,173.0382184,-148.1041367,-78.32619782,51.84136332,-17.85464206,-201.0083522,-498.159502,-105.8260793,-49.79268554,-62.72761075,9.377527166,-117.748964,3.547072108,75.10711846,258.3626274,190.5007633,-12.83988589,-42.8279647,-41.25598555,-72.30927291,-72.00242564,-85.42350617,16.29689525,113.7291026,470.8922127,-65.54428745,123.2605154,34.19058182,43.52725877,16474.91869,379.8775688,282.6827188,16.11264726,-62.17411759,-52.89402626,-48.31225696,-20.73227714,18.32240904,-19.94668165,22.95424447,17.68571248,36.30296205,60.20504727,30.95797189,3.844900097
"85","000413.SZ","电子",0,0,0,0,0,0,0,626.518858,0,0,0,46.98312792,0,0,0,-40.77126518,0,-110.9950712,0,-473.1149971,0,-2035.978856,0,32.25050933,0,108.918888,0,122.035318,0,94.43318554,0,226.7975,0,126.5197298,0,-53.85314239,0,-98.25482401,0,-28.00754946,1573.286286,254.4969394,21.64737567,-22.33684001,-78.8678763,-80.99119091,-33.40604599,23.07543789,-27.23637686,-273.114308,-613.2484198,-1494.357579,-4068.187962,-4811.936908,-153.9545469,82.643481,100.4476906,101.8337641,103.4463429,114.493523,1489.005317,163.9927549,10.47837252,-56.04884528,-94.20915079,-288.8931429,-456.9601719,-769.3385207,-4385.165767,-111.6607263,-17.73673107,112.40094,-3.697901971,15.07504158,83.83869594,198.5071263,834.4763264,989.0441751,7395.857896,1886.124012,82.30193545,56.08255423,41.04045761,69.91557746,144.8157563,213.0743383,160.1148738,121.9948053,-0.065527223,3.363067925,28.77840233,166.040937,112.9417275,30.46399293,6.829502386,-5.888519574,17.72390825,22.00589242,31.66046352,39.60924401
"127","000532.SZ","电子",0,0,0,99.76156293,0,0,0,7.456359599,0,-65.05412686,0,-123.1886217,0,-288.7243987,0,137.5521996,0,104.3252551,0,7.508732997,0,-250.4442926,0,-2362.247716,0,115.771332,0,100.9089262,0,-4663.544034,0,-6512.476649,0,582.2394371,0,116.2698454,0,112.5998523,0,66.54112382,-14.56884157,-0.678633794,11.55538357,30.48414318,385.5852614,-78.01845779,-73.81571174,-114.8648782,-58.45445623,-96.39441753,-103.7968967,267.0914751,68.44929485,7050.02915,4370.543951,243.7361124,110.9390353,72.96907222,174.6472891,21.44434814,-183.7293797,-146.230497,-135.8109068,-172.6878347,288.5236274,422.1101908,434.9275112,211.6039016,-97.62599587,-99.8818417,-54.45655989,-41.05483878,526.3410226,8659.816654,-16.92474349,45.95581535,172.442934,116.8782319,8.788263929,52.42490701,7.251632342,109.0497822,84.31726124,22.92063734,-32.72788279,-36.74851787,-46.84965067,-38.53067585,138.2083025,24.6443299,40.30242921,18.28052872,-25.57159649,1.93034497,-2.317012818,-0.499584329,-11.24314941,-31.41856965,-16.86641472,19.6401804
"130","000536.SZ","电子",0,0,0,0,0,0,0,7.761039613,0,-62.08645693,0,-81.50758567,0,-82.01949351,0,-435.2895743,0,-516.5581947,0,106.1984154,0,-411.6752912,0,-10624.69688,0,36.50623035,0,59.95268364,0,51.630064,0,12.72741305,0,-129.679694,0,124.4775773,111.6587916,107.3272795,96.49210963,-415.9758402,-396.0504103,-1321.132404,-719.8805759,12.48949895,86.95180896,170.6132875,207.7893351,146.1877194,282.527365,-34.01666859,-49.75206721,-87.25044282,-4.604661741,-30.41076837,-146.3234725,789.8061061,-223.4668944,617.2227133,1153.012108,29.77530395,158.5385358,-66.43949467,-58.94735046,-66.71777012,-19.55943922,-98.97263021,-99.15085076,9.511497645,705.975179,296.6176688,65.71784348,37.22057237,-25.82312882,-19.67772835,-12.297734,-1.376483151,12.64953911,1.629249987,7.054015182,-21.57869704,-10.74167375,39.10188854,31.98231105,18.30792565,3.637267612,-24.68497346,-33.17239943,-29.07204822,-62.05209964,-68.75435443,-65.71690782,-46.37305199,3.141386666,426.7155762,254.4958563,89.79234673,-4.684794458,-82.60366326,-55.63478738,-47.86909598
"135","000541.SZ","电子",0,0,0,96.32883319,0,0,0,53.87586973,0,12.01885635,0,17.85685053,0,-0.701357836,0,3.597510407,0,2.857794289,0,-23.35368951,0,-9.303162968,0,8.967519862,0,6.940378155,0,4.98219685,0,-13.21494661,0,0.879458787,0,20.91292116,0,7.540656861,0,11.33246523,8.53734601,18.35348546,-0.089469975,13.71968739,20.1702263,10.95442907,12.06432826,0.966644949,1.056394629,2.655850012,0.548822744,2.955053977,-2.155466445,-4.977418833,-10.6455998,-3.287117851,-6.122681849,21.32112382,131.1173113,155.6015417,132.2858578,60.13358331,-157.1505188,-45.6517028,-48.6782034,-47.44542163,164.9372146,-50.22578671,-25.5237789,0.350591041,-40.71906563,1.332381775,12.59999843,19.82904222,154.275708,50.27052878,35.28554039,9.655751395,-19.64631304,9.431656306,-2.977420881,34.63334775,21.46023697,14.38109855,11.09006822,-36.96498099,4.188455144,22.38407324,24.08118287,5.700293994,38.65250832,-48.45040814,-77.47504365,-85.86819014,9.623097526,114.0713717,315.33028,2747.987832,13.41430172,12.2319526,143.2105903,-30.50865351
"209","000636.SZ","电子",0,0,0,0,0,0,0,303.4625626,0,0,0,99.22190645,0,0,0,85.25709164,0,234.9221593,0,60.68920672,0,24.38810742,0,75.23065008,0,103.8893697,0,100.8706322,0,58.76206736,0,61.4139612,0,-56.42462047,0,-90.53832378,0,-80.08104465,0,-19.96270639,299.1473671,16.83123758,-20.02162667,51.55291921,-35.44984484,-6.237319902,11.65688428,-12.96776547,-79.09389002,-40.15363563,-43.30695975,-37.28310134,1761.697204,350.3167511,233.3414679,477.8758522,209.0848671,95.33180453,198.7657806,101.6636622,-233.6584973,-216.0140015,-154.2466435,-347.0824869,80.55929769,100.5974415,120.0310558,112.8709525,362.2926571,20382.9052,983.5530935,298.9183779,-29.26744417,-33.5020378,-42.18791261,-29.62381606,-94.43414925,-34.65249872,-41.71979449,-57.42345565,243.9165474,-27.83052058,-30.86069679,26.41135513,71.15452934,5.889635734,14.92919067,7.059669198,-48.53437608,3.816783386,-11.13075005,-31.88989551,671.0019695,102.1565375,151.6522612,44.2007795,-3.346691272,38.12577247,65.19790036,180.5139216
