"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"75","000400.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,3.675726889,0,0,0,13.19634081,0,0,0,37.74745654,0,-2.763282162,0,23.18384198,0,111.3431785,0,85.52446806,0,-17.30465349,0,5.426924506,0,14.61385267,0,-13.82948024,0,-4.583969124,0,-7.512658191,17.09227686,3.419567631,7.612343882,26.81577053,5.747907275,2.266143087,8.96075183,-12.08402653,15.47554645,-8.663890642,-15.01270242,-8.819046434,-36.35574908,-2.680791369,-14.31437718,12.1398297,4.764240636,9.798455507,4.284449435,-9.032710079,-17.76684141,-39.4533023,-25.61847449,-37.35060623,-13.91443339,69.33941866,69.05133258,124.1630978,50.55906307,19.41154602,5.835078091,7.244946007,15.22927956,8.368234308,11.88474664,23.04179455,164.3181067,64.22088827,48.27127211,87.23482532,177.2377923,53.71186073,89.71029963,35.2282377,27.72841601,44.9564598,34.87953074,29.53237874,-91.96694025,-77.62732909,-75.00717936,-37.49461258,60.51060188,18.12489583,41.87909357,16.70573321,148.6691622,46.4246568,19.92316739,-27.50674091
"167","000585.SZ","电气设备",0,0,0,2426.664131,0,0,0,66.85275043,0,0,0,51.13213404,0,-46.68146639,0,-47.20479389,0,3.58466891,0,1.563058145,0,0.534096853,0,-90.78862687,0,-87.68244927,0,-2117.840462,0,-589.9110271,0,-119.015756,0,-381.4526539,-8.30905303,-121.3244076,0,137.8655436,122.9421996,108.8411276,121.90724,-87.07299977,-51.61150724,-59.59466812,-16.28522763,45.46247896,-52.20943732,-87.88766204,291.9101739,78.45672289,100.9011534,1003.377917,17.94149953,6.725639255,-11.22101596,0.329187331,-36.17378598,-136.2361421,-166.5045507,-981.3909928,-96.46550486,108.3020552,72.06986928,79.71584522,-4682.4105,-2504.818154,-275.2813469,110.2929332,12.28460179,104.2574586,31.76852553,-226.8596184,298.7784873,4338.183665,281.5681598,-254.3502326,-154.9472912,-191.7881119,-172.0115816,133.7989695,86.25819436,97.3377964,86.14867065,-12.46150674,-210.3372938,-277.1300939,38.0956916,-37.29190714,23.98320897,13.72093168,0.506194145,-19.8185997,-75.36656517,-742.1497804,-2443.604121,-2150.207225,-236.7714833,-54.03555233,-21.82793312,-299.8009396
"172","000591.SZ","电气设备",0,0,0,-25.52460714,0,0,0,-17.14991408,0,0,0,23.37468477,0,36.34362214,0,80.69605383,0,53.7970547,0,-17.23695629,0,-1.196452102,0,69.38800374,0,128.8422578,0,15.46585734,0,-29.28208378,0,34.33220584,0,37.44224085,0,22.26968122,0,-34.80102923,-12.71304965,-29.74108239,4.234718787,8.196454794,-29.14771331,-30.32815433,-47.71625343,-48.49993191,-6.563833801,4.814675873,-12.5345539,-13.13897569,-12.21808306,-3.076574733,53.84328878,62.33374387,76.14486331,22.64964741,36.54818089,40.4884333,6.778831916,27.49549405,16.93595323,-8.389360155,155.7147317,2.453682612,-28.94677841,152.1280092,-16.3148925,-0.212304288,-3.668556342,-3.057869021,4.067364191,-12.312016,-6.325840837,8.847138898,-42.65013575,-82.95262083,-17.09309124,-32.04231911,51.29136263,499.4486881,3.2876949,16.02164337,-24.13962197,6.317711758,-25.55781023,1.82772757,-249.5591178,-121.0354004,245.5050638,-29.50608884,2.773240891,28.09742171,-44.99474854,-10.34023852,3.72979884,37.60157895,123.6607617,69.26416282,62.31775458,19.45339294
"238","000682.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,11.43840468,0,0,0,55.99377379,0,395.8535269,0,99.30772582,0,92.93139322,0,94.64721031,0,108.0045839,0,126.3289153,0,52.01358081,0,55.17899117,0,14.55526748,0,-49.14286082,0,-204.001446,0,-949.9414836,104.1929582,105.8367386,107.2940156,104.2085354,150.001705,57.27238318,42.57318953,52.44803784,-80.04306148,-3.259137696,18.90042999,11.73420101,234.8830038,2.238470588,8.037120617,-64.08865291,2.487319233,58.85813636,48.95007319,214.7604443,-38.21667342,28.87168119,20.05018495,37.47342897,215.8300343,39.52974589,13.89816681,17.682614,14.40857755,10.00820041,9.625073979,2.700886033,53.40786016,-19.38914562,-6.854432511,12.18586794,22.29728289,37.93970619,39.63658779,43.77848607,105.3363677,101.9229797,63.81249182,50.62738374,4.016058124,16.31867697,24.95539836,21.09531306,12.09213219,9.044151027,0.892456119,4.170631407,11.78866895,20.19812699,18.9561361,30.67254458,15.48715702,14.26007007,32.53193863,25.67351496
"324","000806.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,77.32983533,0,0,0,15.16560334,0,0,0,-3.643150706,0,0,0,-21.656094,0,67.84098594,0,79.03353111,0,148.369528,0,80.93053249,0,26.91601244,0,8.115967839,0,-35.0277747,0,-26.33988198,123.7318611,100.5201568,95.91925102,19.29122006,69.20554322,7.791337989,13.7806946,-91.99648412,-30.32712835,-44.58063231,-40.19773325,-95.90589411,-78.65810436,-91.29873193,-87.4193462,-3842.665159,271.3134261,211.9475487,90.47968526,116.8558287,-30.35478529,-271.0510145,-309.1645755,-808.74121,935.1403103,450.6819548,256.9291704,124.381448,-98.10220207,-92.29655191,-91.97228423,-239.5638219,-701.157959,-50.00907119,-69.68971356,-161.2880358,23.60942588,182.737022,470.7812398,113.7954355,113.2668603,-304.8691669,-273.6438672,-52.18368565,-1627.61222,2.731444629,141.7969005,85.8934451,220.4330611,737.1204896,1818.39866,346.0560789,-137.4085311,-88.2429091,-92.8368289,-83.99133564,-38.25728314,-318.9380809,-140.8594093,-10.97329061
"402","000922.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.76952958,0,0,0,-120.8287389,0,0,0,-190.6091579,0,-37.24484135,0,-32.79093708,0,20.68685722,0,-33.72300346,0,14.26901631,0,-224.6044716,-64.70948496,-48.74785405,-49.13278674,-71.8001794,-40.09764079,-20.05771782,-24.78849209,-102.0524043,-257.0912758,-238.450504,-283.6697746,-39466.93227,-315.6249995,-125.260453,-120.2893587,55.99558614,28.01638057,31.96088064,24.52750534,110.3944339,40.12344662,55.93417873,47.08219891,-1346.382924,1.884713829,-57.43146269,-97.26163264,-3.201094351,22.4180899,-1.092109754,55.51423781,102.7117678,-62.82727276,-29.85386047,-115.327137,-3329.014151,-172.0923288,4.338941712,6.191535,3.05194243,-29.71762051,-32.14858558,-40.03984228,-94.25009825,29.75157574,37.25847952,50.05467363,-411.8190626,-168.7571672,-149.9210763,-215.8818759,-624.9245635,-11.78409557,-360.1596679,-67.86034115,2.304754844,75.42519453,102.3836964,119.2298623,127.5957969
"492","002028.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.577793706,0,0,0,59.24945176,0,69.11251514,48.81037429,48.19153846,47.44320859,56.97634696,103.1455815,84.90835737,31.65810163,31.77779783,33.15664784,78.97022984,28.90519851,43.62663302,71.4857056,80.44501544,301.5809414,162.4976697,83.52101602,21.08592641,27.96714438,44.76454607,47.1148727,144.6084814,57.34671975,13.24518172,3.069558229,-34.19775317,-84.1846656,-70.97415578,-73.01825888,-71.19806529,-82.36370362,18.30519913,57.13319825,70.57183601,621.188509,50.32540299,43.31375846,40.55508369,-71.75579057,21.74630708,51.16965312,24.14462272,582.0419969,3.595458774,-26.36994726,-14.947352,-14.18336538,1.927031599,4.334309804,-6.236369406,-69.54299391,-1.521040414,-24.01944919,-30.99417214
"522","002058.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.74915479,0,0,0,-36.44736042,0,-10.00967225,-38.05806539,-42.99944103,1561.573347,-22.47638579,13.38523349,28.47873327,449.1495101,-16.4368767,10.75702549,-18.30195959,-260.1261664,-65.80104496,-49.85448844,-6.585247806,94.74615289,181.9974361,112.2472732,76.60138685,735.8561867,57.66029634,19.54633277,-2.696232829,-474.6464086,-112.5548335,-76.27203497,-63.87484299,-10.74897869,-14.41580098,-69.5977807,24.93941021,20.2001373,-52.19769915,-99.05852967,-15.13808456,-92.49033565,-413.6918381,-118655.4897,-326.3628807,-21.49672753,59.52680317,88.0042612,138.1743605,20.25569735,-62.97284463,-106.3181725,-38.05625519
"538","002074.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.52557532,0,0,0,-46.19345851,0,0,99.200482,137.7203913,95.90461023,38.41132714,39.96941914,41.40324907,72.01665416,73.47702994,54.8612092,22.54832059,-36.6132232,-27.50313057,-24.12109919,-12.13669574,3.148392151,7.364844446,3.188116061,-14.15738397,55.77708818,60.48507925,48.1381727,27.97766363,25.23764291,20.66407782,4.705270907,-4.914190938,0.925992698,-16.93186203,-23.49436757,-4.562075803,-16.61483256,-29.77067204,-13.37626019,10.27792952,-7.292689693,217.2732752,258.5095054,134.7104621,330.1990294,141.1148509,122.0995679,75.86276234,-34.16293146,-16.50396551,-13.16194376,-18.65513036
"554","002090.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.84067141,0,0,0,7.837870002,0,0,32.92416519,14.00145581,11.66961863,3.714313487,5.100325206,3.05481274,25.68022517,5.108134615,14.41096079,1.878244093,-6.795847255,-7.037556264,-4.296539028,2.914682153,8.693830612,9.200345336,-17.1877749,-12.07964723,-13.74021391,-15.4296809,-5.546295467,-15.84840902,6.374886055,-9.122726432,-2.484703325,6.266544777,10.53453484,22.17834056,20.70847196,33.10210314,38.9594946,55.64777781,49.41459776,86.38241932,242.0024927,110.0957773,80.97063874,20.33557571,-53.50631282,-19.90110101,0.897297164,2.905082263,63.62011521,30.83895176,19.45437774,1.24849037
"576","002112.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.59257429,0,0,0,1.141348271,0,0,0,11.10147371,-11.71348598,-5.550116353,6.209269507,-3.203166584,22.32964227,6.011539985,1.349916387,-11.10702248,12.78330411,37.65702476,52.16824073,69.08482061,27.21309243,19.65761567,21.48559606,10.82712077,-37.05861292,-93.63131337,-94.24702057,-172.7345658,-295.7080347,-401.1172217,-7.692932818,118.310808,130.9410656,242.8782234,379.8811562,232.4842062,10.41198127,2.315990742,-16.07885447,-17.90220419,-62.33309731,-15.33031463,-28.25790778,-39.02887779,-36.65154047,602.9018479,192.9215678,-46.24815622,-1568.4936,-173.8838033,-393.125056,-2469.273994
"585","002121.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.13305237,0,0,0,53.87752932,144.8655953,138.4106248,81.89233667,78.06138608,47.89584882,56.24529467,51.48143361,-18.53468955,26.33516747,51.81809941,51.42792187,45.10392031,31.60989508,97.01681141,79.8922319,62.18374664,43.15532588,8.733121899,-9.209803438,-46.09278934,40.34619822,12.31994943,-9.291096437,17.49001045,3.579341455,-14.53388149,-11.81620594,4.342645063,27.77699755,6.981434658,19.56316067,49.84313376,-2.228129944,22.96773657,50.2584347,56.62687316,47.25496633,9.163268083,-46.19958961,37.15649393,290.7750999,87.46858179,296.8280299,66.86362742
"593","002129.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156604077,0,0,0,60.81283728,13.66923928,29.53733904,27.17840086,45.18736662,131.5502925,60.61334846,40.99437291,15.53386649,-97.37257132,-120.2082622,-136.5088677,-156.7732151,-845.3637138,178.755597,220.0575544,224.055241,913.8242717,1274.635533,378.4709444,97.69379103,-91.54670359,-95.5999357,-99.4934826,-144.447786,34.04761413,217.4548933,3682.054262,178.8304896,214.8383309,136.9327464,114.7117801,70.65952069,9.862412708,40.12574713,52.77885953,61.56827777,169.4976933,147.097154,116.5108995,90.07075341,4.547824183,10.69090543,30.41304994,46.25931329
"632","002168.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55113536,0,0,0,1.097624033,0,0,-12.1367793,-8.042974309,-11.48157418,10.58724914,4.149105059,20.09182386,23.6966976,34.45227677,38.51228612,59.10736323,-30.13527448,9.70375415,23.36214495,-7.858154692,14.58361833,11.40474105,6.473705765,2.264279767,48.83078564,3.494281182,1.600023049,-9.632237644,-4.019998344,-29.08610215,-29.97960957,-47.41915745,-24.96296655,-95.38952403,-168.4133793,-459.3470776,380.2167493,12219.88908,568.5476638,203.2155775,-215.336331,-120.2178799,-95.2994094,-41.71848573,67.40809269,-219.0977609,-1948.648938,-240.1183217
"633","002169.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6370969,0,0,0,83.99530384,0,0,96.23989239,30.52849618,35.93354202,2.808583016,-5.686330791,-10.6086773,-45.90991187,3.386196554,18.53596324,48.53831517,14.72731998,31.81254001,25.10982554,-2.261370061,29.09147204,6.753526694,4.673272102,-30.38726779,3.394836485,-23.83712398,-72.30489452,-263.3137002,-193.3719131,-31.16991103,126.9029464,152.7965198,130.1123821,124.2316451,64.85590906,102.8545766,92.08410999,84.33597803,72.83390127,112.5421107,48.48937277,68.91213371,37.56050285,5.738507588,-31.90067185,0.625763775,-10.68549412,5.628077792
"640","002176.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9061273,0,0,0,16.1803415,0,0,29.4453049,19.04312299,28.16418948,19.23679358,20.61648508,-23.15137103,-74.86799933,-70.8379647,-61.98238114,-63.42946691,34.61318613,87.35312826,69.95266569,261.4503065,655.261112,171.2260866,114.6390666,91.61042197,6.101666343,2.361418826,28.22888002,-14.30271146,5.658703511,17.85871185,17.67851156,21.36030771,10.86561313,4.57042066,-15.60340608,-31.7418834,50.18904418,5.691309051,-1.490121946,-21.84108683,113.3311578,210.5539548,263.7539145,490.7038986,14.51708521,-43.34507457,19.63343572,39.8680484
"648","002184.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.19135279,0,0,0,18.22273301,0,0,14.90126097,8.242537206,16.76150259,0.340606539,-9.816315481,-0.314907689,18.41884585,-13.16196373,-6.286660046,-2.403738498,11.24465001,41.91140058,32.69527525,-25.09569677,-462.5281401,-41.05832375,-18.69133265,-26.74382958,-87.23447321,-259.0440671,-171.2089857,-85.49379828,14.67966826,59.81036125,159.1972028,899.8952289,120.9403928,339.6105855,331.52897,74.67890054,206.6152112,104.973251,51.14068953,36.17091546,-7.77009761,-60.24256785,-69.19695472,-69.1083694,-253.2154929,-49.90504965,-24.16568879,23.27192669
"660","002196.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78195531,0,0,0,16.46314817,0,0,22.33139298,35.33621469,-31.96208799,-30.69416475,-38.06286323,-46.98807154,-56.02975265,-62.00196788,-61.98897925,-74.17889095,49.71291619,67.54999031,147.6038153,415.7116902,123.7897705,123.6499583,77.37307984,74.43151343,-20.36317361,-13.16504955,-23.45698621,-48.38436931,-46.86084818,-75.75541571,-69.09911546,-73.32831293,-70.41553572,-38.20741214,-15.8861175,87.31997563,239.552143,243.3807616,237.9618407,462.0222569,212.4001977,420.7812983,298.7454395,87.93883616,25.98335321,19.4165325,19.57694907,11.15742721
"666","002202.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.3746444,0,0,0,184.5894696,0,0,111.9674704,98.60709523,-1.047897048,28.17444967,107.1062739,61.52026063,164.6823928,246.7087953,325.1748325,74.65957052,26.77494158,45.22523349,51.33337644,33.13047707,-10.00213141,-39.67255186,-55.67510357,-69.88103611,-97.05188697,-83.50499568,-93.15173517,-76.95384775,410.3654773,28.26634332,302.1613775,162.0651727,63.70465019,232.0126297,518.5848095,327.4361562,342.086858,266.8001957,76.27072824,55.1319483,52.95268458,19.17228515,3.680002539,8.010762278,-46.08570811,-21.17939301,6.848553856,1.386941108
"676","002212.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.8992842,0,0,0,20.46309305,0,0,0,3.211120114,10.7774299,16.75124943,10.84964585,38.28741459,34.10177906,5.659865608,5.54726969,0.013399334,-53.95301373,18.06142914,28.41671849,6.653041558,49.11118871,3.676317956,3.666147591,-2.537000586,-3.914691297,-30.66027079,-31.24562485,-33.62062135,-14.29473868,-51.02423788,-54.42209287,-51.68970483,-46.95939475,8.642859679,7.080811355,3.896013473,5.605974482,2.746401857,0.784178292,8.862574266,28.58425928,56.38539018,63.92077561,24.64558991,-344.9362771,-126.4808604,-49.37392335,506.4725075
"682","002218.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.4832585,0,0,0,63.0186776,0,0,0,2.402496686,6.667601943,4.398485727,2.953675518,5.350016106,-35.38788207,-48.56638624,-52.65212052,-54.35370367,36.43295134,84.47691045,149.4048008,188.7348798,33.52576464,-77.39612989,-160.6724279,-245.107628,-64.23763054,55.58947433,133.2991954,103.8117354,-46.42036608,-47.85025402,-27.52175687,143.7834368,21.07681837,27.82216783,8.546601277,-180.1163328,50.88268658,41.85791049,195.8594411,728.7539429,301.1409544,381.1848366,176.2011346,314.3750843,14.90024983,49.62859107,42.96486494,26.76656653
"691","002227.SZ","电气设备",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.91126306,0,0,0,10.62144159,22.19328705,4.851036204,4.434847373,-14.23249166,-47.52707872,-59.7810194,-54.65031024,-49.09466961,-42.71216162,2.739198143,11.44963609,11.0657261,2.965426916,-9.42651579,-32.68712688,-39.30991391,-25.82659839,-45.69312454,-15.18713697,46.45092837,16.65020843,22.8062774,80.72382405,114.4959398,28.86754097,88.37257066,31.18901061,58.2630262,-531.8246089,-204.3691823,-133.1809232,-89.18370478,27.13381126,7.063895443,-54.85792484,2.977009562,18.99060742,108.232422,114.485522,65.55022089
