"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"189","000611.SZ","纺织服装",0,0,0,0,0,0,0,51.07599795,0,0,0,13.65609554,0,0,0,37.13324769,0,-19.47495085,0,1.204782164,0,-3.775360812,0,-43.3429109,0,-64.26845398,0,-133.881842,0,-130.4996055,0,73.44126237,0,-629.3862796,0,-2013.53838,0,-131.5203574,0,154.5633789,660.9639422,145.4333356,-11.94719264,-29.12394015,-20.38508938,45.68039301,17.19085634,2.398452762,-35.51426528,-35.9876485,-12.93479736,-2.322304257,110.7655232,76.58697773,56.76027149,32.27944903,22.56276654,25.30086797,47.76086389,35.3646247,4.363026999,13.11668443,-1.554913074,-44.37706171,-10.93398552,-12.60171149,-24.45639463,-0.731953659,13.3501769,23.18131502,35.31038952,53.40366571,-51.30253625,-65.4418808,-95.81610363,-81.47680391,-134.5090204,-90.93765524,-7.548730905,-856.1621626,-265.5544622,153.4178344,497.3284307,124.7140774,94.71326532,-968.9113049,-342.977911,-540.73856,-3167.235913,-77.27630436,-38.48882563,-608.74207,-5.637274379,18.85897127,-9.806175382,101.4404505,81.83301271,52.46644742,60.67341297,-519.737273
"273","000726.SZ","纺织服装",0,0,0,0,0,0,0,0,0,0,0,173.6106776,0,0,0,64.02236677,0,0,0,47.88464409,0,35.91889178,0,29.65350426,0,37.81320081,0,20.20075344,0,19.44112214,0,34.1757364,0,37.3988656,0,31.85303212,0,16.06042158,11.65608643,12.58078378,56.98153577,32.9017901,37.16928521,51.1613974,76.63821906,56.31173005,43.49813741,48.433196,1.84067623,20.2113847,27.65716537,15.71841748,0.355289848,2.831314778,0.654353595,7.162699056,23.32684913,24.10796077,24.13412201,35.50072378,46.28421208,32.71764326,50.19575791,6.427538634,-16.5851379,-18.19200785,-15.98900147,17.27256329,26.04350884,46.82434647,47.29211987,35.0015175,46.28164719,33.78466647,20.72661521,9.449458631,-47.67834469,-41.28277282,-37.92388103,-19.75412326,71.29785545,39.3094094,49.50221443,45.25546932,9.81326358,12.10008516,2.615983349,-5.812073922,-30.81324356,-28.26923811,-21.67918958,-24.89685868,-0.540330761,-0.797070122,5.579929488,15.9787282,9.724290071,19.62321706,4.635514494,3.144834739
"303","000779.SZ","纺织服装",0,0,0,0,0,0,0,0,0,0,0,34.21632735,0,0,0,8.621060894,0,0,0,51.7492606,0,1.238623429,0,-23.90307253,0,-44.12645389,0,138.7185731,0,122.7375673,0,-11.5614527,0,-56.57879837,0,-66.84715819,0,-58.61901739,-37.51408285,8.181014126,28.83727034,-2.747856328,-45.53947354,19.53881162,178.4697798,209.8249382,296.5714187,-1622.744673,-90.73473742,-13.25573474,-41.30511141,71.89008297,395.503046,-59.01431374,-60.57263774,107.9302613,15.95831278,1.03135753,28.5663928,228.4631251,-132.0357601,-5.440667349,-24.08671878,8.476491159,-1833.667023,-446.7386095,-448.9678424,-82.06948897,41.21076966,25.65111878,113.9366266,16.901595,38.69795935,39.3706401,1100.650063,22.11732867,25.89778419,56.89115222,-115.6961468,-271.5025051,-123.5471853,-376.5322693,-354.4706266,-158.5633633,-77.37400032,-7.334678796,130.6418325,130.2297048,13.27121711,-19.49760527,-479.8730817,-886.6218753,-56.64694654,-93.38358852,-109.1213207,116.6213208,17.31202743,204.5093398,283.9919333,503.0663671
"352","000850.SZ","纺织服装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.12963828,0,0,0,-6.184905294,0,0,0,21.31675404,0,26.45979607,0,44.71453088,0,97.89080477,0,68.89473132,0,31.07013679,0,-5.69149352,0,-48.19508511,-19.77498258,-24.5839006,-11.31064322,-11.83362639,-21.47950165,-18.09910288,43.92724531,-12.36539714,-40.51526974,-51.80784946,-3.442843537,17.11966846,47.37229511,133.5188988,-16.48100186,-17.85471006,-6.675545827,62.82885536,15.11316642,38.72822521,26.83071932,65.03492083,-30.20570887,46.30444769,131.1787822,-6.459728138,114.2592614,-48.01506128,-81.31482223,-52.6042656,-34.40900323,122.2823568,367.7788239,463.3472879,1434.095015,464.409191,268.1189466,-19.01247195,-71.63037032,-19.40660774,-32.59450947,11.9027888,75.51061936,-41.41131694,-34.19965986,-47.15293366,-86.04905449,-87.12429045,-91.10083242,103.2557163,328.3024075,467.3762107,560.2922735,-87.43506689,-88.93937182,-47.34001575,-56.1671829,44.05514017,-20.32254616,-94.87839582,-75.25016166,28.01686927
"424","000955.SZ","纺织服装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.58011279,0,0,0,-11.18511677,0,0,0,50.20453955,0,-78.72873592,0,-63.87788869,0,234.9745765,0,9.669466552,0,-67.92001469,0,-53.4226034,26.38280008,59.42967984,36.8361526,-22.70865877,-11.10461892,-32.42776158,-41.00047622,-87.68030132,-63.35006523,-61.97552227,-82.55890933,27.13921845,715.4802438,71.26374106,272.6348423,-32.1067717,1.291604244,-354.8386933,-664.1695887,-9781.111883,-10151.45644,-39.02646621,-19.16300482,-125.5127105,18.08207095,25.73479531,69.6307401,101.8427073,20.23317782,-62.72078012,-213.4422609,-40.99379272,9.444028408,46.14370377,25.91419894,-2122.368702,32.00611538,37.68579399,36.0216585,101.9148095,116.3945567,-135.0488581,-117.8224467,-9168.354532,-1250.790705,-24.38402845,55.77187896,108.8708416,-88.76767217,-59.65248798,-226.6439105,-1746.033405,12.6143694,30.90198177,25.69122034,135.5782295,115.6416511,-154.3498914,-126.3489041,59.76103401
"448","000982.SZ","纺织服装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.5209489,0,0,0,15.94563125,0,-80.08333835,0,34.51675002,0,499.8975063,0,-22.44209621,0,-65.1054336,0,-50.83632792,-352.9130101,-680.613544,-800.954144,-18.22696606,57.00500317,127.1657223,176.6460983,14.4105685,-101.0650097,-399.2373624,-259.5236971,-2016.741174,-137.3489793,-70.28349275,5.963699401,56.33893225,27.97482777,53.47115013,57.2844781,223.6559652,101.1318589,122.4206409,212.5524502,-67.17712618,321.4276114,42.63913263,19.49048267,21.52403285,943.7827069,529.1939937,136.0664145,90.86455038,203.1530052,98.55783049,140.6937375,123.128976,212.2550758,104.9863926,70.4235667,67.96241784,58.65867178,33.13148778,33.48345129,0.650681036,-39.3229759,-38.05407355,-45.84332088,-68.17590153,-90.61863066,-87.93824916,-87.46465037,-1079.460977,-1856.689229,-2261.898095,-1790.027815,-21.10516267,-63.68636046,-6.056821326,-19.49882697,104.4273316
"467","002003.SZ","纺织服装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.65127682,0,0,0,10.29920987,0,40.05872136,39.61271244,27.15647012,102.2463331,54.08885407,60.30882563,47.93061897,37.72293312,70.60678393,57.09822231,87.76775521,9.428077585,28.66778572,59.54045197,69.18844537,27.32765261,66.80799051,38.12303309,31.47370119,-29.19897704,9.105857519,7.444432861,9.334995377,151.8975322,75.44035227,44.52062784,49.95694468,-48.00280194,4.765812267,0.721741834,-23.35353028,-187.2470501,-18.86819708,-16.80305226,-14.0108364,1.978870722,9.277517239,9.755120314,22.7362075,249.1069791,13.51230366,14.51538898,10.76802644,-33.27826012,9.051859967,4.173008464,6.000334477,27.33820574,19.65506042,18.89385706,26.19039324,17.4788353,23.32741113,19.8053685,30.40703681
"493","002029.SZ","纺织服装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.43498842,0,0,0,12.19869282,0,24.52832659,15.80292997,15.33325134,-21.3437096,35.83460714,6.338688228,28.10622691,29.25415752,-0.789319431,57.63750803,45.5660827,46.29236359,52.92001061,57.42005486,88.88564449,146.752352,161.7783359,120.9657135,62.32064018,13.22985616,8.356233885,29.00164556,32.20173274,37.23544396,25.5109017,28.11356069,33.11795402,32.97655524,38.49402006,57.55828246,43.42847406,38.26618042,41.72475678,39.77886687,36.45668181,6.236549739,3.510209841,-7.944306977,-33.28697832,-39.55956707,-40.70298369,-37.73895789,-22.01032009,-36.35683033,-25.03340942,-18.65499767,-4.860138642,-8.695880003,-6.421520183,-7.513418369,-0.883535522,11.12853021,19.55267841,18.02438822,23.64339598
"498","002034.SZ","纺织服装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.47989863,0,0,0,40.76543574,0,0,23.09507351,24.9022638,15.93806838,1.980810179,6.91987976,-19.64642726,-46.65161299,-4.915774686,-11.1880073,-43.6708809,-18.69356185,-21.93681096,-46.91279429,21.64765054,-561.2980799,-155.594466,-239.1147568,-324.4985031,9.78613566,72.77118735,371.5477291,182.943631,67.21922962,220.3058731,-89.35335662,-60.24375077,5320.024242,4252.863883,2237.245591,737.9854786,-104.888346,-96.47978196,-97.11199535,-87.25861434,37.63999715,16.51355373,315.549683,70.43448282,117.1410637,-59.95653726,-119.7399613,-248.1339582,-625.2364445,246.9794382,734.7686329,190.9523657,101.4326879,6.593320339,-14.489063,-44.51986762,6940.046289,-12.21738098,-30.81704669,46.45054521
"506","002042.SZ","纺织服装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.180188116,0,0,0,-18.65875839,63.58281616,2.636045925,-28.24576943,-64.00673871,-207.3443989,-112.7559076,-178.3808171,-84.71553085,4.918850688,-1324.567869,-357.2479291,-6156.490703,-476.532639,-174.6732714,-66.27006768,101.9517524,94.22875973,321.5825778,351.1673226,1.558334602,230.8481331,92.27373469,76.26724578,120.9756402,35.06302236,49.4598972,37.65666534,5.214320188,-69.23547974,-74.38807616,-73.09993155,-76.82918697,30.58007959,69.68067465,77.2861585,105.7434685,29.29929389,32.69412399,27.33619673,-11.36903471,60.63878904,61.14034907,49.73540348,103.0715513,23.7483878,37.53027042,43.99080687,51.02260708,70.36844973,45.99268117,48.13809016,37.08680458
