"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"18","000021.SZ","计算机",0,0,0,-20.56210072,0,0,0,16.5981316,0,33.50311171,0,121.6168478,0,386.6689032,0,132.6699387,0,-1.886451626,0,15.81221623,0,10.79677821,0,41.83034968,0,30.35648944,0,-30.30336592,0,-74.79797532,0,-51.83081613,0,-26.47079884,0,-115.5853809,0,-58.30296091,0,297.336573,613.4548044,292.5986378,179.7279816,267.5117034,-0.681341746,11.74440109,13.03503089,2.189035901,34.89917701,88.40563788,64.45596493,38.15348009,18.05511106,10.71393569,9.692773687,5.977702081,357.605847,179.2267376,113.2193251,112.9258761,-81.33288623,-71.35646038,-60.72816493,-55.3753918,-42.84029379,-43.23922452,-36.27383212,-19.59658666,132.607312,98.15737601,64.39810175,33.99506804,-54.48509491,-48.4900546,-37.82600482,-38.22151665,-20.20139088,-60.21187945,-85.78800386,-96.16060247,-9.441899312,23.03680765,356.8695186,1779.69385,-538.112797,-123.6159417,21.61189052,1.058484344,146.1729595,1333.926187,8.540494716,13.80261774,189.6363172,60.47210999,114.8789335,23.84608102,-19.32423145,48.22968954,62.02394475,156.5003297
"29","000034.SZ","计算机",0,0,0,0,0,0,0,-25.32357952,0,-77.41245473,0,-81.03221956,0,508.6774841,0,436.1157903,0,-99.01438922,0,-250.6410071,0,-8083.195372,0,-534.3495939,0,110.25411,0,106.451954,0,88.01375314,0,497.2586283,0,64.1396826,0,-82.96706244,0,-219.3602763,-313.9167778,-415.7740335,30.4056323,33.17156443,55.10498352,104.0840513,-136.6552759,-829.79141,-939.3658395,-13084.66996,49.02472882,82.64269835,79.97361345,61.23825799,14.42008625,33.60041422,71.83879717,39.59455995,59.63742542,70.62545753,-97.61199308,-79.1863526,61.46246175,5.149937656,20.95526525,-28.12073738,75.85805868,11.05643955,90.32464952,143.7404541,-40.35888379,105.6759742,20270.10968,304.5709315,845.8003245,2352.638651,-97.27651227,-96.66717706,-116.2851528,-125.2697718,-116.8750798,-75.81772422,-47.29260548,300.1932579,366.3345759,317.6287313,76.11081649,921.4955558,832.6061405,266.6220487,7349.853186,-55.86639113,-51.54081988,-65.2467464,-125.7483002,1005.877203,1157.33772,1785.405315,1578.76535,-17.56633381,-4.833661909,79.54762287
"52","000066.SZ","计算机",0,0,0,0,0,0,0,0,0,0,0,141.0547329,0,0,0,35.43667431,0,0,0,62.27813822,0,-10.62467681,0,92.67304219,0,214.7084658,0,47.11509566,0,-21.86499439,0,-27.98226156,0,29.52301253,0,-56.04281133,0,-15.2606465,0,-17.71420393,1153.986134,-40.16193283,-17.42186958,83.05493609,182.3910174,176.1933941,180.8137623,204.0065016,9.061006452,132.0512423,42.43457367,4.114307838,-67.16989343,-86.49808814,-81.7148379,-84.3070706,-18.1947718,69.59236383,50.18901047,85.4387021,-84.38876029,-48.90320281,-74.55856594,-87.95634462,255.9615681,121.7854544,461.3896696,2978.76168,1629.06384,355.3005087,175.3677127,31.91183394,-23.87501378,-30.60094624,-39.37232684,-44.43910738,-71.01285893,-67.99299205,-46.88881502,-79.88073152,-161.4072608,-309.9414774,-481.2276911,-899.2207578,-1461.198898,-160.3494275,48.79585555,93.61787259,42.35101948,31.04889652,-46.29656848,42.66908827,80.62891207,103.9350772,125.6789946,210.1755789,648.3443569,66.01434244,-4.691451164,23.96737445
"69","000158.SZ","计算机",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.38784734,0,0,0,143.7531682,0,41.01188952,0,12.11679538,0,-19.72840213,0,-16.00243512,0,-16.42474041,0,5.76418169,189.9413269,58.86911587,7.878161067,-15.45345696,-78.1275404,-45.23068877,-48.31349584,-48.3867376,20.27921231,-35.02797573,-7.429822903,0.775487886,41.22044442,44.10574474,36.00696798,31.45998167,6.840491907,-10.89119386,-9.407830649,-3.963961364,-4.699866206,2.139255342,-12.87267259,124.4414038,-218.9633048,193.795659,136.9759593,-35.79329888,101.562563,-90.06091562,-70.41860355,-26.78627922,8820.631305,128.8093402,-20.60844153,4.196906667,-251.2443206,-317.2973279,-350.5356186,-79.54132589,8.228307452,12.89691591,4.647068163,49.93316216,-21.35128059,-42.81063262,-30.47041771,38.31357925,-87.28478583,32.0202521,-17.49726324,925.0712226,32.30416294,42.83257018,17.63009189,39.51139962,53.04184561,363.0838561,206.9263586,2.317892558
"147","000555.SZ","计算机",0,0,0,-12.61719525,0,0,0,192.8068656,0,-83.27963407,0,-192.1576995,0,-286.0364085,0,106.3117316,0,-51.95681392,0,-89.42730991,0,29.33506686,0,-14037.66132,0,-217.9135912,0,49.71109465,0,-7.884777365,0,103.8183053,0,156.9152578,0,695.4319776,0,-520.6648184,0,-1226.188145,-45.29005411,-6.482398315,-52.16989232,-118.6977629,45.39502997,53.65993098,73.00736566,102.5448651,57.9253308,51.03967659,-14.29638064,-618.4699206,152.1217793,-1647.002236,-864.6344691,-528.8262672,-289.9893816,93.08574508,91.15805038,104.2538508,125.0946397,112.5861886,103.3510146,-94.38353894,-320.1478677,-1143.95935,-3850.2728,-4333.491124,-279.7165214,-16.29247752,-32.79933758,146.106159,21.34678298,34.0035403,102.8887514,-83.13515236,9.94253737,-6.305692639,-2555.972214,-1441.567655,-0.700164364,-7.42678813,-10.34591646,-22.8570809,1262.904864,35.27110649,18.86206639,18.49739613,-35.61325246,-6.079757419,53.63397111,29.5560227,-0.200259691,-15.09480073,-28.70834099,-31.4154744,-31.12692258,35.62287305,12.92663284,24.69632677
"184","000606.SZ","计算机",0,0,0,0,0,0,0,158.3149619,0,0,0,56.40427843,0,0,0,197.5615432,0,33.56467406,0,-3.297571408,0,-31.40355114,0,54.61863791,0,90.67696557,0,13.74111138,0,-22.14860426,0,-9.237629517,0,38.16935766,0,-10.48600845,0,-35.72382801,0,-66.44641562,-384.0562555,-75.48370995,-46.26950816,-80.97201,-236.5185913,-797.1219806,-421.6536269,60.01244745,99.76405405,136.2715306,150.9296174,493.7152612,11228.53202,60.06567887,81.92509982,87.94838136,28.15691361,26.9250321,25.15654415,34.85815144,22.97113983,96.55326513,47.23742637,-48.08015557,-211.2397872,-159.2556635,-153.892061,-237.7765652,153.7329277,116.9630672,143.1034997,122.502108,-426.9503442,-99.04037916,-287.2616263,-444.8636611,1.129436435,-74000.29029,0.504034822,111.4603483,124.704739,48.61118136,132.6623809,1028.776594,-746.0923131,-426.6118174,-1972.597121,-648.0686376,-108.4132979,-86.93383647,74.43852553,-17.33115794,25.67799297,123.52403,217.1556417,127.67292,-78.14615715,-426.7318266,-414.9901072,88.43867862
"221","000662.SZ","计算机",0,0,0,0,0,0,0,-15.97010334,0,0,0,23.55414445,0,0,0,29.60285546,0,69.91301683,0,47.3385955,0,-68.11609771,0,-93.73162565,0,-107.1685527,0,-120.8745012,0,-1442.719934,0,-127.1037916,0,-377.6580416,0,135.2113642,361.2224531,230.5995428,302.9169515,60.05765803,47.88227598,98.48661461,145.0323246,78.5580365,49.26639295,10.14305912,6.954792141,10.1515227,-13.53070221,-6.62504132,0.62661006,-1.561072993,-27.99200786,3.746165455,10.4881548,32.6763635,42.84502322,-4.113688164,2.193211151,-18.51610276,-0.002306513,-29.83405605,-32.46251893,-93.66110153,-92.79160194,-94.36352242,-95.0974376,-35.26122613,-65.43039744,-97.47490623,-97.90014054,-2674.361678,-450.2707469,-24536.84378,-48692.97276,-126.8357449,-298.1102582,-480.4812297,128.3567149,106.3498791,38.48969772,68.23081117,-521.6120089,-582.8715365,-143.6506815,-99.29170121,-36.66573876,110.0334033,96.05958191,99.73419723,98.48573717,-146.8762519,-67.74004068,45680.88995,22695.0281,11047.88308,12774.94101,299.4748044,50.17832511,75.02954311
"416","000938.SZ","计算机",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.2063095,0,0,0,59.5944124,0,0,0,12.25008936,0,190.650247,0,42.9859664,0,-146.4772842,0,-139.8233537,0,103.5278783,0,148.0979095,83.62613197,782.6484919,147.9742217,98.92301541,349.3779998,136.1898779,39.04029756,26.04387946,15.27532527,10.02712189,2.011151161,-179.4077525,39.10239158,-43.41300008,-46.1106196,190.0331642,3.149693016,31.25888941,51.31557416,-2.182502418,400.748728,124.331461,100.8518967,87.98123744,-79.86131818,-44.94747813,-18.20057648,-16.66994803,-1.7752174,-26.06184767,-8.817836605,2.092503923,29.11084697,39.77073175,21.88507956,24.45720729,113.7000508,28.18278195,56.18219079,100.7533863,27.04848286,55.95192948,45.98394401,57.61217932,51.43975991,93.4116344,39.75889875,22.64417045,49.84883574,110.9238718,36.87559716,17.60512706,9.188195285,227.3593261,417.632099,489.2570412,1231.563979,246.0021935,144.2999294,120.4281558
"418","000948.SZ","计算机",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.79989075,0,0,0,52.22071724,0,0,0,45.54130184,0,13.63366137,0,-13.64895304,0,-23.04501396,0,-11.59295481,0,5.770481596,0,-13.79797546,-858.1029425,-82.12504355,-111.3654518,-99.74631724,-236.4083336,53.24861292,310.5287167,3121.711659,63.82206815,-48.73544497,9.714711561,22.39856579,26.12160018,184.1697363,50.72641618,60.19062808,-95.14326354,37.61105317,48.29745065,42.08842233,648.9515552,542.2096154,373.0695701,187.2694921,-53.37015716,-20.1667232,-8.091185897,-16.24775181,19.1274721,41.1882779,34.87312632,-5.107999447,-116.8516143,-50.11772998,-48.30508133,31.89602576,-428.7411534,-84.62902496,-99.03869406,-94.58540639,-205.8186938,-1298.414498,-12442.12062,-29.58403423,3.529260327,19.82721977,21.99035045,125.8958099,-7.952158252,-12.26557918,-31.21983998,100.4176782,17.94377489,-7.072067335,-7.690638409,15.35259589,12.3622085,-15.08896203,1.723410385,-2.432713546
"443","000977.SZ","计算机",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.27336121,0,0,0,20.09006106,0,60.37460936,0,66.26732148,0,100.68311,0,-33.01250922,0,-61.45973292,0,62.38954363,55.1334855,130.4936035,73.02067051,-6.068621154,97.75629046,19.34297487,20.2612182,-18.43510222,-99.27359457,-36.32507863,-36.92757804,-34.88786701,-328.6217416,-85.50252544,-86.29157353,-76.02713978,228.3859296,-22.78365899,21.03413421,19.35522997,-81.67926327,230.0404446,137.0481741,69.60491557,85.68544181,-79.18580989,-68.91140093,-79.52340167,-2102.957711,-10.75862062,27.81438086,1193.863418,398.9154958,7040.938732,64022.82528,120.9150085,-91.68978825,-51.20413908,-36.81008162,-10.49158534,-30.19993078,9.924195765,11.23450507,25.37906721,306.0829597,81.34040162,99.81131184,134.2700101,30.19700894,137.8246161,59.99938911,31.94713969,71.3586588,7.326049222,12.28694879,-36.57278882,-40.75587488,-44.73564689,-28.18455848,49.68380987
