"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"22","000026.SZ","轻工制造",0,0,0,261.2547381,0,0,0,28.74787187,0,1.20257445,0,8.533951649,0,-32.17403991,0,-11.57985515,0,85.42979361,0,20.79076648,0,-24.16645825,0,-35.82334089,0,-79.27951352,0,-18.41949041,0,-17.37584086,0,-53.32339871,0,157.2173015,0,-34.34031868,0,-48.1126351,-27.01554378,-836.4029102,-6.061160781,-27.88434015,-40.32943882,105.4010707,-40.60056157,-74.23781263,-85.45672607,-53.54542573,-65.76345412,237.8406801,784.5198223,704.2461647,532.4315397,147.4439687,113.4902443,93.00435022,154.008961,107.7569402,141.0940354,101.8171462,28.24059203,43.43262351,14.83454146,5.303542449,-31.06297438,-29.09314319,-12.82137432,8.815565061,89.9264339,53.68344007,42.35041183,32.8874023,82.37222524,103.0966374,100.2207255,69.39136754,2.965382982,-17.88398918,-24.9622985,-19.1868944,-0.808180687,6.22080021,10.78365613,12.50663216,27.06945776,27.6980492,21.64658251,12.27912467,2.067834081,-17.08776717,-16.01339818,-16.46750175,-39.92874222,-17.62721858,0.906136864,-9.561194287,66.81828901,43.48431488,26.01593306,29.21092322
"100","000488.SZ","轻工制造",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53934388,0,-9.611071741,0,27.36595435,0,52.05419711,0,22.88505542,0,31.61041732,0,-18.74667646,0,-45.96419724,0,31.52972928,0,162.6953677,119.3478238,114.7225053,88.27849531,58.71215962,14.31117881,-8.159410679,-8.59219072,-9.132785532,11.28834076,2.515563785,4.07487887,3.246834655,-5.625099681,2.859705946,9.596803603,-22.1949806,16.88057101,23.50491404,38.49121232,136.6331112,154.3589008,122.1904235,73.22051347,3.364700787,-98.99442048,-82.7616187,-63.65725118,-24.26518183,4794.064403,274.0051774,78.23667213,36.45481937,-4.223479203,-28.62664549,-32.6778194,-54.7710129,-110.5442315,-94.89031118,-94.20632254,-92.06996209,342.2490276,1125.927978,1263.087439,1378.707613,12.91047856,-26.83293861,-37.23259221,-34.33667752,13.37738085,11.42264374,66.00778147,115.7318477,373.2157818,265.0003817,192.7375051,106.8248736,78.99206696,88.72732301,77.10215216,92.0584058
"169","000587.SZ","轻工制造",0,0,0,0,0,0,0,6.996520001,0,0,0,0.836981386,0,0,0,5.986468754,0,40.19461078,0,-18.48765182,0,24.15475323,0,3.874802891,0,-70.34250722,0,8.464949968,0,-5.216469942,0,-42.04604658,0,130.4070884,0,-24.56461863,0,-102.2241011,0,-397.7465873,-456.9864774,-9452.459919,-103.3239437,-102.3189853,101.4917303,24.77880603,12.64158133,106.9699099,397.6746421,109.1292285,39.26908215,-1942.396235,-1230.468761,-1019.573628,-94.84676886,26.24372917,-12.19837995,-55.59466728,-18.17215865,115.557326,-158.8531399,-72.79331263,-59.27908766,-1018.254711,60.94649762,13.46561342,10.21872175,105.8619576,-6.658695676,61.48170379,69.60555547,-1706.723352,3079.929345,2428.280868,2546.136361,825.1364411,-90.21508785,-81.61739517,-73.47741773,-67.10908452,-27.60670774,-19.07054507,1.124098056,-17.76355508,30.95584206,17.45305899,-9.600396359,-1.912689522,-14.30643811,1.378683583,2.530576933,111.7363344,408.8416865,658.3771019,542.0028217,266.7073135,-29.03096608,-24.83537744,4.566925085,-1.403635551
"219","000659.SZ","轻工制造",0,0,0,0,0,0,0,3.906131104,0,0,0,7.441188597,0,0,0,23.79632724,0,9.882937325,0,59.36265041,0,167.2497971,0,11.98337756,0,-58.71067204,0,40.98043819,0,9.24039727,0,-39.67616422,0,-11.09208752,0,1.220292739,0,119.1901636,0,72.33180384,3.18278688,0.510056997,-18.99306202,-43.36202672,41.66724914,37.09744394,43.48202642,50.10561667,-27.05957816,-30.32210776,-18.04275788,-38.31608704,3.064908724,25.08460837,14.71173539,58.23757889,2.425592642,2.811597815,24.67789682,-9.216256261,-18.42134284,-17.58498265,-21.84439604,-28.98887915,-15.11329861,56.5825164,62.01799948,105.2906845,28.99172768,-19.087909,-7.028614921,0.917910835,20.44503176,-11.54300153,-30.90302699,-64.54577313,-135.7576768,-87.32083106,-79.93591729,-378.3636181,-359.6137465,-720.4646781,-471.9643411,-482.9321463,192.2096219,220.0191491,196.9662371,103.1615854,-164.915917,-95.39720116,-107.1628321,-291.0026916,-17.68039144,-1410.297207,-896.7547091,-720.9691516,73.48338003,117.6915966,150.9419864,115.4535029
"222","000663.SZ","轻工制造",0,0,0,0,0,0,0,49.01744275,0,0,0,8.703568166,0,0,0,56.07053513,0,75.13597565,0,131.2127284,0,207.3030405,0,46.33109988,0,44.53766506,0,-27.89079309,0,-75.21939214,0,-72.72906588,0,-40.82036326,0,-38.85135471,0,-46.6416826,0,36.47946309,4303.448204,103.5883034,521.3782185,40.65916267,-45.97708735,-20.3904629,-12.77698388,-75.81854634,-7.298671036,-50.6059895,-54.9984711,45.51000557,10.03104493,-269.8372481,-202.8859378,-376.2255677,29.27624187,171.6553555,251.2824798,266.3473583,15.43335291,-14.31086116,-63.09128967,-79.28190226,-55.0046849,-33.18525868,-24.40919471,-176.6640427,-129.0493158,-500.3568425,33.31247693,352.4529455,-361.5609176,-3.000488813,-408.2047155,-485.4846902,-263.1142781,1.683479484,2.455576247,131.1916797,86.78104901,22.06302307,60.13928142,0.071165434,-1056.822416,32.75294874,41.90297966,-230.9176485,101.710436,186.731521,513.842121,363.3702838,-10879.77052,92.63484592,50.66076899,171.8547727,-7.780360158,-28.28834415,127.2584168,-44.79464836
"329","000812.SZ","轻工制造",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.3481852,0,0,0,18.32448304,0,-5.338004106,0,18.79743418,0,43.66172363,0,35.50045237,0,0.440936992,0,0.350923955,0,-29.0292339,0,-28.08816612,0,-47.40842194,0,18.47247533,86.34675542,22.68505497,422.9210709,22.28755692,-35.87494262,-21.31005859,-41.53293465,-40.2373093,132.9618192,27.4783148,2.805489137,-16.11336052,-31.48925528,-66.70046904,-124.3183474,-805.5714626,13.48090666,1846.533525,2564.581566,143.0541162,-0.128508927,-72.15638009,-61.83604997,-61.88381704,128.8629108,84.42585006,66.81875726,114.1325671,56.33010839,14.92719355,1.39631796,26.06934601,10.87624717,12.5423753,39.82011001,36.19757647,28.78413949,19.20146732,33.51220975,26.18657649,31.44905742,24.74852355,16.24247017,-9.258076016,31.79093822,9.973404082,-4.230946981,1.459950768,-42.1244633,-25.84819707,-43.45128188,-52.53182068,-9.585980929,-27.90839757,-4.387702876,21.3707061,6.002557568,-21.34687594,-32.38303063,-12.14077771
"331","000815.SZ","轻工制造",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.5036365,0,0,0,-54.12288726,0,0,0,113.7651153,0,73.78303535,0,49.72790406,0,-10.15688545,0,4.537977566,0,37.74289091,0,-2.519576635,0,-28.20162575,-11.58818342,4.158234441,78.45352791,92.29503848,61.5322795,6.290114388,1.048870226,26.82410288,40.36097351,32.926209,15.85339748,15.50154742,-1.27362998,2.063014521,-16.85292028,-18.79471098,-7.695084505,-43.00750133,12.84734208,-5.263229179,-19.24342332,91.3907534,-6.964420302,81.82741243,54.29776419,4.449348397,-89.87236781,-92.39878097,-89.09466327,-84.80735033,667.929408,-2143.996692,-1728.09525,-1171.87629,-219.7884069,28.72672003,-6.647756329,-64.52600957,-71.42499791,-46.46587887,16.81951358,113.2128034,29.0612065,-3.190102724,-55.53184819,-1059.164478,-208.2585499,-65.20251689,-224.1545266,-168.9058389,-50.03649352,-9.61164036,50.48306404,122.8131163,63.66388468,67.81376208,68.4181454,-97.33532581,57.09487935,92.78202976,105.4876053,548.4160021
"392","000910.SZ","轻工制造",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.47116177,0,0,0,23.30755151,0,0,0,5.87730446,0,-24.98718182,0,-14.4899349,0,-0.896942914,0,7.999743272,0,2.473613566,0,9.872496745,27.15884539,35.89928939,38.93647346,20.18129645,17.21332697,22.51388871,20.94631319,26.87241087,22.85054085,3.800311045,6.426452761,-8.065043142,21.36187054,104.7593029,123.1681147,140.4132281,197.9550221,79.61464168,57.67450419,45.33576366,-0.110264218,18.97861646,6.315430089,0.840008902,-11.8724643,-30.67440205,-25.66521001,-13.13856041,3.672800253,8.735655879,40.03296738,18.66379799,9.44397081,4.062999721,-19.96808579,-33.89112019,-32.3761612,-36.70602296,-18.64265161,12.64632897,-29.84394785,1.441566633,-1.814527372,7.104114261,32.02950351,32.05071329,18.91454289,5.163749657,28.55684867,23.96268039,43.67053641,42.54372173,-34.42131699,-6.455175194,25.58362647,36.77813145,30.88261819,35.11283664,31.44613171,38.06059868
"476","002012.SZ","轻工制造",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.66047084,0,0,0,15.24115883,0,4.530683763,12.69983614,16.6099322,35.31577963,-14.80313625,-27.57159118,-48.80922896,-79.28168634,-61.75831728,-64.01388157,-64.52954999,-754.5257258,-127.3196423,-133.6278002,-260.1932938,197.5385605,1452.302792,1229.883348,325.2249,-68.48044054,8.714602679,54.80179343,128.5980392,398.1104232,159.3776914,81.42372954,50.0951228,8.001512334,16.9595759,32.28285836,15.56354481,-21.37707559,-25.18858772,-29.85633389,-25.64718275,-31.97613025,-32.71166928,-32.22884599,-93.13852971,-18.76774045,1.245944015,-18.97494474,641.6970454,-22.67477225,-40.24292194,-34.11538634,-44.77523361,-158.0739537,-103.6261164,-150.4465815,-34.7426637,460.3529632,3600.243886,325.0116796,131.86171
"478","002014.SZ","轻工制造",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.14980432,0,0,0,20.99702809,0,12.32549403,1.199757436,2.151222124,-31.43071396,-13.19376198,-8.656425983,0.374942217,33.21192191,12.89389886,5.444647068,12.21581195,11.2757872,13.61494611,21.0056816,14.48354355,21.38134771,18.05512078,26.82309445,24.91614207,21.94309135,28.55322876,28.67323395,46.09799664,28.31349304,24.09010161,26.70599748,18.75617601,25.30320925,24.99683704,26.78762654,21.06520486,27.44662917,28.27041823,22.46932157,21.96864902,14.21784633,-4.159272326,-1.40776728,-2.534780793,-21.98699008,-14.78966007,-14.09405439,-12.64025136,8.143921957,22.10936228,22.59714759,18.76175439,11.16769992,3.364649862,10.07209868,7.103442135,-1.290821372,-4.503841586,-6.519797072,1.811351877
