"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"144","000552.SZ","采掘",0,0,0,0,0,0,0,10.31128027,0,-50.15001364,0,-79.64020876,0,-5.051978844,0,-36.49729982,0,-75.47126028,0,513.6776643,0,400.821111,0,-335.4622312,0,-291.2552977,0,125.6508279,0,325.4025907,0,33.44199885,0,-20.55636947,0,-62.42617012,0,-222.1892105,-267.4191845,-501.6663402,18.61405148,36.02726817,44.79222355,-94.75972091,-36.75185919,-20.21783021,-29.28331347,38.82921798,116.8976601,158.0829266,207.7661562,168.5996676,1356.484779,244.809333,52.48203623,22.86855584,-30.33398827,-26.05835308,-12.59910867,51.70230699,5.445427032,24.80096191,13.20856566,17.23838178,-50.47737576,-14.11009866,-4.054049618,-25.68765963,70.481895,99.04055792,79.27869076,6.104174424,22.63441807,15.84065753,16.1720331,25.23096503,-6.19431804,-10.14005283,-12.70925109,0.648923387,17.00040829,-5.01024071,-1.327575632,-4.226752701,-3.817166872,-10.14924673,-15.23949375,-22.5086249,-36.43903843,-32.17525298,-39.2661347,-45.72095357,-22.64120108,-38.6040327,-27.12030497,23.44965411,121.4931927,265.0729263,208.5134271,148.4982134
"160","000571.SZ","采掘",0,0,0,1148.317779,0,0,0,3.9650807,0,3.146276857,0,25.86040015,0,99.63546885,0,211.7811323,0,66.56703968,0,-38.39061752,0,80.4527041,0,67.70346985,0,-78.1757616,0,-88.60957265,0,-96.36552499,0,-737.5364926,0,187.7147875,0,-26.82311961,0,-418.3771983,0,107.9100453,104.6732269,69.83253587,-13.25234127,2.243897391,50.99138285,137.3886846,320.8492785,-30.77658866,-65.84017639,111.9833046,-3.279484762,-19.52648456,-1452.680552,-170.168553,-182.7661766,9.946908019,237.0873169,495.9335724,553.0020166,244.163147,0.320338354,32.01477759,69.44872979,120.8741194,65.29119422,158.703317,133.6864357,144.3176168,56.91831262,75.09867407,35.25149067,24.78620848,13.99471784,4.351981644,5.422443694,0.358739345,-27.12229729,-13.9405494,-12.44876816,-47.08098239,-16.34203541,-32.31340753,-9.219718033,53.27242523,26.00886593,9.136950154,-6.158989519,-40.0034157,-22.73025091,-20.2296851,-19.88548004,-63.06842361,-15.36099568,-8.701352512,-26.72962619,-99.1229984,-132.8187113,-39.36691606,18.38301715,14411.98052
"203","000629.SZ","采掘",0,0,0,0,0,0,0,2.09154623,0,0,0,8.401128552,0,0,0,187.598859,0,-2.88911096,0,12.31777839,0,0,0,387.3462018,0,0,0,-23.4617731,0,65.92239952,0,68.16084605,0,38.06544912,0,4.396328775,0,-16.33012818,-5.507003211,1.894595617,48.49217652,40.95788186,33.91321724,17.85933237,33.86514897,16.08656886,28.68991395,43.59617733,41.72417915,54.72131411,62.71453305,1.132204775,-39.18213002,-27.9999885,-18.96985577,12.71376138,6.274532565,3.745242046,6.024366915,5.906495192,-8.457571328,9.15343287,5.0333098,-139.1267682,-182.089534,-314.3688324,-266.0614905,-3.215896487,119.8706462,142.6734284,146.8373402,164.9353116,-34.49418386,-69.33962194,-97.45147762,-99.23181421,352.4905105,310.8428976,4236.319028,4639.116645,-47.71063385,-53.67332463,-20.44097132,-6.085576517,47.4857422,-146.4742939,-116.2440157,-1162.40927,-194.8428425,-272.0015142,-956.8443235,59.43429942,127.0745282,-127.6533895,-72.6331319,-171.2215116,125.7892697,133.2897126,139.5084956,114.0010722
"216","000655.SZ","采掘",0,0,0,0,0,0,0,0,0,0,0,24.43939747,0,0,0,37.8154306,0,0,0,86.14075286,0,33.97696162,0,22.94189522,0,-50.31749678,0,-56.18581389,0,-54.61250693,0,8.305129943,0,54.02225726,0,9.942235224,0,18.47144048,0,-27.52165439,-20.03855946,-34.02235624,-36.51376667,-44.66704303,-100.6322321,-347.0374654,-466.5616333,-2311.546073,-53099.02698,-100.4938421,-49.6822777,34.05079993,-18.98494709,-9.180956124,66.57716841,215.4433884,263.2745956,272.4199564,843.8975412,107.6202823,227.5981853,226.3123911,130.0384848,73.35789498,-71.34082243,-70.0241483,-62.5371558,-44.28463775,173.5350777,214.5697912,188.5316606,126.3921231,50.09529945,29.83550016,26.56585641,1.260761446,-77.07296409,-60.83219224,-58.5820771,-57.55732162,-34.30487817,-32.61469804,-9.254007169,24.97997509,23.28778086,-1.996113705,-17.18709549,-18.50646677,-234.3593523,-150.4959475,-142.8991769,-97.55978544,-104.5039637,-181.565397,-121.8722508,-10953.02525,122.157225,145.6085925,165.6999911,43.77077118
"271","000723.SZ","采掘",0,0,0,0,0,0,0,0,0,0,0,26.67704607,0,0,0,359.4132618,0,0,0,20.41474695,0,-27.72939224,0,12.81145592,0,-0.949636389,0,-83.26260425,0,-133.1306737,0,-799.1024979,0,-2251.62269,0,-147.4197948,0,112.5491863,0,113.1792289,176.8388559,24.34744609,11.09635986,10.16673618,102.6880781,24.05567123,6.043213886,-7.490596776,-12.15236638,-28.14847395,-33.52411783,-72.14124687,-48.05348207,15.91261047,32.75064988,114.4869626,638.5857957,151.3480334,153.8940502,411.6852052,90.84586558,144.2622324,83.91061117,22.17426683,-101.5967737,-119.7339138,-113.7030392,-104.5779675,1982.349087,87.20562407,64.45249315,319.021817,-12.55805171,714.6316227,930.9446974,123.8443304,-295.009341,-231.3118815,-171.5829673,-257.7605495,275.8094087,260.737677,233.7412715,224.1172123,-52.99939268,-120.971715,-88.59060651,-75.83990522,-250.5057646,-512.8881877,-1242.724916,-87.29901881,40.39109623,163.3850205,248.2028594,287.9383795,566.163635,518.0229883,142.7574298,59.7917027
"296","000762.SZ","采掘",0,0,0,0,0,0,0,0,0,0,0,106.1062322,0,0,0,130.2367023,0,0,0,5.262723957,0,38.95812423,0,12.73696867,0,12.89524511,0,-27.45777387,0,-27.6074523,0,-77.29578491,0,-82.79480386,0,776.6036686,0,-1127.326936,0,-1897.463804,87.34121352,97.88428271,120.112113,102.4157633,691.2121657,1586.461954,101.1587233,827.5447167,-30.75501353,148.2588649,70.80952572,66.5983217,-11.88011545,16.96044545,52.98970555,85.71747635,-331.8242869,-25.1436743,-21.15703634,-9.575389678,286.3123631,302.7031844,188.3950346,31.14453184,-367.7460949,-174.3265696,-132.3958351,-127.3462876,45.78275578,111.2198193,223.7983488,165.5789034,202.9545586,447.1591132,57.3613271,168.1232857,-92.47509999,-38.53299224,-168.2166702,-691.4187416,370.5313929,26.82689508,218.5925303,116.9165167,-449.0690348,-221.7198243,-151.7325547,-563.2098968,-26.14087778,151.5707671,200.8751314,136.1066727,288.2323114,259.666073,201.365475,58.86317417,-164.9608049,-193.6716444,-20.34560576,53.42519115
"304","000780.SZ","采掘",0,0,0,0,0,0,0,0,0,0,0,36.69333996,0,0,0,61.58271996,0,0,0,41.60576153,0,7.198131186,0,9.096398324,0,97.55544969,0,68.16280267,0,-41.73090684,0,-29.58018879,0,18.61215518,0,24.44109641,0,0.69310526,0,-11.30622354,-30.0997357,-45.27368904,-41.21378568,-596.9305057,-28.1545938,6.166924942,19.09946145,-1012.531577,-9.568207951,-10.30093575,-10.00886704,-1173.078217,-1146.521916,0.421990879,31.32596699,100.5412962,16.5203783,169.3126407,173.9644169,4758.677031,190.8493928,28.9537601,98.12345947,160.4411718,76.32275313,38.99744101,1.295818588,-9.403602385,20.65413416,25.62976793,30.78483012,38.22865548,25.2788708,-3.762844988,3.575970972,39.30556014,-10.66683922,4.065262654,-23.06731024,-53.68112313,-65.98285351,-89.81996834,-94.37393297,-90.97864001,-78.993955,-187.896833,-117.0634462,-26.08097972,-297.21958,-36.85755654,-4481.411102,-1526.501204,-208.671454,-350.0353677,-83.97956392,17.15377496,73.5507207,160.2016372,159.6414817,249.501882
"415","000937.SZ","采掘",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.477687466,0,0,0,-0.653490378,0,0,0,6.989546832,0,-17.32888248,0,14.59738143,0,17.23770093,0,70.41391506,0,22.94043483,0,-25.5678082,-27.4298732,-44.39073889,-48.99539905,-27.40335981,44.52559783,124.9776408,188.1557428,178.7305468,257.1270466,177.5976793,86.10274489,39.74646163,-37.45692058,-35.77187148,-32.01744546,-9.184619158,38.83605287,29.63575755,41.50383967,21.01116906,83.93477443,166.033503,305.0147063,175.1452939,0.51084862,-26.63442462,-59.03494396,-39.16709442,38.85758334,46.72512109,49.80466832,54.2451997,26.80004075,29.13577125,25.59153054,22.51945443,2.445562835,-10.43927459,-21.57282674,-24.03653253,-41.20365568,-48.47933054,-57.91583958,-51.5106914,-87.40830115,-101.2194124,-106.3726733,-114.5802335,-165.630837,-1162.781894,-257.1976184,285.403117,-7.59437587,46.21623391,100.0397118,-47.33028363,739.7934391,970.5522491,1170907.325,581.8185189
"435","000968.SZ","采掘",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51869604,0,0,0,19.74097311,0,-1.382970368,0,-7.150017923,0,240.6413599,0,58.46891247,0,38.44542202,0,-8.74208874,-48.17930017,4.950349471,24.47158958,43.37903277,486.3417425,159.5115115,149.4091833,133.9702437,10.85671652,27.83266346,-11.27332875,15.35024755,-155.8159601,-69.97447746,-32.56683917,-12.01223386,225.1621336,186.7690967,93.65914717,70.92492936,228.513816,275.7050319,294.23062,111.8968283,-27.88606332,-66.15707619,-66.64694651,-35.56012678,21.40713315,51.67495705,5.695226623,-25.00353612,-38.70122836,-41.57196806,-20.77298783,-3.688552439,-7.007241133,-116.0243807,-188.9389125,-202.2768592,-231.6075171,-757.8909009,-56.55574008,101.313868,-6.884739471,-116.1449851,-103.7772962,-27592.93676,-263.7343679,-140.9479191,-123.9776457,-82.45283511,-14.5442117,14.61191173,27.54831029,93.46287633,466.6602836,124.8130587,74.52333578,25.24216712
"449","000983.SZ","采掘",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.13364217,0,0,0,11.96640235,0,-8.213966154,0,9.010407897,0,21.07369309,0,28.01326363,0,1.899410621,-9.29516215,-17.44567703,8.572832606,31.12518877,30.03730341,47.49306384,62.5507239,107.4575401,132.1228466,111.1232468,101.9407522,71.70284706,58.5228755,52.95595673,7.845407684,6.281506967,6.593379093,4.385737426,13.24098075,17.06677908,6.292330391,8.280998574,61.17406133,102.5932422,223.9210218,123.3285479,47.53912572,8.208875188,-27.20103139,-23.09349786,13.24855819,31.68011362,37.36388138,21.6725494,23.46129064,12.65858441,-0.375805883,7.57084837,2.040772757,-9.46309487,-22.59713184,-33.60780337,-44.01287858,-41.80999928,-44.30980743,-36.15753249,-55.7930074,-61.46428834,-67.16987257,-72.52262236,-63.15563913,-36.84454817,-0.846791842,-39.82112589,-37.49420935,-43.69957878,-38.09288838,114.1030915,751.1389574,637.7683224,558.4470243,307.5096168
