"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"71","000166.SZ","非银金融",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.44405,0,-65.38637594,0,-62.14084544,0,41.97543175,0,77.96687563,0,-39.13944382,0,-24.04203584,0,-5.453502723,0,-43.54178166,0,-22.75122775,0,-17.24076548,0,6.725296691,37.52980818,33.93827782,0,153.3759335,130.370662,81.68795712,216.5226982,291.5002731,161.2230901,122.1304658,-47.85133942,-68.75919119,-51.16945127,-55.5190578,-6.722788161,-2.969953537,-6.996459583,-14.51684608
"86","000415.SZ","非银金融",0,0,0,0,0,0,0,76.89039923,0,0,0,31.09410681,0,0,0,128.5716001,0,5.068466975,0,-18.23480635,0,16.26782597,0,46.26161154,0,222.2606986,0,127.8918038,0,-43.8775527,0,-34.56690445,0,10.95289668,0,-24.4083667,0,-109.6141945,0,-98.28594917,-42.40506898,-264.2340818,25.13640772,-20121.4607,-29.88226194,210.8878619,2121.019584,110.7183698,66.85725408,-59.99069617,-50.38316593,-51.03496999,-141.7771581,-599.9624356,238.2325001,297.3985571,29.10210757,49.61973839,27.9877482,-30.45186289,-37.00307589,-11.1521103,-45.93122944,-648.1055826,-3.822336853,-99.78064039,-211.4241127,4.628714027,35.08110406,40.56512634,27.38282016,102.4521798,-3.881842162,15.78506671,34.82695741,45.77879008,0.30810276,34.94248063,26.58080966,22.92937456,52.04345056,30.82367747,19.29913699,45.90430227,27.18811518,16.3520251,13.71300288,-11.63554359,26.2663874,32.06018296,41.06079227,51.71977289,25.89982359,30.58708151,47.92184293,58.88333531,30.09199553,18.99069199,17.13996671,11.08390829
"87","000416.SZ","非银金融",0,0,0,0,0,0,0,1545.237979,0,0,0,25.29897843,0,0,0,24.60657527,0,-10.16196449,0,1.104902199,0,-8.823956346,0,-76.27403406,0,-97.522621,0,-1469.871309,0,-39.63273213,0,41.70645309,0,-242.5247341,0,280.5225194,0,1116.225496,2289.566763,122.9246875,-8.693263362,-4.117981543,-6.853508448,-5.541494835,9.47137957,-3.189338501,2.5441949,-12.96619424,-2.789972333,-18.44733459,-27.63745001,-30.29610313,-63.80439967,-81.26741826,-76.28873048,-72.01382002,-121.3899426,-108.3465035,-159.1217816,-114.6147689,27.6020738,-372.7637953,16.99999523,93.06091499,1445.199259,1098.832966,637.8965672,26582.39889,-92.13261143,-96.94977433,-81.49527288,-62.06123816,214.3347361,1158.810302,79.88655382,78.31860185,-100.1236573,-104.9781396,-128.1931436,43.92525167,120388.231,353.1513078,770.2823304,-72.07819631,-109.3610451,176.0100833,-21.81303035,335.5560293,64419.44618,151.1625918,-159.7564371,-76.82835994,-205.1012583,-109.6285985,166.9436781,-19.64139557,161.4096727,712.2554788,154.6125568,59.76137148
"153","000563.SZ","非银金融",0,0,0,158.2131002,0,120.5654371,0,54.51868757,0,-25.98847874,0,-67.47633534,0,-32.09741128,0,3.570103568,0,-0.187889108,0,18.3991047,0,111.8361395,0,83.06602409,0,-21.48171261,0,-18.44677131,0,-32.81562641,0,14.72674521,0,26.34592207,0,-25.55069034,0,-28.02362436,0,-87.28822644,-81.14022735,-127.1824068,-45.74361373,-2819.154583,-333.3738639,-777.8498527,-564.8971127,110.8107388,116.7644798,103.3830844,103.1712778,-236.3212065,-387.0301985,520.4178707,405.3580867,167.6954739,363.4525631,205.4089671,362.7637146,630.990946,315.1928247,34.00279982,13.97898299,-6.149935871,-37.79383264,-58.68777329,-11.91330073,-36.20730068,27.22923157,75.68119355,11.61442236,86.75206145,282.9823238,188.4001821,148.152756,89.35224468,-40.97037905,23.67656073,74.54248148,68.85180825,119.5842651,80.35484722,20.0472449,20.12283761,1.324850376,18.16134337,5.943262857,11.99568436,0.606495612,31.62147074,40.3068221,29.466657,92.43132088,-2.053870146,2.285556636,13.50064667,-18.3705281,-5.462617125,17.31520199,-31.63609794
"157","000567.SZ","非银金融",0,0,0,169.5534352,0,0,0,33.9154149,0,-97.9314685,0,-223.0875841,0,-4393.985263,0,27.7854441,0,131.9679503,0,187.2867482,0,157.4202002,0,14.58406518,0,-87.14989282,0,365.4941342,0,-254.3761014,0,-284.6855064,0,-238.5618763,0,-116.1599516,0,-5.436052352,0,113.7311626,234.866426,130.8784522,108.3433131,-72.49694834,-181.8994461,-336.8457852,499.4695846,249.50923,110.9826068,146.0014338,-93.74896739,-88.99096714,153.7199005,175.176001,2857.300219,1531.218633,2.481046798,-12.55477453,-24.84695538,15.04792243,60.06660303,18.15740102,4.453659618,17.22171264,4.088319357,-44.25271117,-31.14941551,-51.20022366,238.2541345,192.9661116,257.8365678,82.56452273,-109.3927319,-87.60753031,-91.02931765,-94.86693519,25.26156906,-147.871864,-144.4251904,-1130.872106,144.304998,217.4349522,274.0944229,116.8610506,1337.114761,352.0521302,306.978412,114.4067819,-86.61956059,167.8119194,90.68866344,368.6626884,317.1116386,-91.95588415,-88.79590352,-87.18103042,760.4956449,3164.467772,3373.615522,2360.59453
"194","000617.SZ","非银金融",0,0,0,0,0,0,0,36.49209151,0,0,0,33.11150328,0,0,0,77.04859735,0,0,0,-96.54078389,0,-31538.99395,0,-1704.934625,0,199.2124267,0,104.3947006,0,-121.170213,0,631.0372753,0,748.0281763,0,2609.252387,0,-4.07409941,9.853251051,102.3254125,63.3002767,117.7919075,51.09201511,37.78689586,177.0651193,154.2600811,138.572056,154.606991,22.62486273,21.52644548,11.09538,2.121457286,-26.93677665,-28.66775696,-8.224427351,-7.314959453,17.0695744,43.47066651,0.369705656,-14.76960328,-76.02429162,-43.22424423,-17.71050512,6.8008637,478.380788,45.85646234,-32.5748961,-49.62322517,-134.4223529,-110.1813566,-69.59137361,-68.09748246,-56.22904068,-141.7475671,-128.2571467,-673.8232342,-39.8932007,-80.58283521,-729.2385739,70.64912001,48.46787764,168.7283167,151.0904018,134.7342225,120.8024609,-284.6687987,-410.1848445,-1269.987624,-7.969395114,121.3861611,49.76076408,33.85943282,-1851.547905,-2697.089978,-717.4403532,5.778876263,2.76084757,1.57345893,8.138726029,10.74609633
"201","000627.SZ","非银金融",0,0,0,0,0,0,0,143.2530935,0,0,0,63.37030327,0,0,0,62.05790242,0,0,0,48.45229535,0,-62.97575867,0,-44.31348695,0,52.05577005,0,11.26474986,0,60.98515649,0,21.55076035,0,-14.61498079,0,10.15537084,0,-21.58514297,0,-83.2425188,-405.9251725,-201.1232545,-208.9240513,-726.7342393,-2.647989599,110.3713302,109.4651101,110.0610659,168.5623984,358.4780711,282.6323414,64.17034297,-20.22979137,235.8862554,365.570446,564.449009,287.0344593,24.712395,23.80187729,70.81911643,21.44554918,67.42889938,-6.633465342,-92.72986958,-80.10921818,-36.99238831,-15.24878529,722.9502123,878.9671793,45.90413657,38.2379303,-47.3993684,-94.78448404,-188.9214466,-214.9428061,-468.5019119,-2495.295271,-119.177474,-26.08452551,112.8809997,86.97507777,78.1612333,48.49729606,-827.5924716,3963.483683,1184.322055,513.7334555,183.739829,-110.3006724,-120.6701463,-137.2960452,197.8474092,5632.606214,3423.030052,2367.1599,1140.864304,-79.37425798,4.993474737,37.1786735,-13.84939653
"224","000666.SZ","非银金融",0,0,0,0,0,0,0,11.93661052,0,0,0,48.83365525,0,0,0,12.47005134,0,10.04861326,0,-48.13983567,0,-153.3973393,0,-78.99704149,0,142.9275057,0,937.6413863,0,637.88427,0,52.82823061,0,37.6078117,0,-4.321784359,0,-46.29438209,0,13.01790292,168.1281198,65.09324008,55.83677762,17.78498801,0.877976167,6.21065133,-11.13532538,-2.237453188,2.714804963,-10.11289011,-1.086436398,-10.32895294,9.667524512,15.55437008,15.42057594,43.00097104,22.24944646,18.96432254,10.69198567,-15.15231012,-37.06304415,-52.13472959,-92.43292692,-84.18495626,-294.4911769,-316.5840129,-1492.424165,-502.0655918,119.6127396,127.6945057,248.5701803,557.17421,2614.713893,2077.478592,346.9667238,128.0088071,30.60970028,4.986125126,11.06213905,18.7427991,-2.383362262,37.57689177,17.35431686,28.87056262,0.766840139,-8.70807103,-3.951909717,12.427669,9.184789561,18.87598542,19.92441972,-0.832514527,-36.5655082,-11.86191493,-5.604641689,10.84345112,105.6924472,28.54168989,27.74383917,33.75545986
"241","000686.SZ","非银金融",0,0,0,0,0,0,0,0,0,0,0,34.05725213,0,0,0,-34.33128576,0,-3.369111698,0,109.6455315,0,-8.018196703,0,49.95524507,0,42.54932215,0,4.889040309,0,-10.48068493,0,-36.79264422,0,-40.51688707,0,-51.06085456,0,-46.3249824,-18.76133569,-21.14996844,-128.6276474,15.84749682,13.25141171,10.77487189,1031.457633,102.9650983,32.47893882,43.81569725,28.03431034,8.146443101,11.4147629,15.50685703,-37.53382669,-20.81095747,22.21080865,392.3976329,-78.62906053,-200.751141,7288.978223,1205.723718,-22.25353093,-48.08781238,-67.19316069,-63.09100552,19.03456384,38.76166409,83.63299556,122.668838,-5.661056257,-76.81526767,-47.87199989,-42.21235704,-47.70949949,-19.31932552,-105.4705967,-128.6245833,-53.19676726,38.53775785,892.9530152,200.1495128,279.2939967,150.0810244,212.2261889,219.4878847,-3.672825313,8.411035731,35.98250962,122.4190942,207.0509699,453.4902394,273.124005,150.5145039,-26.93299194,-67.6374084,-47.70618388,-49.40503459,-51.14743688,-45.61598157,-43.80550346,-48.40992565
"261","000712.SZ","非银金融",0,0,0,0,0,0,0,41.25554781,0,0,0,30.43102172,0,0,0,27.06429942,0,0,0,33.37443975,0,-17.40694659,0,12.75121485,0,-37.15994276,0,-34.9459076,0,-69.35940703,0,145.5256027,0,195.1836178,0,-54.66506718,0,-24.66338035,-34.57532037,-44.39066507,4.438189028,70.37428392,46.96967327,10.07226132,90.98227902,-15.31543109,-18.7314622,-10.81697381,-63.52752455,-73.15394792,-81.96821975,-76.4224162,229.7836902,572.0023472,657.3139601,811.693005,495.2731303,134.4419664,95.51706011,186.235409,-87.68138353,-69.71523951,-54.85547433,-74.07905138,704.1713536,391.9973278,674.6281845,805.6425688,45.46836579,-28.87503902,-15.40277776,-22.24338388,-40.68370755,32.69410366,-62.76805601,-83.68407521,-70.40255591,-24.23762131,-13.99331555,10.02963505,219.4997567,14.01870249,75.73165096,171.8920986,538.2256879,381.1653482,483.4768837,462.0871703,52.87369288,255.8155267,202.7104181,170.9239124,-66.16393192,-73.76985405,-64.23554848,-61.943363,-10.78699504,-47.73907214,-36.61442682,-49.40793031
