"","上市公司","申万一级行业","X19930331","X19930630","X19930930","X19931231","X19940331","X19940630","X19940930","X19941231","X19950331","X19950630","X19950930","X19951231","X19960331","X19960630","X19960930","X19961231","X19970331","X19970630","X19970930","X19971231","X19980331","X19980630","X19980930","X19981231","X19990331","X19990630","X19990930","X19991231","X20000331","X20000630","X20000930","X20001231","X20010331","X20010630","X20010930","X20011231","X20020331","X20020630","X20020930","X20021231","X20030331","X20030630","X20030930","X20031231","X20040331","X20040630","X20040930","X20041231","X20050331","X20050630","X20050930","X20051231","X20060331","X20060630","X20060930","X20061231","X20070331","X20070630","X20070930","X20071231","X20080331","X20080630","X20080930","X20081231","X20090331","X20090630","X20090930","X20091231","X20100331","X20100630","X20100930","X20101231","X20110331","X20110630","X20110930","X20111231","X20120331","X20120630","X20120930","X20121231","X20130331","X20130630","X20130930","X20131231","X20140331","X20140630","X20140930","X20141231","X20150331","X20150630","X20150930","X20151231","X20160331","X20160630","X20160930","X20161231","X20170331","X20170630","X20170930","X20171231"
"16","000019.SZ","食品饮料",0,0,0,30.35143944,0,0,0,-114.4630709,0,-78.56894168,0,242.0263548,0,394.3223857,0,653.8913836,0,-79.03221922,0,-29.7435898,0,47.65839522,0,9.008921619,0,9.924900901,0,-11.33902775,0,82.63321192,0,-63.46374918,0,11.50555136,0,303.9393355,0,-20.78541578,0,3.390827097,101.7178753,-87.72289924,-192.8832577,-555.0901594,55.6158303,1.279067361,150.0862776,96.46891273,19.2617513,144.7689419,-31.92791911,354.9776523,110.7704336,164.7554593,93.60304367,641.4822494,-20.8584432,116.9986516,225.8182102,35.84284704,-57.93835379,-42.89966898,9.276038138,-64.12524945,-2215.437076,-106.6437194,-54.39614535,-161.6052125,-63.29505854,-3379.446146,-352.1479024,191.0817839,40.18174134,140.9914816,268.6012399,7.321327258,43.62473923,1158.858707,148.6675941,668.0398991,149.47229,-105.0366629,-34.92747203,-38.95242588,-472.924856,-448.7884624,-163.6351405,-68.75719987,-56.79337784,110.2786929,62.97148499,-404.1198493,22.50912254,-870.7635962,-163.9500738,309.8332588,-35.23694932,-5.738576451,11.03952225,-167.9489386
"158","000568.SZ","食品饮料",0,0,0,-17.57642747,0,0,0,77.6226684,0,119.1903081,0,101.8025511,0,-42.95601126,0,15.91324988,0,31.69330957,0,30.2629025,0,-49.27297704,0,-46.5461941,0,28.29133583,0,1.447108156,0,-22.98114726,0,30.11470772,0,-21.2304574,0,-49.13319235,0,-3.486660206,0,-55.7578824,37.73820965,19.69409111,2.728218415,26.13150022,-1.350900826,-31.47602814,-26.22754061,-14.89894363,3.419537844,19.69541639,21.20001767,32.59606965,97.13928054,447.797064,608.3474315,631.1507347,37.43948286,38.36294763,85.90550008,139.6560279,262.3421235,192.0438471,165.7492997,64.15759009,3.672586042,15.49444912,16.46412639,33.49743307,30.68895661,25.49788915,28.67774766,34.83614421,34.12453452,37.37017548,29.87859717,33.9761507,46.2299292,43.60425017,47.69830499,48.6621968,-13.98664451,-10.94834511,-10.14645713,-22.1243563,-55.13321631,-46.54092397,-53.12628847,-72.40816672,7.637365335,5.062752242,5.187829395,58.87486628,8.842426633,8.772837663,12.01513458,25.7581877,33.80767369,31.80704367,32.66556293,31.47204038
"176","000596.SZ","食品饮料",0,0,0,0,0,0,0,4.754760091,0,0,0,30.17654097,0,0,0,-53.79342272,0,4.874186745,0,179.8692161,0,-44.70235867,0,-26.49633336,0,-11.24999713,0,3.692683489,0,-30.94541265,0,1.293964868,0,-12.88569373,0,-54.48871409,0,-34.53751358,0,-30.73361346,-20.36151653,-60.70401692,-60.17479374,-174.1211055,-51.27000588,-52.27557922,-101.5636495,-500.1980848,-96.42658777,26.14896982,81.42070524,101.8976404,116.185083,114.328109,199.603367,106.3017935,94.82743782,238.2166136,107.3497306,227.5772429,346.1353053,85.06688092,35.27827002,1.932743894,40.80857857,94.96368127,96.44983828,319.4993682,193.169435,202.0374078,211.6118012,123.7704165,122.0436525,168.1400035,145.3999178,80.5184525,53.20327743,43.68041689,51.25403325,28.10765011,20.11950813,-9.177928346,-9.673784596,-14.27589581,-6.793020078,-4.776181029,-3.863768149,-4.013316907,5.611915647,6.343827117,8.743927812,19.85396416,13.60514003,14.76943523,17.96522667,18.82948585,21.77496569,31.00772048,40.09036131,39.38686486
"264","000716.SZ","食品饮料",0,0,0,0,0,0,0,0,0,0,0,15.04034851,0,0,0,59.59002771,0,0,0,31.17342763,0,45.56486824,0,2.180479231,0,2.340578277,0,0.181422424,0,-81.34593837,0,-58.73735196,0,-2.123694247,0,28.41902228,0,-1294.608026,0,-1825.002974,100.724473,-37.04282038,-14.25947603,104.7596598,8355.29143,138.6795238,143.3462283,68.12095179,-333.783991,0.777249853,-125.1773049,-633.0984061,135.2212859,-3.045319128,521.8276655,103.8191236,-82.44804102,-140.3245538,141.9100486,62.10039959,-10.86866916,169.2639074,-92.66957262,-1072.748429,118.2129528,215.1018164,437.4982057,84.20916404,-35.32970862,1469.147332,1169.191584,1280.837367,-39.49824603,-94.45677408,-95.05715649,-94.74892543,73.89097569,-14.32487202,151.0119275,110.0336093,1216.688935,60.96868411,62.82032053,45.10914086,39.05155397,57.08584326,73.18403249,50.48583118,11.13752493,24.52180878,63.9240727,189.0659547,-26.31883334,-40.511082,-8.12961669,-83.12108488,-19.40423437,37.08846145,42.23639406,316.3141532
"276","000729.SZ","食品饮料",0,0,0,0,0,0,0,0,0,0,0,77.3992214,0,0,0,20.23948871,0,0,0,30.31364101,0,80.79824232,0,50.99631892,0,40.74947414,0,2.172335636,0,-28.88809065,0,-7.973632537,0,0.306211145,0,8.032469571,0,-22.25022686,0,-29.67489757,75.60767211,19.82882316,33.5731037,34.1107332,75.14380158,37.24610122,14.67718332,26.52175021,-15.46420527,-4.387795536,1.799537584,-2.462370482,36.35366539,7.826185756,6.962649391,12.31337635,24.51449424,22.9033273,30.07841988,32.79135051,14.71338752,28.82368259,14.55581681,9.628243498,44.76655163,27.31039582,28.77947526,39.09927647,25.4820368,24.2564657,20.70981873,15.41160912,-0.058348322,5.057841259,4.828045218,5.654133363,9.583747975,3.795737058,2.262304061,-28.73778257,15.6602771,16.64850777,13.00686436,19.50964833,5.198412328,10.3001241,3.042304102,1.32810072,6.97022764,1.808527114,-9.167379469,-20.741088,-13.87253024,-27.19039234,-29.34839153,-49.1827782,13.56518518,9.234502658,-0.920327519,-45.89491535
"287","000752.SZ","食品饮料",0,0,0,0,0,0,0,0,0,0,0,94.59899363,0,0,0,420.2233165,0,0,0,22.92971669,0,-43.28526494,0,41.91089846,0,362.1156256,0,96.53358383,0,-48.88951943,0,-41.2999178,0,1.881464504,0,23.56695309,0,32.88084471,0,18.77057911,39.84314873,0.570224003,12.97913037,3.206247047,11.5433603,20.90243099,10.78121707,21.01669258,49.36947523,18.10544562,18.14385338,20.14593048,-38.33383777,-36.55715691,-28.94930256,-30.89626821,21.00805045,29.80866315,21.06957622,12.92469822,15.0655663,6.42865219,3.664939948,20.44630959,22.17433669,22.14194302,31.43944009,26.89530842,43.97721163,25.82142223,6.590995511,-15.82425735,-38.07442468,-15.16230134,5.91159867,46.72676353,25.90344993,-6.600542657,-11.03496782,-16.40373105,804.0610952,424.7877292,248.0447657,158.9917708,-88.30708339,-81.6645499,-76.69284092,-59.84138218,3.072159844,11.9491871,4.246067344,-19.94725731,-34.65050006,-54.22439706,-43.26754659,-29.88276597,1.606378393,61.63448893,39.59962534,12.48799361
"319","000799.SZ","食品饮料",0,0,0,0,0,0,0,0,0,0,0,127.5430607,0,0,0,36.99815229,0,0,0,70.54380132,0,50.21738365,0,22.84962415,0,-13.49393335,0,-20.19183741,0,-59.04884732,0,-40.91844904,0,9.601282199,0,77.31965141,0,-64.64344498,0,-262.2088929,-234.7626148,-226.7780287,-424.6802973,36.70813997,385.1692917,75.15576634,100.1977404,109.0308424,-1.725063891,-135.7564866,-477176.249,-916.363206,-598.8356117,-803.3674695,28.06485795,20.4142378,85.76292085,102.3709877,127.1430549,126.93272,221.5199007,186.5917857,-146.161339,-34.13730814,-256.8446065,96.2193046,370.7483678,41.62623098,139.8281058,247.5035222,57.04971728,35.19987806,880.1698527,24.43739449,47.86355937,144.5287322,466.9261516,329.823565,435.1975894,156.8101046,-92.25210615,-88.44295223,-95.78034149,-107.8431441,-95.78105289,-254.960539,-509.6236535,-167.1892038,4047.907959,172.7723661,165.5422965,171.6044965,59.26152836,-0.479284953,14.487369,30.71081777,38.47915409,138.262706,91.77125199,79.50952141
"351","000848.SZ","食品饮料",0,0,0,0,0,0,0,0,0,0,0,74.44581297,0,0,0,34.73009333,0,0,0,29.89557209,0,0,0,30.89309142,0,24.8052701,0,47.46525638,0,-62.13056368,0,-47.3980246,0,50.20759644,0,83.18897212,0,-18.8969177,0,-48.41015139,-45.78208458,-68.89090394,-45.61622667,-29.94513989,6.503215378,137.0279473,135.9614864,17.6125413,55.80139516,35.216903,-26.3094951,17.57125097,12.41846758,2.351595759,35.28892081,58.29736323,16.51073534,31.29309997,34.72958303,18.64897413,46.49385186,48.48800072,52.09665459,26.38486662,-22.8865863,-17.76051109,-13.66733122,21.88342054,183.9810552,137.2430336,92.20970525,26.44213625,-11.44336977,-12.4226858,-4.59507998,8.771918904,6.867764957,17.72226371,17.28370289,17.02270476,75.49497288,64.26347173,63.47726101,50.89511862,28.99396336,27.13002523,25.37827591,31.02665491,-4.408408207,-2.664736304,0.076684741,4.106753204,5.740622418,5.788348283,5.3290378,-2.744110163,-19.35805212,-17.18754086,-12.4481483,-8.248126887
"356","000858.SZ","食品饮料",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82775605,0,0,0,31.29924508,0,0,0,62.11360329,0,25.36651717,0,15.94268391,0,35.55502761,0,18.36530602,0,11.4399583,0,6.261211965,-10.14547078,-22.00925152,-21.77445714,-24.17344802,14.32419896,4.307736338,7.154980098,13.7011573,32.42781213,38.06138865,23.86606593,17.89830424,8.635908168,10.13107562,13.92744093,-3.706207776,31.84687061,38.89819076,32.2587651,47.25911296,35.7025751,39.17150288,29.65608995,25.17173745,36.29878231,14.22141944,20.89471418,24.23408798,24.96510926,23.83172023,48.53989054,89.46650462,24.32914846,44.64978898,48.26700016,31.59772634,36.96908428,48.97673417,41.56785504,40.16434791,46.50767051,50.14805122,62.23102575,61.63784771,19.56403553,15.23688351,-8.663471971,-19.48113604,-27.75122664,-31.08513249,-33.95756024,-27.20429957,-16.2901632,-17.80788273,-2.392369068,5.814738753,31.37025815,17.69613767,10.87488005,10.08162876,24.29718824,28.88735578,37.1625913,42.92623344
"358","000860.SZ","食品饮料",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.855386681,0,0,0,-14.85652291,0,0,0,38.12870969,0,0,0,-7.429660575,0,86.16707809,0,-8.504519356,0,-25.99147675,0,43.1307824,0,2.05506932,0,7.028795305,19.29880462,24.87067012,25.23937553,16.8138846,10.93308368,0.437350102,6.387991813,15.06225358,33.49415921,15.86432773,12.40849774,-1.081259528,13.92908842,0.741482624,16.05150247,6.797010788,35.9877008,29.02418345,26.51032337,52.77894532,116.0640457,94.03127027,71.94712434,46.31276395,-39.46489777,-30.07873485,-24.16759321,-24.30352841,85.39884193,84.77951229,65.36982646,53.67320437,-8.4645367,67.39777688,21.81206687,14.1272575,-14.14084681,-59.70062086,-61.32975114,-59.39201705,26.1852922,31.33036412,41.28187741,56.73111976,73.23671464,67.54572992,75.12957343,78.19543422,5.000155974,-0.599726633,1.678382598,5.079519747,-7.688828461,-4.153512515,-11.12324536,10.80086299,6.673669334,4.473588706,6.749374218,4.170297807
