"time","ind_growth","growth_speed"
1990-01-01,71.6910073220388,"-21.10 "
1990-02-01,74.9774397402016,"5.00 "
1990-03-01,75.3830177516688,"0.80 "
1990-04-01,83.5701238728048,"1.70 "
1990-05-01,86.7053983994554,"3.30 "
1990-06-01,90.865148853702,"5.00 "
1990-07-01,91.272861089509,"2.50 "
1990-08-01,84.3391416535189,"4.20 "
1990-09-01,91.2180431900706,"6.70 "
1990-10-01,90.6560353177132,"10.90 "
1990-11-01,95.1041943273615,"12.60 "
1990-12-01,92.1466216100645,"12.60 "
1991-01-01,88.5383940427179,"23.50 "
1991-02-01,81.8753641963001,"9.20 "
1991-03-01,83.5997666866007,"10.90 "
1991-04-01,92.6792673749405,"10.90 "
1991-05-01,96.156286824996,"10.90 "
1991-06-01,99.2247425482426,"9.20 "
1991-07-01,101.221602948265,"10.90 "
1991-08-01,94.2911603686341,"11.80 "
1991-09-01,102.711516632019,"12.60 "
1991-10-01,101.353447485203,"11.80 "
1991-11-01,102.332113096241,"7.60 "
1991-12-01,96.7539526905678,"5.00 "
1992-01-01,98.1890789933741,"10.90 "
1992-02-01,97.0223065726156,"18.50 "
1992-03-01,97.6445274899496,"16.80 "
1992-04-01,106.673836748557,"15.10 "
1992-05-01,109.90663584097,"14.30 "
1992-06-01,115.894499296347,"16.80 "
1992-07-01,120.757372317281,"19.30 "
1992-08-01,110.886404593514,"17.60 "
1992-09-01,120.788743559255,"17.60 "
1992-10-01,120.103835269966,"18.50 "
1992-11-01,124.640513751222,"21.80 "
1992-12-01,122.78076596433,"26.90 "
1993-01-01,106.436961628818,"8.40 "
1993-02-01,123.89748549323,"27.70 "
1993-03-01,118.931034482759,"21.80 "
1993-04-01,129.075342465753,"21.00 "
1993-05-01,134.855442176871,"22.70 "
1993-06-01,145.099913119027,"25.20 "
1993-07-01,146.11642050391,"21.00 "
1993-08-01,132.287480680062,"19.30 "
1993-09-01,140.114942528736,"16.00 "
1993-10-01,136.197749196141,"13.40 "
1993-11-01,144.582995951417,"16.00 "
1993-12-01,153.721518987342,"25.20 "
1994-01-01,135.92,"27.70 "
1994-02-01,128.11,"3.40 "
1994-03-01,137.96,"16.00 "
1994-04-01,150.76,"16.80 "
1994-05-01,158.59,"17.60 "
1994-06-01,167.01,"15.10 "
1994-07-01,168.18,"15.10 "
1994-08-01,171.18,"29.40 "
1994-09-01,170.66,"21.80 "
1994-10-01,169.43,"24.40 "
1994-11-01,178.56,"23.50 "
