行业,平均值,响应系数,响应系数标准化,显著程度,解释度,滞后阶数,行业表现是否引起周期变化,周期是否引起行业表现变化,是否通过平稳性检验,
采掘,11.49,-168.67,0.22,***,0.31,5,-,-,-,
传媒,11.82,-207.4,-0.66,***,0.13,4,-,***,+,
电气设备,15.33,-265.01,-1.98,***,0.12,4,-,***,+,
电子,13.27,-218.312,-0.91,***,0.11,4,*,-,-,
房地产,12.66,-188.19,-0.23,**,0.07,4,-,*,-,
纺织服装,10.28,-159.42,0.43,***,0.4,4,-,-,-,
非银金融,9.8985,-135.35,0.98,***,0.2,4,.,**,-,
钢铁,11.56,-167.84,0.24,***,0.2,5,-,-,-,
公用事业,11.36,-154.41,0.54,**,0.09,4,-,.,+,
国防军工,8.37,-130.01,1.1,***,0.3,4,-,.,-,
化工,17.817,-316.01,-3.14,*,0.06,4,-,-,-,
机械设备,11.2,-178.71,-0.01,***,0.33,4,-,*,+,
计算机,11.12,-179.72,-0.03,***,0.31,4,***,*,-,
家用电器,13.52,-205.04,-0.61,***,0.26,4,-,***,-,
建筑材料,10.15,-169.63,0.2,***,0.33,4,-,**,+,
建筑装饰,10.25,-155.57,0.52,***,0.4,4,-,***,-,
交通运输,11.11,-139.05,0.89,***,0.24,4,-,.,-,
农林牧渔,10.12,-155.98,0.51,***,0.26,5,*,-,-,
汽车,12.25,-190.22,-0.27,***,0.15,4,.,*,+,
轻工制造,11.22,-172.48,0.13,***,0.4,4,-,**,-,
商业贸易,9.66,-102.04,1.74,**,0.08,4,-,*,+,
食品饮料,11.67,-169.37,0.2,***,0.32,4,-,-,-,
通信,10.56,-170.27,0.18,***,0.3,4,.,.,-,
休闲服务,8.97,-144.57,0.77,***,0.18,4,-,**,-,
医药生物,12.71,-196.821,-0.42,***,0.11,4,*,**,+,
银行,18.9,-240.03,-1.41,***,0.45,5,.,-,-,
有色金属,11.257,-178.31,0,***,0.18,4,-,**,-,
综合,7.88,-124.28,1.23,***,0.33,4,-,*,-,
