证券代码,证券简称,"净利润(同比增长率)
[报告期] 1993一季
[单位] %","净利润(同比增长率)
[报告期] 1993中报
[单位] %","净利润(同比增长率)
[报告期] 1993三季
[单位] %","净利润(同比增长率)
[报告期] 1993年报
[单位] %","净利润(同比增长率)
[报告期] 1994一季
[单位] %","净利润(同比增长率)
[报告期] 1994中报
[单位] %","净利润(同比增长率)
[报告期] 1994三季
[单位] %","净利润(同比增长率)
[报告期] 1994年报
[单位] %","净利润(同比增长率)
[报告期] 1995一季
[单位] %","净利润(同比增长率)
[报告期] 1995中报
[单位] %","净利润(同比增长率)
[报告期] 1995三季
[单位] %","净利润(同比增长率)
[报告期] 1995年报
[单位] %","净利润(同比增长率)
[报告期] 1996一季
[单位] %","净利润(同比增长率)
[报告期] 1996中报
[单位] %","净利润(同比增长率)
[报告期] 1996三季
[单位] %","净利润(同比增长率)
[报告期] 1996年报
[单位] %","净利润(同比增长率)
[报告期] 1997一季
[单位] %","净利润(同比增长率)
[报告期] 1997中报
[单位] %","净利润(同比增长率)
[报告期] 1997三季
[单位] %","净利润(同比增长率)
[报告期] 1997年报
[单位] %","净利润(同比增长率)
[报告期] 1998一季
[单位] %","净利润(同比增长率)
[报告期] 1998中报
[单位] %","净利润(同比增长率)
[报告期] 1998三季
[单位] %","净利润(同比增长率)
[报告期] 1998年报
[单位] %","净利润(同比增长率)
[报告期] 1999一季
[单位] %","净利润(同比增长率)
[报告期] 1999中报
[单位] %","净利润(同比增长率)
[报告期] 1999三季
[单位] %","净利润(同比增长率)
[报告期] 1999年报
[单位] %","净利润(同比增长率)
[报告期] 2000一季
[单位] %","净利润(同比增长率)
[报告期] 2000中报
[单位] %","净利润(同比增长率)
[报告期] 2000三季
[单位] %","净利润(同比增长率)
[报告期] 2000年报
[单位] %","净利润(同比增长率)
[报告期] 2001一季
[单位] %","净利润(同比增长率)
[报告期] 2001中报
[单位] %","净利润(同比增长率)
[报告期] 2001三季
[单位] %","净利润(同比增长率)
[报告期] 2001年报
[单位] %","净利润(同比增长率)
[报告期] 2002一季
[单位] %","净利润(同比增长率)
[报告期] 2002中报
[单位] %","净利润(同比增长率)
[报告期] 2002三季
[单位] %","净利润(同比增长率)
[报告期] 2002年报
[单位] %","净利润(同比增长率)
[报告期] 2003一季
[单位] %","净利润(同比增长率)
[报告期] 2003中报
[单位] %","净利润(同比增长率)
[报告期] 2003三季
[单位] %","净利润(同比增长率)
[报告期] 2003年报
[单位] %","净利润(同比增长率)
[报告期] 2004一季
[单位] %","净利润(同比增长率)
[报告期] 2004中报
[单位] %","净利润(同比增长率)
[报告期] 2004三季
[单位] %","净利润(同比增长率)
[报告期] 2004年报
[单位] %","净利润(同比增长率)
[报告期] 2005一季
[单位] %","净利润(同比增长率)
[报告期] 2005中报
[单位] %","净利润(同比增长率)
[报告期] 2005三季
[单位] %","净利润(同比增长率)
[报告期] 2005年报
[单位] %","净利润(同比增长率)
[报告期] 2006一季
[单位] %","净利润(同比增长率)
[报告期] 2006中报
[单位] %","净利润(同比增长率)
[报告期] 2006三季
[单位] %","净利润(同比增长率)
[报告期] 2006年报
[单位] %","净利润(同比增长率)
[报告期] 2007一季
[单位] %","净利润(同比增长率)
[报告期] 2007中报
[单位] %","净利润(同比增长率)
[报告期] 2007三季
[单位] %","净利润(同比增长率)
[报告期] 2007年报
[单位] %","净利润(同比增长率)
[报告期] 2008一季
[单位] %","净利润(同比增长率)
[报告期] 2008中报
[单位] %","净利润(同比增长率)
[报告期] 2008三季
[单位] %","净利润(同比增长率)
[报告期] 2008年报
[单位] %","净利润(同比增长率)
[报告期] 2009一季
[单位] %","净利润(同比增长率)
[报告期] 2009中报
[单位] %","净利润(同比增长率)
[报告期] 2009三季
[单位] %","净利润(同比增长率)
[报告期] 2009年报
[单位] %","净利润(同比增长率)
[报告期] 2010一季
[单位] %","净利润(同比增长率)
[报告期] 2010中报
[单位] %","净利润(同比增长率)
[报告期] 2010三季
[单位] %","净利润(同比增长率)
[报告期] 2010年报
[单位] %","净利润(同比增长率)
[报告期] 2011一季
[单位] %","净利润(同比增长率)
[报告期] 2011中报
[单位] %","净利润(同比增长率)
[报告期] 2011三季
[单位] %","净利润(同比增长率)
[报告期] 2011年报
[单位] %","净利润(同比增长率)
[报告期] 2012一季
[单位] %","净利润(同比增长率)
[报告期] 2012中报
[单位] %","净利润(同比增长率)
[报告期] 2012三季
[单位] %","净利润(同比增长率)
[报告期] 2012年报
[单位] %","净利润(同比增长率)
[报告期] 2013一季
[单位] %","净利润(同比增长率)
[报告期] 2013中报
[单位] %","净利润(同比增长率)
[报告期] 2013三季
[单位] %","净利润(同比增长率)
[报告期] 2013年报
[单位] %","净利润(同比增长率)
[报告期] 2014一季
[单位] %","净利润(同比增长率)
[报告期] 2014中报
[单位] %","净利润(同比增长率)
[报告期] 2014三季
[单位] %","净利润(同比增长率)
[报告期] 2014年报
[单位] %","净利润(同比增长率)
[报告期] 2015一季
[单位] %","净利润(同比增长率)
[报告期] 2015中报
[单位] %","净利润(同比增长率)
[报告期] 2015三季
[单位] %","净利润(同比增长率)
[报告期] 2015年报
[单位] %","净利润(同比增长率)
[报告期] 2016一季
[单位] %","净利润(同比增长率)
[报告期] 2016中报
[单位] %","净利润(同比增长率)
[报告期] 2016三季
[单位] %","净利润(同比增长率)
[报告期] 2016年报
[单位] %","净利润(同比增长率)
[报告期] 2017一季
[单位] %","净利润(同比增长率)
[报告期] 2017中报
[单位] %","净利润(同比增长率)
[报告期] 2017三季
[单位] %","净利润(同比增长率)
[报告期] 2017年报
[单位] %"
000004.SZ,国农科技,,,,118.1897,,-4.1359,,-40.8445,,14.6582,,-44.4593,,-109.6179,,-640.3417,,288.1764,,113.8511,,14.2923,,-772.5740,,-101.2052,,109.0738,,"9,358.6109",,227.6790,,166.9900,,-42.8671,,-136.3638,,-36.0764,20.0687,61.1370,-197.3445,-6.9569,-232.7348,-43.9128,39.6969,-142.9625,73.1033,34.9696,-469.9563,-465.8787,226.9554,65.3061,36.3157,115.5414,-68.5980,-384.8536,-23.2620,-446.4266,-189.7510,64.3957,30.9004,-14.8193,-69.1995,33.5866,29.5568,139.4676,227.7770,870.6042,904.3218,345.6949,38.2755,-54.7390,-74.1067,-54.4926,-14.7315,-52.4791,-21.8336,-14.9987,144.5313,200.7051,112.9646,-25.8180,-219.3545,-214.0269,-153.5826,169.5444,48.1957,193.0790,285.3954,-56.1137,-62.4054,-32.1543,175.3798,479.1955,40.7848,-292.3468,-140.0522,-85.1642
000028.SZ,国药一致,,,,45.3147,,,,10.2803,,-67.6562,,-35.8903,,186.0058,,73.3006,,-95.5865,,-174.7147,,305.9513,,130.0550,,460.3267,,779.4898,,-25.0727,,-113.9668,,309.1576,,461.1953,,-87.6298,-80.8315,-77.7308,810.8869,-0.0977,-98.5529,253.3007,-1.5935,61.0034,106.1738,75.9975,223.3340,88.7280,74.0434,34.5348,100.1701,137.5015,164.4558,137.6955,23.0172,37.6657,51.2130,63.1735,45.7131,30.0789,17.3369,17.1113,8.7037,22.7235,14.5462,18.4100,47.3995,21.2368,23.9005,33.1682,35.8021,36.4016,36.0737,24.0670,38.1407,45.2609,46.8654,48.4482,19.7564,10.1104,11.7330,10.4485,16.9390,33.5277,27.2745,25.3869,17.5294,11.7607,14.1933,17.5425,1.4228,38.7171,25.2629,24.4606,7.2706,-15.7535,-11.8978,-9.7550
000078.SZ,海王生物,,,,,,,,,,,,,,,,61.3728,,,,-0.9799,,,,43.9150,,,,26.8655,,3.3435,,98.6522,,91.8042,,115.0560,,-55.8163,409.1427,-59.0197,38.7449,-1.7066,-19.1931,-69.6674,37.5141,-34.6409,-23.8048,129.6816,187.2080,-665.3769,-395.8907,"-2,404.1516",188.3050,105.8901,119.8302,102.7623,-2.3435,791.1677,370.3057,36.1124,84.0898,-23.5860,-49.0412,-39.1719,-94.0630,-52.1192,-33.3203,103.0204,675.2569,88.3205,74.6598,"8,941.7697",69.3912,50.4421,57.3765,11.9687,9.0880,29.1626,30.4271,63.3194,8.7821,13.3253,15.3554,126.8596,1.0777,-0.4808,-3.4949,-63.5312,6.1226,1.8134,287.2633,519.9942,7.3821,44.0515,-30.3690,-3.7884,162.4899,160.9365,101.1891,64.5458
000150.SZ,宜华健康,,,,,,,,,,,,,,,,,,,,,,,,22.2494,,,,11.7307,,-55.0261,,10.1751,,56.3292,,-93.8255,,-122.4516,,"-1,261.2038",-333.9319,159.6782,148.7890,-70.9931,107.9823,274.1155,147.9006,111.9741,-858.3034,-277.6569,-336.1870,-963.7486,-134.8478,28.8236,136.6663,55.5827,18.6755,22.9004,516.3201,374.0082,220.8300,259.0675,-57.2761,-25.7977,-80.9961,143.6043,232.6020,17.2488,27.4439,-84.0688,-91.1295,-90.0515,16.1678,-57.6115,-41.6594,-7.6552,-53.9412,35.1665,-32.3445,-70.4209,20.1814,282.3347,411.5762,"3,842.9738",-847.8430,-36.2170,-93.7388,-67.5494,173.2804,-69.2938,172.3882,84.6285,"25,442.8018","44,011.5701","44,797.5938","1,248.9346",-95.7671,-89.4904,-84.3967,-75.1842
000153.SZ,丰原药业,,,,,,,,,,,,,,,,,,,,,,,,72.0866,,,,12.2410,,,,204.2150,,8.1322,,13.0926,,-13.4464,,10.8339,4.1877,-10.6259,-35.2139,-29.8305,-11.9479,-12.9419,-9.2267,-44.5688,-18.4125,-23.7509,-26.7237,-7.6521,1.0092,-2.2011,-11.2672,163.3583,-43.0754,171.6161,5.1025,-75.8911,21.0024,-64.5830,18.7969,158.0512,66.5572,67.1371,108.7343,55.9942,19.3809,132.5299,66.9760,70.7361,34.6825,-40.6727,-58.7579,-75.4821,-51.6270,-18.5226,1.4902,64.3984,7.4082,10.1841,40.0823,50.2811,63.4488,63.8846,62.0855,51.2286,38.2271,-2.1530,-10.6637,-23.4671,-1.4925,29.1593,23.9052,33.4327,46.7054,66.3378,40.5404,42.9586
000403.SZ,ST生化,,,,,,,,-48.4642,,,,3.9571,,,,98.6782,,49.7470,,24.5440,,-28.8311,,32.7150,,885.1717,,282.2576,,29.5816,,51.1592,,-26.1135,,-23.8858,,-35.0459,-23.9348,-53.5095,-9.7572,-32.4721,-30.0010,-36.4097,-95.3686,-39.3434,-76.1156,-854.6092,"-2,640.5305",-228.9891,-380.5282,-149.5284,-123.0953,-83.1359,-102.3471,86.8425,-16.5252,-15.0574,-20.6249,178.9380,"1,260.9464",918.9058,713.1135,148.0007,-101.8233,-102.5907,-100.0364,-121.5251,81.4945,77.8782,"-3,651.0763",72.7270,963.2966,"1,056.4557",310.0612,136.1915,-12.8436,16.6735,212.1339,-35.7905,177.3913,125.0581,147.5148,"2,424.6903",330.6048,92.3526,42.0340,67.0680,-88.4373,-49.1229,-46.1157,-37.4931,27.1676,-23.7544,-15.3598,-33.6915,23.9236,12.9139,5.9735,-21.8616
000411.SZ,英特集团,,,,,,,,-16.3390,,,,-40.1411,,,,29.0536,,-38.7324,,78.9752,,-86.9536,,-221.3787,,"-3,270.1304",,-36.6765,,19.4252,,-4.7797,,17.1642,,113.2244,104.0780,106.2144,104.4270,-87.0533,"1,534.3001",518.5764,416.6246,"1,779.1874",-73.9310,-54.1355,-19.5564,-5.3767,187.6171,150.5065,130.0194,54.7762,3.3340,5.2842,19.0343,58.5542,-72.5409,6.8451,5.6820,47.7679,490.7798,128.2701,128.3259,33.1936,6.9119,36.9224,26.7233,56.9618,87.5042,44.2859,47.9331,37.3914,63.4736,747.7987,525.3861,338.9489,23.2652,-80.8709,-72.0770,-62.5637,74.8650,55.8559,29.5790,17.4531,-42.8349,-31.5521,-20.5135,-23.9486,12.1326,8.2492,8.9753,19.9014,16.2361,12.2270,13.4200,24.6756,14.1631,11.4000,6.2655,-0.2229
000423.SZ,东阿阿胶,,,,,,,,71.4453,,,,9.8164,,,,35.4013,,47.1245,,39.1024,,7.7169,,16.6487,,8.2933,,23.2025,,18.1307,,87.3817,,72.0418,,31.6823,,11.9616,,-20.7018,15.0342,5.5775,13.2870,12.8273,13.1943,21.1056,33.4245,36.5472,19.6096,-2.3089,-11.3743,-12.7391,0.3616,12.0666,12.5149,34.9855,49.1177,32.6765,31.8208,36.8908,55.1675,45.5243,42.6178,40.6355,-0.3604,21.6501,32.3240,37.4558,120.5396,91.0050,71.7683,46.1773,59.6910,46.5660,45.3714,46.4790,23.8428,3.7569,20.1716,21.0629,15.1691,16.3785,16.4722,15.7707,10.3111,12.7794,5.8263,12.5079,23.5865,24.7888,22.9366,19.3501,3.6444,7.6389,8.5090,13.2693,10.4959,8.3071,1.5080,10.1801
000503.SZ,国新健康,,,,200.8989,,5.7761,,65.7983,,-36.9101,,-149.6990,,-98.8417,,281.3572,,"-34,532.2368",,-486.7780,,74.1993,,113.8201,,320.4106,,305.4987,,63.8951,,-1.7204,,58.8063,,35.5242,,-37.2385,,3.0437,29.3090,-15.6862,4.0133,-4.2681,94.9056,-10.7983,641.6593,256.2107,-64.1793,-54.3603,-95.5881,-90.2016,977.5230,126.5452,70.8580,-116.1364,-96.8209,-71.8991,-74.0360,147.7248,-88.3949,-106.0040,-66.2819,114.5937,-185.0902,569.7085,138.5350,10.4814,258.1953,15.8623,-46.4387,71.9295,86.8465,466.6058,-21.9856,75.6126,36.4821,-67.5934,22.8311,17.8439,-35.6240,-1.2751,-73.7424,-44.9446,-51.4366,21.5377,-77.6288,56.8021,"-5,597.5790",-829.6725,"-57,589.3332",-50.1288,-45.2249,-34.5441,4.6014,35.8634,-42.8760,-28.5611,-65.2830,-102.2875
000513.SZ,丽珠集团,,,,40.6115,,52.4265,,21.5444,,0.2734,,-19.9049,,-21.4202,,6.8834,,-28.8300,,-37.0373,,-1.3069,,-13.7977,,-3.2612,,-3.7431,,-49.2398,,186.6792,,165.7624,,188.6763,,34.9866,,17.6647,17.4275,19.9173,-12.0580,39.4383,87.0441,32.9894,34.6496,10.9313,-40.7492,-15.1408,-19.6287,-13.7095,29.6583,3.3300,37.6516,40.6628,205.4396,219.8381,287.6078,220.0102,-57.8909,-70.6736,-85.3676,-86.0699,121.0614,276.3172,454.9061,604.7225,8.5515,-2.1493,-5.5279,-11.9317,-0.7847,-8.3630,-14.7159,-14.2968,-8.2788,4.4411,21.1382,22.5439,22.0213,9.2990,9.2084,10.2612,0.1356,15.3746,13.2773,5.6558,36.2728,19.7231,19.9435,19.1360,22.1237,14.7552,20.5346,25.8280,20.5340,28.7566,559.5391,440.7421
