指标名称,GDP:不变价:当季同比,CPI:当月同比
频率,季,月
1990-01,,4.30 
1990-02,,4.40 
1990-03,,3.40 
1990-04,,3.20 
1990-05,,2.70 
1990-06,,1.10 
1990-07,,1.10 
1990-08,,2.50 
1990-09,,2.90 
1990-10,,3.10 
1990-11,,3.70 
1990-12,,4.30 
1991-01,,2.20 
1991-02,,1.00 
1991-03,,1.60 
1991-04,,1.30 
1991-05,,3.60 
1991-06,,4.40 
1991-07,,4.70 
1991-08,,4.90 
1991-09,,4.50 
1991-10,,4.80 
1991-11,,4.40 
1991-12,,4.50 
1992-01,,5.50 
1992-02,,5.30 
1992-03,13.60 ,5.30 
1992-04,,7.10 
1992-05,,4.70 
1992-06,14.10 ,4.80 
1992-07,,5.20 
1992-08,,5.80 
1992-09,14.60 ,7.50 
1992-10,,7.90 
1992-11,,8.20 
1992-12,14.60 ,8.80 
1993-01,,10.30 
1993-02,,10.50 
1993-03,15.30 ,12.20 
1993-04,,12.60 
1993-05,,14.00 
1993-06,13.50 ,15.10 
1993-07,,16.20 
1993-08,,16.00 
1993-09,12.90 ,15.70 
1993-10,,15.90 
1993-11,,16.70 
1993-12,14.10 ,18.80 
1994-01,,21.10 
1994-02,,23.20 
1994-03,14.10 ,22.40 
1994-04,,21.70 
1994-05,,21.30 
1994-06,13.30 ,22.60 
1994-07,,24.00 
1994-08,,25.80 
1994-09,13.10 ,27.30 
1994-10,,27.70 
1994-11,,27.50 
1994-12,12.00 ,25.50 
1995-01,,24.10 
1995-02,,22.40 
1995-03,11.90 ,21.30 
1995-04,,20.70 
1995-05,,20.30 
1995-06,11.00 ,18.20 
1995-07,,16.70 
1995-08,,14.50 
1995-09,10.40 ,13.20 
1995-10,,12.10 
1995-11,,11.20 
1995-12,10.80 ,10.10 
1996-01,,9.00 
1996-02,,9.30 
1996-03,10.90 ,9.80 
1996-04,,9.70 
1996-05,,8.90 
1996-06,9.40 ,8.60 
1996-07,,8.30 
1996-08,,8.10 
1996-09,9.20 ,7.40 
1996-10,,7.00 
1996-11,,6.90 
1996-12,10.30 ,7.00 
1997-01,,5.90 
1997-02,,5.60 
1997-03,10.10 ,4.00 
1997-04,,3.20 
1997-05,,2.80 
1997-06,10.00 ,2.80 
1997-07,,2.70 
1997-08,,1.90 
1997-09,8.60 ,1.80 
1997-10,,1.50 
1997-11,,1.10 
1997-12,8.60 ,0.40 
1998-01,,0.30 
1998-02,,-0.10 
1998-03,7.30 ,0.70 
1998-04,,-0.30 
1998-05,,-1.00 
1998-06,6.90 ,-1.30 
1998-07,,-1.40 
1998-08,,-1.40 
1998-09,7.80 ,-1.50 
1998-10,,-1.10 
1998-11,,-1.20 
1998-12,9.10 ,-1.00 
1999-01,,-1.20 
1999-02,,-1.30 
1999-03,8.90 ,-1.80 
1999-04,,-2.20 
1999-05,,-2.20 
1999-06,7.90 ,-2.10 
1999-07,,-1.40 
1999-08,,-1.30 
1999-09,7.60 ,-0.80 
1999-10,,-0.60 
1999-11,,-0.90 
1999-12,6.70 ,-1.00 
2000-01,,-0.20 
2000-02,,0.70 
2000-03,8.70 ,-0.20 
2000-04,,-0.30 
2000-05,,0.10 
2000-06,9.10 ,0.50 
2000-07,,0.50 
2000-08,,0.30 
2000-09,8.80 ,0.00 
2000-10,,0.00 
2000-11,,1.30 
2000-12,7.50 ,1.50 
2001-01,,1.20 
2001-02,,0.00 
2001-03,9.50 ,0.80 
2001-04,,1.60 
2001-05,,1.70 
2001-06,8.60 ,1.40 
2001-07,,1.50 
2001-08,,1.00 
2001-09,8.00 ,-0.10 
2001-10,,0.20 
2001-11,,-0.30 
2001-12,7.50 ,-0.30 
2002-01,,-1.00 
2002-02,,0.00 
2002-03,8.90 ,-0.80 
2002-04,,-1.30 
2002-05,,-1.10 
2002-06,8.80 ,-0.80 
2002-07,,-0.90 
2002-08,,-0.70 
2002-09,9.60 ,-0.70 
2002-10,,-0.80 
2002-11,,-0.70 
2002-12,9.10 ,-0.40 
2003-01,,0.40 
2003-02,,0.20 
2003-03,11.10 ,0.90 
2003-04,,1.00 
2003-05,,0.70 
2003-06,9.10 ,0.30 
2003-07,,0.50 
2003-08,,0.90 
2003-09,10.00 ,1.10 
2003-10,,1.80 
2003-11,,3.00 
