指标名称,PPI:全部工业品:当月同比,工业增加值:当月同比,CPI:当月同比,CPI:环比,工业增加值:环比:季调,PPI:全部工业品:环比,GDP:平减指数:GDP:累计同比
频率,月,月,月,月,月,月,季
1990-01,,-21.10 ,4.30 ,,,,
1990-02,,5.00 ,4.40 ,,,,
1990-03,,0.80 ,3.40 ,,,,
1990-04,,1.70 ,3.20 ,,,,
1990-05,,3.30 ,2.70 ,,,,
1990-06,,5.00 ,1.10 ,,,,
1990-07,,2.50 ,1.10 ,,,,
1990-08,,4.20 ,2.50 ,,,,
1990-09,,6.70 ,2.90 ,,,,
1990-10,,10.90 ,3.10 ,,,,
1990-11,,12.60 ,3.70 ,,,,
1990-12,,12.60 ,4.30 ,,,,
1991-01,,23.50 ,2.20 ,,,,
1991-02,,9.20 ,1.00 ,,,,
1991-03,,10.90 ,1.60 ,,,,
1991-04,,10.90 ,1.30 ,,,,
1991-05,,10.90 ,3.60 ,,,,
1991-06,,9.20 ,4.40 ,,,,
1991-07,,10.90 ,4.70 ,,,,
1991-08,,11.80 ,4.90 ,,,,
1991-09,,12.60 ,4.50 ,,,,
1991-10,,11.80 ,4.80 ,,,,
1991-11,,7.60 ,4.40 ,,,,
1991-12,,5.00 ,4.50 ,,,,
1992-01,,10.90 ,5.50 ,,,,
1992-02,,18.50 ,5.30 ,,,,
1992-03,,16.80 ,5.30 ,,,,
1992-04,,15.10 ,7.10 ,,,,
1992-05,,14.30 ,4.70 ,,,,
1992-06,,16.80 ,4.80 ,,,,
1992-07,,19.30 ,5.20 ,,,,
1992-08,,17.60 ,5.80 ,,,,
1992-09,,17.60 ,7.50 ,,,,
1992-10,,18.50 ,7.90 ,,,,
1992-11,,21.80 ,8.20 ,,,,
1992-12,,26.90 ,8.80 ,,,,
1993-01,,8.40 ,10.30 ,,,,
1993-02,,27.70 ,10.50 ,,,,
1993-03,,21.80 ,12.20 ,,,,12.63 
1993-04,,21.00 ,12.60 ,,,,
1993-05,,22.70 ,14.00 ,,,,
1993-06,,25.20 ,15.10 ,,,,13.14 
1993-07,,21.00 ,16.20 ,,,,
1993-08,,19.30 ,16.00 ,,,,
1993-09,,16.00 ,15.70 ,,,,14.03 
1993-10,,13.40 ,15.90 ,,,,
1993-11,,16.00 ,16.70 ,,,,
1993-12,,25.20 ,18.80 ,,,,15.17 
1994-01,,27.70 ,21.10 ,,,,
